drug_name,dose,form
albumin (human ) u.s.p,5 %,vial
albumin human,20 %,infusion
albumin human,20 %,infusion
albumin- kgc cc,50 ml,vial
albumina tive,96 %,infusion
albumina umana isi,20 %,vial
albunorm,20 %,infusion
albustix,16 mg,tabs
albustix,32 mg,tabs
albustix,4 mg,tab
albustix,8 mg,tabs
albustix d,16/12.5 mg,tab
albustix d,32/12.5 mg,tab
albustix d,32/25 mg,tab
albustix d,8/12.5 mg,tab
albutein,20 %,infusion
alcaftapro,0.25 %,eye drops
alcagent,100 ml,mouth wash
alcina eye,15 ml,cream
alcofan,100 mg,supp
alcofan,2.5 %,gel
alcofan,25 mg,tabs
alcofan,50 mg,caps
aldactazide,0,tab
aldactone,100 mg,tab
aldactone,25 mg,tab
aldara,5 %,cream
aldomet,250 mg,tab
aldomet,500 mg,tab
aldospira,25 mg,tabs
aldospira,50 mg,tabs
aleavia,20 ml,ear drops
alecensa,150 mg,caps
aleco care,120 gm,cream
aleen,75 ml,serum
alejon acne,50 gm,cream
alejon after sun,200 gm,gel
alejon anti-dandruff,200 ml,shampoo
alejon anti-hair loss,200 ml,shampoo
alejon bi phase hair,200 ml,spray
alejon collagen,50 ml,serum
alejon deodorant,50 ml,0
alejon dry skin,150 ml,cleanser
alejon eye contour,30 ml,cream
alejon eye contour,30 ml,serum
alejon facial moisturizer,75 gm,0
alejon facial moisturizer,75 gm,gel
alejon facial,200 ml,toner
alejon hair,3 ml,vials
alejon hair,200 ml,conditioner
