original_name,drug_name,dose,form
ascelera massage gel 60 gm,ascelera massage,60 gm,gel
ascizadex-n top. gel 40 gm,ascizadex-n,40 gm,top. gel
asco 20 tab,asco,20 mg,tab
asco 200 tab,asco,200 mg,tab
asco-zinc 30 caps.,asco-zinc,30 mg,caps.
ascodal 45 eff. tabs.,ascodal,45 mg,eff. tabs.
ascokarm 500mg 20 caps.,ascokarm,500mg,caps.
ascokarm-zinc 20 caps.,ascokarm-zinc,20 mg,caps.
asconal 250 tab,asconal,250 mg,tab
ascor cream 30 gm,ascor,30 gm,cream
ascorbacil 1 gm 100 immediate rel. tabs,ascorbacil,1 gm,immediate rel. tabs
ascorbacil 1 gm10  immediate rel. tabs,ascorbacil,1 gm,immediate rel. tabs
ascorbic acid oral drops 15 ml,ascorbic acid,15 ml,oral drops
ascorbovit 1 gm 6 sachets,ascorbovit,1 gm,sachets
ascozental 10 granules for oral susp. sachets,ascozental,10 mg,granules for oral susp. sachets
ascozental 6 granules for oral susp. sachets,ascozental,6 mg,granules for oral susp. sachets
asen baby cream 50 gm,asen baby,50 gm,cream
asenadia 10 mg 10 sublingual tabs.,asenadia,10 mg,sublingual tabs.
asenadia 10 mg 30 sublingual tabs.,asenadia,10 mg,sublingual tabs.
asenapine-hikma 10mg 30 sublingual tabs.,asenapine-hikma,10mg,sublingual tabs.
asenapine-hikma 2.5mg 30 sublingual tabs.,asenapine-hikma,2.5mg,sublingual tabs.
asenapine-hikma 5mg 30 sublingual tabs.,asenapine-hikma,5mg,sublingual tabs.
asico toothpaste gel 60 gm,asico toothpaste,60 gm,gel
asila 10 sachet,asila,10 mg,sachet
askafine 20 tab,askafine,20 mg,tab
askafine 200 tab,askafine,200 mg,tab
askine 300/10 mg 10 tab.,askine,300/10 mg,tab.
asmacid 30 tab.,asmacid,30 mg,tab.
asmadol 0.5mg 20 tab,asmadol,0.5mg,tab
asmadol spray 400 doses 15 ml,asmadol,15 ml,spray
asmadol syrup 120 ml,asmadol,120 ml,syrup
asmakast 10 mg 30 f.c.tabs.,asmakast,10 mg,tabs.
asmakast 5 mg 30 chewable tab,asmakast,5 mg,chewable tab
asmakast paediatric 4mg  oral granules 10 sachets,asmakast paediatric,4mg,oral granules sachets
asmalair 10mg 10 tab.,asmalair,10mg,tab.
asmalair 5mg 10tab,asmalair,5mg,tab
asmatropim 250mcg/ml 20 nebulizer vial soln.,asmatropim,250mcg/ml,nebulizer vial soln.
asmatropim 500mcg/2ml 20 nebulizer vial soln.,asmatropim,500mcg/2ml,nebulizer vial soln.
asmazon cream 30 gm,asmazon,30 gm,cream
asmazon spray 60 ml,asmazon,60 ml,spray
asmolin 20 tab.,asmolin,20 mg,tab.
aspain 300mg 20*10 tab.,aspain,300mg,tab.
asparaginase-medac 10000 i.u. vial ss,asparaginase-medac,10000 i.u.,vial ss
aspartac tab,aspartac,0,tab
aspatrend 10 sachets,aspatrend,10 mg,sachets
aspatrend 5gm/10ml 5 vials . i.v. inf.,aspatrend,5gm/10ml,vials . i.v. inf.
aspatrend 6 sachets,aspatrend,6 mg,sachets
aspegic 6 vial,aspegic,6 mg,vial
aspetovent 10mg/ml i.v. vial 3 ml,aspetovent,10mg/ml,i.v. vial
aspico 81mg 30 chew tab,aspico,81mg,chew tab
