original_name,drug_name,dose,form
baby sol oral (12 bottles) 250 ml drop,Baby Sol Oral,250 ml,drop
baby steps goat milk follow on formula stage 2 - 300 gm,Baby Steps Goat Milk Follow On Formula Stage 2,300 gm,formula
baby steps goat milk infant formula stage 1 - 300 gm,Baby Steps Goat Milk Infant Formula Stage 1,300 gm,formula
baby steps goat toddler milk stage 3 - 300 gm,Baby Steps Goat Toddler Milk Stage 3,300 gm,milk
baby steps igg 300mg 2 sachets,Baby Steps Igg,300 mg,sachets
baby way cream  125 gram,Baby Way,125 gram,cream
baby well camomile drink 150 gm,Baby Well Camomile,150 gm,drink
baby well herbal drink 150 gm,Baby Well Herbal,150 gm,drink
baby zed cream 40 gm,Baby Zed,40 gm,cream
baby zinc & castor oil 300 ml cream,Baby Zinc & Castor Oil,300 ml,cream
baby zinc olive lotion 60 ml,Baby Zinc Olive,60 ml,lotion
babyland ors 235 ml tetrspack,Babyland Ors,235 ml,tetrspack
babyline lotion 120 ml,Babyline,120 ml,lotion
babylyte oral rehydration sol. 240 ml,Babylyte Rehydration,240 ml,sol
babyrhino syrup 100ml,Babyrhino,100 ml,syrup
babysan 1 lm milk,Babysan,1 mg,milk
baclofen 10 mg 20 tabs. b.p.2011,Baclofen,10 mg,tabs
baclofen 25 mg 20 tabs. b.p.2011,Baclofen,25 mg,tabs
bacqure 500/500mg pwd. for i.v. inf. vial,Bacqure,500/500mg,vial
bacticefdin 125 mg/5ml pd. for oral susp. 60 ml,Bacticefdin,125 mg/5ml,susp
bacticide hand & skin antiseptic sol. 1 litre (net price),Bacticide Hand & Skin Antiseptic,1 litre,sol
bacticlor 125mg/5ml susp. 60ml,Bacticlor,125mg/5ml,susp
bacticlor 250mg 12 cap,Bacticlor,250 mg,cap
bacticlor 250mg/5ml susp 60 ml,Bacticlor,250mg/5ml,susp
bacticlor 375mg 10 cap,Bacticlor,375 mg,cap
bacticlor 500 mg 12caps.,Bacticlor,500 mg,caps
bactiflox 250mg 10 lactab.,Bactiflox,250 mg,lactab
bactiflox 500mg 10 lactab.,Bactiflox,500 mg,lactab
bactirix 1.5gm i.m. / i.v. vial,Bactirix,1.5 gm,vial
bactizolid 100mg/5ml susp. 150ml,Bactizolid,100mg/5ml,susp
bactizolid 200mg/100ml i.v. infusion 300 ml,Bactizolid,200mg/100ml,infusion
bactomycin oint. 20 gm,Bactomycin,20 gm,oint
bactroban 2% topical cream 15 gm,Bactroban,2%,cream
bactroban 2% topical oint. 15 gm,Bactroban,2%,oint
bactrocin 2% top. oint. 10 gm,Bactrocin,2%,oint
bactrofight 500mg 12 f.c. tabs.,Bactrofight,500 mg,tabs
bactroform 2% top. oint. 15 gm,Bactroform,2%,oint
badotirizin 5mg/5ml syrup 125ml,Badotirizin,5mg/5ml,syrup
badozithro 200mg/5ml pd. for oral susp. 15 ml,Badozithro,200mg/5ml,susp
baimiss cream 40 gm,Baimiss,40 gm,cream
bakar bitamin syrup 125 ml,Bakar Bitamin,125 ml,syrup
balad sodium fusidate 2% 15 gm,Balad Sodium Fusidate,2%,0
balanserc 16mg 20 tab.,Balanserc,16 mg,tab
bali moisturizing cream 75 gm,Bali Moisturizing,75 gm,cream
balinozar 150mg 20 cap.,Balinozar,150 mg,cap
balinozar 75 mg 20 cap.,Balinozar,75 mg,cap
balkis 0.05% inf nasal drops 10ml,Balkis Inf Nasal,0.05%,drops
balkis 0.1% adult nasal drops 10 ml,Balkis Adult Nasal,0.1%,drops
balkis 8 caps.,Balkis,0,caps
balkis syrup 125ml,Balkis,125 ml,syrup
