original_name,drug_name,dose,form
magic sun screen cream spf30 100 gm,magic sun screen cream spf30,Null,cream
magic sun screen lotion spf+50 120 gm,magic sun screen lotion spf+50,Null,lotion
magic-g 10cap,magic-g,Null,cap
magica effervescent 10 sach.,magica effervescent,Null,sachet
magicapsaicin 0.075% cream 30 gm,magicapsaicin,0.075%,cream
magicapsaicin 30gm cream,magicapsaicin,Null,cream
magicdolac 300mg 10 soft gelatin cap.,magicdolac,300 mg,soft gelatin cap
magiclastine 10 mg 20 f.c. tabs.,magiclastine,10 mg,tabs
magicmycin 2% vaginal cream 40 gm,magicmycin,2%,vaginal cream
magicnorm 1/500 mg 30 f.c. tabs.,magicnorm,1/500 mg,tabs
magicpiclone 2mg 20 f.c. tabs.,magicpiclone,2 mg,tabs
magicrelide 0.5 mg 10 caps.,magicrelide,0.5 mg,caps
magitamsulosin 0.4 mg 30 extended rel. caps.,magitamsulosin,0.4 mg,extended rel. caps
magna eff. gr 10 sachets,magna eff. gr,Null,sachets
magnabiotic 1 gm 10 f.c. tabs.,magnabiotic,1 gm,tabs
magnabiotic 1.2gm i.v. vial,magnabiotic,1.2 gm,i.v. vial
magnabiotic 156.25mg/5ml susp. 80 ml,magnabiotic,156.25 mg/5ml,susp.
magnabiotic 230mg/5ml pd. for oral susp. 80ml,magnabiotic,230 mg/5ml,pd. for oral susp.
magnabiotic 312.5mg/5ml susp. 80ml,magnabiotic,312.5 mg/5ml,susp.
magnabiotic 375mg 10 tab.,magnabiotic,375 mg,tab.
magnabiotic 460mg/5ml susp. 80ml,magnabiotic,460 mg/5ml,susp.
magnabiotic 600mg vial,magnabiotic,600 mg,vial
magnabiotic 625mg 8 tab.,magnabiotic,625 mg,tab.
magnafloxacin 400mg 10 f.c. tab.,magnafloxacin,400 mg,tab.
magnafloxacin 400mg 10cap,magnafloxacin,400 mg,cap
magnatob 24 tablets,magnatob,Null,tablets
magnesium 250 mg 60 tabs. (natrol),magnesium,250 mg,tabs
magnesium citrate 120 veg. caps. (now),magnesium citrate,Null,veg. caps
magnesium diasporal 300mg sachets,magnesium diasporal,300 mg,sachets
magnesium diasporal 610mg lozenges,magnesium diasporal,610 mg,lozenges
magnesium diasporal forte 640mg amp.,magnesium diasporal forte,640 mg,amp.
magnesium plus 30 tab.,magnesium plus,Null,tab.
magnesium sulfate 10% (eipico) 5 i.v. amps. 10 ml,magnesium sulfate,10%,i.v. amps
magnesium sulfate 10% (eipico) 50 i.v. amps. 10ml,magnesium sulfate,10%,i.v. amps
magnesium sulfate 10% (otsuka) i.v. amp. 25 ml,magnesium sulfate,10%,i.v. amp
magnetrel 10/20mg 30 caps.,magnetrel,10/20 mg,caps.
magnetrel 2.5/10mg 30 caps.,magnetrel,2.5/10 mg,caps.
magnetrel 5/10mg 30 caps.,magnetrel,5/10 mg,caps.
magnetrel 5/20mg 30 caps.,magnetrel,5/20 mg,caps.
magnevist 469.01mg/ml 10ml i.v.infusion,magnevist,469.01 mg/ml,i.v. infusion
magnevist 469.01mg/ml 20ml i.v.infusion,magnevist,469.01 mg/ml,i.v. infusion
magnisol 0.5gm/5ml 6 amps,magnisol,0.5 gm/5ml,amps
magnum cream 50 gram,magnum,Null,cream
magsilon 20 chew. tab.,magsilon,Null,chew. tab.
magsilon susp. 120ml,magsilon,Null,susp.
magvital-b6 20 tabs.,magvital-b6,Null,tabs.
magzi 10sachet,magzi,Null,sachet
magzo 10 sachets,magzo,Null,sachets
maistero-eazx 30gm gel,maistero-eazx,Null,gel
maistero-eazx 50gm gel,maistero-eazx,Null,gel
