drug_name,dose,form
aig esomeprazole,40 mg,capsule
aig esomeprazole,40 mg,capsule
aig minoxidil scalp,2 %,lotion
aig minoxidil scalp,5 %,lotion
aiminosyn p,10 %,infusion
aiminosyn p,7 %,infusion
aimovig s.c. prefilled,70 mg/ml,pen
aironyl,1.5 mg/5 ml,syrup
aironyl,2.5 mg,tablet
aix vag.,250 ml,douche
ajirofil anti-dandruff shampoo,125 ml,shampoo
akanza liquid spray,15 ml,spray
akema hair oil,120 ml,oil
akenpark,2 mg,tablet
akerat cream,200 ml,cream
akineton,2 mg,tablet
akineton,5 mg/ml,ampoule
akita massage gel,50 gm,gel
akita pro,Null,capsule
akitalight facial cleanser,120 ml,cleanser
akiva dc gel,Null,gel
aknapalen topical gel,1 %,gel
aknemycin oint.,2 %,ointment
aknemycin solution,2 %,solution
akneroxid-5,5 %,gel
akno soap,80 gm,soap
akonesta hair cream,120 ml,cream
akonesta hair tonic spray,220 ml,spray
akren facial cleanser,250 ml,cleanser
akren soap,100 gm,soap
akren topical cream,60 gm,cream
aktar baby cream,60 gm,cream
aktocal suspension,120 ml,suspension
akynzeo,300/0.5 mg,capsule
alaba cream,50 gm,cream
alambuphine,20 mg/2 ml,ampoule
alan anti-dandruff hair shampoo,120 ml,shampoo
alan anti-dandruff hair shampoo,200 ml,shampoo
alaska,Null,capsule
alba,Null,capsule
alba cream,50 gm,cream
alba iron & zinc,Null,tablet
albapure i.v.,20 %,infusion
albendazole susp.,200 mg/5 ml,suspension
albendazole,400 mg,tablet
albiderm cream,50 gm,cream
albire cream,40 gm,cream
albothyl vag. jel,1.8 %,gel
albothyl vag.,90 mg,suppository
albumac cream,75 gm,cream
