original_name,drug_name,dose,form
delmonkast 5mg 14 chewable tabs.,delmonkast,5mg,chewable tabs
delmoxa 400 mg 5 f.c.tab.,delmoxa,400mg,tab
delora-stop 2.5mg/5ml syrup 90ml,delora-stop,2.5mg/5ml,syrup
delora-stop 5 mg 15 dis. tabs.,delora-stop,5mg,dis. tabs
delostigar 180mg s.r. 10 f.c. tabs.,delostigar,180mg,s.r. tabs
delotax 4000 iu 60 tabs,delotax,4000iu,tabs
delpagut 5 supp.,delpagut,0,supp.
delpanto 20mg 14 e.c.tabs.,delpanto,20mg,e.c.tabs
delpanto 40mg 14 e.c. tabs.,delpanto,40mg,e.c.tabs
delpedox 400mg/5ml pd. for oral susp. 100ml,delpedox,400mg/5ml,pd. for oral susp.
delpedox 875mg 10 f.c.tab.,delpedox,875mg,tab
delpiramate 100mg 30 f.c. tab.,delpiramate,100mg,tab
delpiramate 25 mg 10 f.c.tabs.,delpiramate,25mg,tabs
delrosa vag.douche 120ml,delrosa,0,vag.douche
delshi 30 pieces,delshi,0,0
delta 20 lozenges,delta,0,lozenges
delta cal 15 tablets,delta cal,0,tablets
delta mouth refeshener 250 ml,delta mouth refeshener,0,0
deltaberry 20 capsules,deltaberry,0,capsules
deltaclav 1gm 14 tabs,deltaclav,1gm,tabs
deltaclav 228.5mg/5ml susp. 80ml,deltaclav,228.5mg/5ml,susp.
deltaclav 457mg/5ml pd. for oral 80ml susp.,deltaclav,457mg/5ml,pd. for oral susp.
deltaclav 625mg 10 f.c.tab.,deltaclav,625mg,tab
deltaclav 642.9mg/5ml susp.,deltaclav,642.9mg/5ml,susp.
deltacortril 5mg 20 tab,deltacortril,5mg,tab
deltaglipt 25 mg 10 f.c. tabs.,deltaglipt,25mg,tabs
deltarhino nasal spray 15 ml,deltarhino,0,nasal spray
deltasone 0.25mg/5ml syrup 120ml,deltasone,0.25mg/5ml,syrup
deltasone 0.75mg 30 tab.,deltasone,0.75mg,tab
deltavit b12 1mg 30 sublingual tab,deltavit b12,1mg,sublingual tab
deltiazem 180mg s.r. 10 cap.,deltiazem,180mg,s.r. cap
deltiazem 60mg 20 tab.,deltiazem,60mg,tab
deltiazem 90mg s.r. 10 cap.,deltiazem,90mg,s.r. cap
deltrexone 50 mg 10 tabs.(n/a yet),deltrexone,50mg,tabs
deltrexone 50mg 10 tab.,deltrexone,50mg,tab
delvena 100mg 10 tab,delvena,100mg,tab
delvena 37.5mg 10 tabs.,delvena,37.5mg,tabs
delvena 75mg 10 tab.,delvena,75mg,tab
delviton 6000 i.u vitamin d3 & 75 mcg vitamin k2/ml,delviton,6000i.u & 75mcg/ml,0
delzosin 500 mg 6 f.c.tabs.,delzosin,500mg,tabs
delzosin 500mg 3 f.c. tabs.,delzosin,500mg,tabs
delzosin 600 mg 3 f.c.tabs. (n/a),delzosin,600mg,tabs
delzosin 600mg 6 f.c. tabs.,delzosin,600mg,tabs
demafight 5 mg 30 scored tabs,demafight,5mg,scored tabs
demancortil 1 ampoule 2ml,demancortil,0,ampoule
demark cream 100 gm,demark,0,cream
demark face cream 30 gm,demark face,0,cream
demas d3 10.000 i.u. 30 f.c.tabs.,demas d3,10.000i.u,tabs
dematrix 24 pieces,dematrix,0,0
dementexa 10mg 14 f.c.tab.,dementexa,10mg,tab
