original_name,drug_name,dose,form
novex-calamine lotion,novex-calamine,0,lotion
novirus 200mg 8 caps.,novirus,200mg,caps
novistoric 10mg 14 f.c. tab,novistoric,10mg,tab
novistoric 20mg 14 f.c. tab.,novistoric,20mg,tab
novita 20 tab,novita,20mg,tab
novitazinc cream 50 gm,novitazinc,50gm,cream
novo calcium 500 mg 30 tab,novo calcium,500mg,tab
novo seal 30 caps,novo seal,30mg,caps
novo shake diet 1gm,novo shake diet,1gm,0
novocaine carbasil mm 4% 1.8ml 50 carp,novocaine carbasil mm,4%,carp
novocobal 1 mg 30 sublingual tabs.,novocobal,1mg,sublingual tabs
novocobal 1mg 60 sublingual tab.,novocobal,1mg,sublingual tab
novoeight 250 i.u. i.v. vial+prefilled syringe,novoeight,250i.u.,i.v. vial+prefilled syringe
novoeight 500 i.u. i.v. vial+prefilled syringe,novoeight,500i.u.,i.v. vial+prefilled syringe
novoferr oral drops 30 ml,novoferr,30ml,oral drops
novolin pen-3,novolin pen-3,0,0
novomix 30 100 i.u./ml 5 flexpen,novomix 30,100i.u./ml,flexpen
novomix 30 100 i.u./ml 5 penfills,novomix 30,100i.u./ml,penfills
novomix 50 100 i.u./ml 5 flexpen,novomix 50,100i.u./ml,flexpen
novonorm 0.5mg 30 tab,novonorm,0.5mg,tab
novonorm 1 mg 30 tab.,novonorm,1mg,tab
novonorm 2mg 30 tab,novonorm,2mg,tab
novopen 4 insulin pen,novopen 4,0,insulin pen
novopen echo insulin pen,novopen echo,0,insulin pen
novophane anti-hairloss lotion 100ml,novophane anti-hairloss,100ml,lotion
novophane ds shampoo 125 ml,novophane ds,125ml,shampoo
novophane energizing shampoo 200 ml,novophane energizing,200ml,shampoo
novophane k shampoo 125 ml,novophane k,125ml,shampoo
novophane nail cream 15 ml,novophane nail,15ml,cream
novoral 60 ml spray,novoral,60ml,spray
novorapid 100 i.u./ml 5 flexpen,novorapid,100i.u./ml,flexpen
novorapid 100 i.u./ml 5 penfill,novorapid,100i.u./ml,penfill
novoseven 1.2mg i.v. vial,novoseven,1.2mg,i.v. vial
novoseven 1mg i.v. vial,novoseven,1mg,i.v. vial
novoton hair cream 100 gm,novoton hair,100gm,cream
novoton hair serum 120 ml,novoton hair,120ml,serum
novoton shampoo 250 ml,novoton,250ml,shampoo
nox topical lotion 120 ml,nox,120ml,topical lotion
nox topical lotion 120ml,nox,120ml,topical lotion
noxafil 40mg/ml susp. 105ml,noxafil,40mg/ml,susp
noxban 50 gm gel,noxban,50gm,gel
noxban gel 50 gm,noxban,50gm,gel
noxid 20 cap,noxid,20mg,cap
noxilife 50 mg 20 cap,noxilife,50mg,cap
noxilorn 8 mg 30 f.c.tab,noxilorn,8mg,tab
noxy life 20 capsules,noxy life,20mg,capsules
np panthenol cream 50 gm,np panthenol,50gm,cream
np plus cream 50 gm,np plus,50gm,cream
np topical spray 50 ml,np,50ml,topical spray
nplate 250mcg vial,nplate,250mcg,vial
