drug_name,dose,form
actifast,50 mg,tablet
actifast,50 mg,sachet
actifed,Null,tablet
actifed expectorant,120 ml,syrup
actifed,120 ml,syrup
actiflash massage,100 gm,gel
actiflash massage,50 gm,gel
actiflexin,Null,capsule
actiher,3 gm,sachet
actilyse,50 mg,vial
actimar,Null,capsule
actimaxvit,Null,capsule
actimo,100 mg,sachet
actimoxiflox,400 mg,tablet
actimoxiflox,400 mg,tablet
actimoxiflox,400 mg,tablet
activase,50 mg,vial
activat,Null,sachet
activate,200 mg,tablet
active hair,100 gm,cream
active hair,250 ml,lotion
active hair,120 ml,oil
active hair,60 ml,oil
active hair,250 ml,shampoo
active man,Null,tablet
active massage,50 gm,cream
active women,Null,tablet
active-meno,Null,tablet
activelle,Null,tablet
activen,Null,tablet
activent,8 mg,capsule
activin,Null,tablet
activity massage,75 gm,cream
actnow,Null,capsule
acto-c mouth,60 ml,spray
actoday,5 mg,tablet
actoflex,Null,gel
actolind,30 ml,gel
actolind,50 ml,gel
actonel,35 mg,tablet
actonel,5 mg,tablet
actonl cream massage,60 mg,Null
actos,15 mg,tablet
actos,30 mg,tablet
actoseb with calcium,Null,tablet
actoweek,35 mg,tablet
actozone,30 mg,tablet
actozone,45 mg,tablet
actrapid hm,100 i.u./ml,vial
actrapid hm,100 i.u./ml,penfills
