original_name,drug_name,dose,form
laser cream 50 gm,laser,50 gm,cream
lasilactone 100/20mg 30 f.c.tab.,lasilactone,100/20mg,tab
lasilactone 50/20 mg 30 tabs.,lasilactone,50/20 mg,tab
lasilix special 500mg 10 cap,lasilix special,500mg,cap
lasiphar 20mg/2ml 3 amp. for im/iv inj.,lasiphar,20mg/2ml,amp
lasiphar 40mg/4ml 3 amp. for im/iv inj.,lasiphar,40mg/4ml,amp
lasix 20mg/2ml 3 amp.,lasix,20mg/2ml,amp
lasix 40mg 24 tab.,lasix,40mg,tab
lasmacure top. cream 30 gm,lasmacure,30 gm,topical cream
lasodream topical cream 50 gm,lasodream,50 gm,topical cream
lastacaft 0.25% eye drops 3 ml,lastacaft,0.25%,eye drops
lastet 100mg/5ml 10 amp.(n/a),lastet,100mg/5ml,amp
lastet 50mg 20 caps.(n/a),lastet,50mg,cap
lasting tears 0.3% eye drops 15 ml,lasting tears,0.3%,eye drops
"lastipen 1,200,000 iu vial",lastipen,"1,200,000 iu",vial
lastlerge 10 mg 14 scored m.r. f.c. tabs,lastlerge,10 mg,tab
lastogen healing cream 50 gm,lastogen healing,50 gm,cream
lasttet 100 mg 10 amp,lasttet,100 mg,amp
latanoswix 50mcg/ml eye drops 2.5 ml,latanoswix,50mcg/ml,eye drops
latanoswix plus ophth. soln. 2.5 ml,latanoswix plus,0,ophth soln
lativi 20 pieces,lativi,20mg,0
lava hair oil 120 ml,lava hair,120 ml,oil
lava vag. doushe 120 ml,lava,120 ml,vag douche
lava vag.douche 120 ml,lava,120 ml,vag douche
lavage clear face soap,lavage clear face,0,soap
lavage clear face soap 100gm,lavage clear face,100gm,soap
lavagine 100gm- v . powder,lavagine,100gm,powder
lavana green coffee 20 sachets 2 gm,lavana green coffee,2 gm,sachet
lavenord 30 ml drops,lavenord,30 ml,drops
laverin cream 50 gm,laverin,50 gm,cream
lavino 24 tabs.,lavino,24mg,tab
lavy 10 sachet,lavy,10mg,sachet
lavy 20 sachet,lavy,20mg,sachet
lax cream 75g,lax,75g,cream
laxacurium 2mg/ml amp.,laxacurium,2mg/ml,amp
laxage massage cream 75 gm,laxage massage,75 gm,cream
laxative tablets,laxative,0,tab
laxel 12 eff. sachet,laxel,12mg,sachet
laxel 5 gm 12 eff sachets,laxel,5 gm,sachet
laxeol pi 5mg 20 tab.,laxeol pi,5mg,tab
laxeol pi 5mg 25 strips x 10 tab.,laxeol pi,5mg,tab
laxeol pi 7.5mg/ml oral drops 15ml,laxeol pi,7.5mg/ml,oral drops
laxeol-pi 7.5mg/ml oral drops 30 ml,laxeol-pi,7.5mg/ml,oral drops
laxin 10mg 20 enteric coated tab.,laxin,10mg,tab
laxiplant 10 gm 6,laxiplant,10 gm,0
laxiquill 62% 6 gr. in sachets,laxiquill,6 gr,sachet
laxofin 125 ml susp,laxofin,125 ml,susp
laxofin 125ml susp.,laxofin,125ml,susp
laxolac 3.35gm/5ml syrup 120ml,laxolac,3.35gm/5ml,syrup
laxolac 3.35gm/5ml syrup 300ml,laxolac,3.35gm/5ml,syrup
