drug_name,dose,form
argento profit sunscreen spf,50 ml,lotion
argentozad,40 gm,cream
argi-b3,20 gm,cream
argiderm - p,30 gm,cream
argiderm- p,15 gm,cream
argiderm- p,30 gm,cream
argiderm- p,40 gm,cream
argifem intimate feminine,30 gm,gel
arginine & citrulline,500/250 mg,capsule
arginine+ citrulline,1000 mg,tablet
argitex,500 mg,capsule
arglita,Null,powder
argotex,50 gm,cream
aricept,10 mg,tablet
aricept,10 mg,tablet
aricept,5 mg,tablet
aricept,5 mg,tablet
arid,30 ml,lotion spray
arilobe,30 mg,tablet
arimidex,1 mg,tablet
aripipracare,10 mg,tablet
aripipracare,20 mg,tablet
aripiprazole,10 mg,tablet
aripiprazole,10 mg,tablet
aripiprazole,15 mg,tablet
aripiprazole,1 mg/ml,solution
aripiprazole,20 mg,tablet
aripiprazole,30 mg,tablet
aripiprazole,30 mg,tablet
aripiprazole,5 mg,tablet
aripiprex,10 mg,tablet
aripiprex,15 mg,tablet
aripiprex,1 mg/ml,solution
aripiprex,20 mg,tablet
aripiprex,30 mg,tablet
aripiprex,30 mg,tablet
aripiprex,9.75 mg/1.3 ml,vial injection
arixtra,10 mg/0.8 ml,prefilled syringe
arixtra,2.5 mg/0.5 ml,prefilled syringe
arixtra,5 mg/0.4 ml,prefilled syringe
arixtra,7.5 mg/0.6 ml,prefilled syringe
arizona hair,200 ml,oil
armodacure,150 mg,tablet
armovigil,150 mg,tablet
armovigil,50 mg,tablet
armowake,150 mg,tablet
armowake,50 mg,tablet
armowake,50 mg,tablet
arnya antiseptic,60 ml,spray
arolyn,100 ml,lotion
