original_name,drug_name,dose,form
invega 6mg 7 extended release tabs,invega,6mg,extended release tabs
invega sustenna 100 mg / ml i.m. prefilled syringe,invega sustenna,100 mg / ml,i.m. prefilled syringe
invega sustenna 150 mg / 1.5 ml i.m. prefilled syringe,invega sustenna,150 mg / 1.5 ml,i.m. prefilled syringe
invega sustenna 75 mg / 0.75 ml i.m. prefilled syringe,invega sustenna,75 mg / 0.75 ml,i.m. prefilled syringe
invertose . 20% 500 ml- p infusion rom,invertose,20% 500 ml,p infusion
invertose. 20% 500ml-p.infusion,invertose,20% 500ml,p.infusion
investa hair serum 120 ml,investa,120 ml,hair serum
investa oil replacement 120 gm,investa,120 gm,oil replacement
invokana 100 mg 30 f.c. tabs.,invokana,100 mg,tabs
invokana 300 mg 30 f.c. tabs.,invokana,300 mg,tabs
inzad 1 gm vial i.m./i.v.,inzad,1 gm,vial i.m./i.v.
iodine 5% 60ml,iodine,5% 60ml,Null
iodosept 10% mouthwash 120ml,iodosept,10% 120ml,mouthwash
iodosept 10% mouthwash 60ml,iodosept,10% 60ml,mouthwash
iodosept 10% topical solution 60 ml,iodosept,10% 60 ml,topical solution
iodosept 10% vaginal douche 120 ml,iodosept,10% 120 ml,vaginal douche
ionops 0.15% ophth. drops 10 gm,ionops,0.15% 10 gm,ophth. drops
ioprost 50mcg/ml eye drops 3 ml,ioprost,50mcg/ml 3 ml,eye drops
ioprost 50mcg/ml eye drops 30 x 0.2 ml sdu,ioprost,50mcg/ml 30 x 0.2 ml,eye drops sdu
iorn complex 3/strip,iorn complex,Null,strip
ipanten 100mg 50 caps.,ipanten,100mg,caps.
ipanten 30mg/5ml susp. 125ml,ipanten,30mg/5ml 125ml,susp.
ipanten 50mg 50 caps.,ipanten,50mg,caps.
ipi haem 40 mg 30 capsules,ipi haem,40 mg,capsules
ipradol 0.5mg 20 tab.,ipradol,0.5mg,tab.
ipradol 5.25mcg/2ml 2 amp.,ipradol,5.25mcg/2ml,amp.
ipratropium viatris 0.25mg/ml (children) 10 unit dose vial,ipratropium viatris,0.25mg/ml,unit dose vial
ipratropium viatris 0.5mg/2ml (adults) 10 unit dose vial,ipratropium viatris,0.5mg/2ml,unit dose vial
ipravent-s aerosol for inhalation 200 doses,ipravent-s,200 doses,aerosol
iprivone 300mg 20 tab,iprivone,300mg,tab
iq plus 30 sachet,iq plus,30mg,sachet
iquoran cream 120 gm,iquoran,120 gm,cream
irban 300mg 20 tab.,irban,300mg,tab.
irbedrin 150mg 10 tab.,irbedrin,150mg,tab.
irbedrin 300mg 10 tab.,irbedrin,300mg,tab.
irbedrin 75mg 14 tab.,irbedrin,75mg,tab.
irbedrin-diu 150/12.5mg 10 tab.,irbedrin-diu,150/12.5mg,tab.
irbedrin-diu 300/12.5 mg 10 tab.,irbedrin-diu,300/12.5 mg,tab.
irbefutal 150 mg 30 tab.,irbefutal,150 mg,tab.
irbefutal 300 mg 30 tablets,irbefutal,300 mg,tablets
irbefutal co 150/12.5 mg 30 tab.,irbefutal co,150/12.5 mg,tab.
irbefutal co 300/12.5 mg 30 tab.,irbefutal co,300/12.5 mg,tab.
irbefutal co 300/25 mg 30 tab.,irbefutal co,300/25 mg,tab.
irbesartan 150mg 14 f.c. tabs.,irbesartan,150mg,tabs
irbesartan 150mg 20 tab.,irbesartan,150mg,tab.
irbesartan 300mg 7 f.c. tab.,irbesartan,300mg,tab.
irbesartan 75mg 14 f.c.tab.,irbesartan,75mg,tab.
irbetan 150mg 10 tab,irbetan,150mg,tab
irbevasc plus 300/12.5 mg 7 tab.,irbevasc plus,300/12.5 mg,tab.
irbezide 150/12.5mg 10 tab.,irbezide,150/12.5mg,tab.
