original_name,drug_name,dose,form
lividemia 2 mg 30 f.c. tabs.,lividemia,2 mg,tabs
lividemia 4 mg 30 f.c. tabs.,lividemia,4 mg,tabs
livit 30 s.g. cap,livit,30 mg,cap
livon cream 30 gm,livon,30 gm,cream
livoprotec 10 sach,livoprotec,10 mg,sach
livoprotec 140mg 10 sachet,livoprotec,140 mg,sachet
livoseas 60ml syrup,livoseas,60 ml,syrup
livostin 0.5 mg/ml nasal spray 10 ml,livostin,0.5 mg/ml,nasal spray
livostin 0.5mg/ml eye drops 4 ml,livostin,0.5 mg/ml,eye drops
liza glycerine pure 60 ml جلسرين,liza glycerine pure,60 ml,0
lmco seas syp,lmco seas,0,syp
loadless 10/20mg 30 caps.,loadless,10/20 mg,caps
loadless 2.5/10mg 30 caps.,loadless,2.5/10 mg,caps
loadless 5/20mg 30 cap,loadless,5/20 mg,cap
lobana cream 50 gm,lobana,50 gm,cream
lobello 10 sachets,lobello,10 mg,sachets
lobello 15 sachets,lobello,15 mg,sachets
lobello jar,lobello,0,0
lobugs 10 sachets,lobugs,10 mg,sachets
loburna oral susp. 180 ml,loburna,180 ml,oral susp.
loburna suspension180ml,loburna,180 ml,suspension
locabiotal 1% inh sol 5 ml,locabiotal,1%,inh sol
locabiotal spray,locabiotal,0,spray
locacorten vioform cr 10 gm,locacorten vioform,10 gm,cr
locacorten-vioform 7.5ml ear drops,locacorten-vioform,7.5 ml,ear drops
locacortin cream 10 gm,locacortin,10 gm,cream
locacortin tar 20 gm oint,locacortin tar,20 gm,oint
locarten 0.02% cream 10 gm,locarten,0.02%,cream
locarten 2 % 10 gm cream,locarten,2 %,cream
locarten vioform cream 10 gm,locarten vioform,10 gm,cream
locarten-vioform 10g cream,locarten-vioform,10 gm,cream
locasalin oint,locasalin,0,oint
locasen 10g oint,locasen,10 gm,oint
locasen oint. 10 gm,locasen,10 gm,oint
locastan vag cream,locastan,0,vag cream
locasten 1 500 mg 1 vag. tab.,locasten,500 mg,vag. tab.
locasten 1% cream 20 gm,locasten,1%,cream
locasten 1% top. solution 20 ml,locasten,1%,top. solution
locasten 100 mg 6 vag. tabs.,locasten,100 mg,vag. tabs.
locasten 2% vaginal cream 20 gm,locasten,2%,vaginal cream
locatret 0.1% lotion 15 ml,locatret,0.1%,lotion
locatret 0.1%solutin,locatret,0.1%,solution
locikaswab 100mg/5ml 20 unidose oral soln.,locikaswab,100 mg/5ml,oral soln.
locikaswab 150mg/7.5ml 20 unidose oral soln.,locikaswab,150 mg/7.5ml,oral soln.
locoid 15gm oint,locoid,15 gm,oint
locoprex 0.05% topical cream 15 gm,locoprex,0.05%,topical cream
locoprex 0.05% topical lotion 60 gm,locoprex,0.05%,topical lotion
locoprex 0.05% topical oint. 15 gm,locoprex,0.05%,topical oint.
locoprex 15gm cream,locoprex,15 gm,cream
lodi-rose whitening cream 100gram,lodi-rose whitening,100 gram,cream
