original_name,drug_name,dose
alexoprine 75mg 100 chew. tab.,alexoprine,75mg
alfathromb 5 mcg 20 tabs.,alfathromb,5mcg
alico vitamin d3 15 ml oral drops,alico vitamin d3,15ml
alin 20 film coated tablets,alin,0
alinjak 20 capsule,alinjak,0
allinphi 8 b 30 tabs,allinphi 8 b,0
aloekita hair growth spray 200ml,aloekita hair growth spray,200ml
aloekita leave in cream 120 gm,aloekita leave in cream,120gm
alpha amylase 10 caps,alpha amylase,0
alpha trypsopen 30 tabs,alpha trypsopen,0
alphacrobic c 30 fc tabs,alphacrobic c,0
alphaculation 30 tabs,alphaculation,0
alphafen 600mg 20 tab. (n/a),alphafen,600mg
alphafen 600mg 30 tab,alphafen,600mg
alphanova plus eye drops 5 ml,alphanova plus eye drops,5ml
alphapolic 20 h.g. caps.,alphapolic,0
alphaxide 30 tabs,alphaxide,0
alphilac 20 enteric coated tabs.,alphilac,0
alzad seas 20 capsules,alzad seas,0
am ginko 30 tab,am ginko,0
amaryl 1 mg 30 tab,amaryl,1mg
amazon ivy syrup 120,amazon ivy syrup,0
amino forto 500 mg 20 tabs.,amino forto,500mg
aminoplasmal e 10% i.v.infusion,aminoplasmal e,10%
aminoplasmal e 5% i.v. infusion,aminoplasmal e,5%
aminoplasmal hepa 10% i.v.infusion,aminoplasmal hepa,10%
aminosteril n hepa 8% i.v.infusion 500 ml,aminosteril n hepa,8%
amla shampoo vitamin 360 ml,amla shampoo vitamin,360ml
amlosazide 10/25/40mg 30 f.c. tabs,amlosazide,10/25/40mg
amylican syrup 100 ml,amylican syrup,100ml
amylover 60 ml syrup,amylover,60ml
ana syllium 30 sachets,ana syllium,0
ana syllium 7 sachets,ana syllium,0
anastronate 1 mg 28 f.c. tabs.,anastronate,1mg
anasyllium 14 sachets,anasyllium,0
andoglycemic xr 1000mg 20 ext. rel. tabs.,andoglycemic xr,1000mg
andopentene xr 300 mg 30 f.c. tabs.,andopentene xr,300mg
andopentene xr 600 mg 30 f.c. tabs.,andopentene xr,600mg
andopoxetine 60 mg 6 f.c. tabs.,andopoxetine,60mg
anicrepto 50 gm cream,anicrepto,50gm
anise isis 12 sachets,anise isis,0
anistareez 120ml syrup,anistareez,120ml
anthelios body lait 75 ml,anthelios body lait,75ml
antikramp 10mg/5ml syrup 120 ml,antikramp,10mg/5ml
antodine 20mg 6 ampoules,antodine,20mg
antodine 20mg/2ml 6 i.m./i.v. amps.,antodine,20mg/2ml
aprovel 300mg 14 tab.,aprovel,300mg
aqua cid syrup 120ml,aqua cid syrup,120ml
aqua dent mouth wash 250 ml,aqua dent mouth wash,250ml
aqua ream syrup 120 ml,aqua ream syrup,120ml
