original_name,drug_name,dose,form
surepal 5 pen (white),surepal,5 mg,pen (white)
sureptil 50 tab.,sureptil,50 mg,tab.
surgam 300mg 10 s.r. tab.,surgam,300mg,s.r. tab.
suriant 30 tab,suriant,30 mg,tab
survanta intratracheal 4ml vial,survanta,4ml,intratracheal vial
survanta intratracheal 8ml vial,survanta,8ml,intratracheal vial
susceptin 400mg 10 f.c. tabs.,susceptin,400mg,tabs.
sustanon 100mg amp,sustanon,100mg,amp
sustanon 250mg amp,sustanon,250mg,amp
suta collagen marine 8.5 gm - calcium 1000 mg - magnesium - vitamin c,suta collagen marine,8.5 gm,0
sutaprim d.s. 10 tabs.,sutaprim d.s.,10 mg,tabs.
sutent 12.5mg 28 capsules,sutent,12.5mg,capsules
sutent 25mg 28 capsules,sutent,25mg,capsules
sutent 50mg 28 capsules,sutent,50mg,capsules
sutrim 200/40mg susp. 100ml,sutrim,200/40mg,susp. 100ml
sutrim 400/80mg 20*10 tab.,sutrim,400/80mg,tab.
sutrim forte 800/160mg 10 tab.,sutrim forte,800/160mg,tab.
suvikan 10mg 14 f.c.tab.,suvikan,10mg,tab.
suvikan 10mg 14tab,suvikan,10mg,tab
suvikan 20mg 14 f.c. tab.,suvikan,20mg,tab.
suvikan 20mg 14 tab,suvikan,20mg,tab
suvreza 10/10mg 30 f.c. tabs,suvreza,10/10mg,tabs
suvreza 10/20mg 30 f.c. tabs,suvreza,10/20mg,tabs
svr clairial creme 10 - 40 ml,svr clairial 10,40 ml,creme
svr clairial peel 30 ml,svr clairial,30 ml,peel
svr clairial serum 30 ml,svr clairial,30 ml,serum
svr sebiaclear active 40 ml,svr sebiaclear active,40 ml,0
svr sebiaclear bb creme spf20 - 40 ml,svr sebiaclear bb spf20,40 ml,creme
svr sebiaclear creme spf50 - 50 ml,svr sebiaclear spf50,50 ml,creme
svr sebiaclear gel moussant 200 ml,svr sebiaclear moussant,200 ml,gel
svr spirial anti-perspirant spray 75 ml,svr spirial anti-perspirant,75 ml,spray
svr spirial deo-cream 50 ml,svr spirial,50 ml,deo-cream
svr spirial roll-on 50 ml,svr spirial,50 ml,roll-on
svr sunsecure spf 50+ blur cream 50 ml,svr sunsecure spf 50+ blur,50 ml,cream
svr sunsecure spf 50+ cream 50 ml,svr sunsecure spf 50+,50 ml,cream
svr sunsecure spf 50+ fluid 50 ml,svr sunsecure spf 50+,50 ml,fluid
svr sunsecure spf 50+ hydrating milk 100 ml,svr sunsecure spf 50+,100 ml,hydrating milk
svr topialyse baume intensif 200 ml,svr topialyse intensif,200 ml,baume
svr topialyse creme 200 ml,svr topialyse,200 ml,creme
svr topialyse gel lavant 200 ml,svr topialyse lavant,200 ml,gel
svr topialyse stick levres (lip balm) 4 gm,svr topialyse levres,4 gm,stick
swabilol 25mg/5ml 20 unidose oral soln.* 5 ml,swabilol,25mg/5ml,oral soln.
swabirase 0.75mg/ml syrup 20 doses,swabirase,0.75mg/ml,syrup
swabivent nebulizer soln. 20 amp. 2.5ml,swabivent,2.5ml,nebulizer soln.
swacomp cream 50 gm,swacomp,50 gm,cream
swalena facial cleanser gel 200 gm,swalena facial cleanser,200 gm,gel
swanson ultra 90 cap,swanson ultra,90 mg,cap
swed active man 60 tab,swed active man,60 mg,tab
swed active women 40 cap,swed active women,40 mg,cap
swed active women 60 cap,swed active women,60 mg,cap
