original_name,drug_name,dose,form
mograflox 400mg 5 f.c. tabs.,mograflox,400mg,tabs
mograflox eye drops solution,mograflox,0,eye drops solution
mohair oil spray 120 ml,mohair oil,120ml,spray
moisderm cream,moisderm,0,cream
moist-1 cream 100 gm,moist-1,100gm,cream
moist-1 milky cleanser 200 ml,moist-1 milky,200ml,cleanser
moist-1 nappy care cream 150 gm,moist-1 nappy care,150gm,cream
moist-1 toner 200 ml,moist-1,200ml,toner
moist-1 with urea cream 100 gm,moist-1 with urea,100gm,cream
moistan 30 spray,moistan,30mg,spray
moistfit cream 50 gm,moistfit,50gm,cream
moistsilk cream 50 gm,moistsilk,50gm,cream
mol-sun kids sunscreen lotion spf 50+ - 70 ml,mol-sun kids sunscreen,70ml,lotion
mol-sun sunscreen cream spf50+ - 75 gm,mol-sun sunscreen,75gm,cream
molena 200mg 30 caps,molena,200mg,caps
molfen 6 sachets,molfen,0,sachets
molivart 5/160mg 14 f.c. tablets,molivart,5/160mg,tablets
molivart 5/320mg 14 f.c. tablets,molivart,5/320mg,tablets
molnupiravir-eva 200mg 40 caps,molnupiravir-eva,200mg,caps
molnupiravir-rameda 200mg 40 caps,molnupiravir-rameda,200mg,caps
molnuprava 200 mg 40 caps.,molnuprava,200mg,caps
molnuvoc 200 mg 40 caps.,molnuvoc,200mg,caps
molporen 15 sachets,molporen,0,sachets
momenta cream 15 gm,momenta,15gm,cream
momenta cream 30 gm,momenta,30gm,cream
momentum 300mg 24 caps.,momentum,300mg,caps
mometasone furoate cream 15 ml,mometasone furoate,15ml,cream
momex vag.douche 200 ml,momex,200ml,douche
momsone 0.1% cream 20 gm,momsone,0.1%,cream
mona lisa cu 375 intrauterine device,mona lisa cu,375mg,intrauterine device
moncal 15 chocolate pieces,moncal,0,chocolate pieces
moncal 30 chocolate pieces,moncal,0,chocolate pieces
mondo cream 50 gm,mondo,50gm,cream
monicort cream 10 gm,monicort,10gm,cream
monicort cream 20 gm,monicort,20gm,cream
monicort cream 20gm,monicort,20gm,cream
monicure 200mg 6 vaginal supp.,monicure,200mg,vaginal supp
monicure 400mg 3 vaginal supp,monicure,400mg,vaginal supp
monicure nh 6 vaginal supp.,monicure nh,0,vaginal supp
monicure plus vaginal supp.,monicure plus,0,vaginal supp
moniliarret 90mg 6 vag. supp.,moniliarret,90mg,vag. supp
mono zinc 20 f.c. tabs,mono zinc,0,tabs
mono zinc 20 f.c. tabs.,mono zinc,0,tabs
monocard 50 mg 20 caps,monocard,50mg,caps
monocolona sr 200mg 30 caps,monocolona sr,200mg,caps
monoderma a15 - 10 skin vials,monoderma a15,0,skin vials
monoderma c10 - 10 skin vials,monoderma c10,0,skin vials
monoderma e5 - 10 skin vials,monoderma e5,0,skin vials
monodexin 0.1% eye drops 10*0.5 ml sdu,monodexin,0.1%,eye drops
monohexal syrup 120 ml,monohexal,120ml,syrup
