original_name,drug_name,dose,form
jecol healthy gummies for kids 30 pcs,jecol healthy,0,gummies 30 pcs
jectacortin 8mg/2ml amp. for i.m./i.v. inj.,jectacortin,8mg/2ml,amp. inj.
jedazole 500 mg 20 tab,jedazole,500 mg,tab
jedco cal-c 12 eff. gr. in sachets,jedco cal-c,0,12 eff. gr. in sachets
jedcoflacin 200 mg 20 f.c.tab.,jedcoflacin,200 mg,tab.
jedcomag 12 eff. sachet,jedcomag,0,12 eff. sachet
jedcoquine 250 mg 20 tab,jedcoquine,250 mg,tab
jedcorene 12 eff. sachet,jedcorene,0,12 eff. sachet
jedcovate 0.05% cream,jedcovate,0.05%,cream
jeep gel 25 gm,jeep,25 gm,gel
jelace 10 sachets,jelace,0,10 sachets
jelace 7 sachets,jelace,0,7 sachets
jeltamix 10 sachets,jeltamix,0,10 sachets
jeltamix plus 10 sachets,jeltamix plus,0,10 sachets
jenasol 10 oral sachets,jenasol,0,10 oral sachets
jenasol line 10 oral sachets,jenasol line,0,10 oral sachets
jenax 10 sachets,jenax,0,10 sachets
jencafemol 30 tab.,jencafemol,0,30 tab.
jenfunga 150 mg 1 caps.,jenfunga,150 mg,caps.
jeno compound 600 mg 20 capsules,jeno compound,600 mg,capsules
jenonal compound 20 tab,jenonal compound,0,20 tab
jenonal compound 30 tab,jenonal compound,0,30 tab
jeparilon 10 mg 20 chew. tabs,jeparilon,10 mg,chew. tabs
jerdazolin 40 mg 14 enteric coated tab,jerdazolin,40 mg,14 enteric coated tab
jern 30 pills,jern,0,30 pills
jernada cream 75 gm,jernada,75 gm,cream
jeroan 100 ml syrup,jeroan,100 ml,syrup
jerry vit 30 pieces,jerry vit,0,30 pieces
jerry vit children gummy multivitamin 20 pieces,jerry vit children,0,gummy multivitamin 20 pieces
jessi curl hair tonic 120 ml,jessi curl,120 ml,hair tonic
jestamivam 10/40mg 10 tab,jestamivam,10/40mg,tab
jestamivam 10/40mg 30 tab,jestamivam,10/40mg,tab
jestamivam 10/80mg 10 tab,jestamivam,10/80mg,tab
jeunez gel 30 gm,jeunez,30 gm,gel
jeunez gel 50 gm,jeunez,50 gm,gel
jevtana 60mg/1.5ml vial for inf. 15 ml,jevtana,60mg/1.5ml,vial for inf. 15 ml
jictyl cream 50 gm,jictyl,50 gm,cream
jilifen 1.2ml (300mcg) 5 amps. ((tender&export)),jilifen,1.2ml (300mcg),5 amps.
jimona 10 sachets,jimona,0,10 sachets
jino massage gel 50 gm,jino,50 gm,massage gel
jncivo cream 50 gm,jncivo,50 gm,cream
jo hematinic formula 20 caps.,jo hematinic formula,0,20 caps.
jobadel oral gel 20 gm,jobadel,20 gm,oral gel
joca 20 pills,joca,0,20 pills
joca forte 30 tab,joca forte,0,30 tab
jocosa 30 f.c. tabs.,jocosa,0,30 tabs.
joflex 500mg 30 caps.,joflex,500mg,30 caps.
jogel oral gel 20 gm,jogel,20 gm,oral gel
joifit 30 caps,joifit,0,30 caps
joinception tabs 30 filmcaoted,joinception,0,tabs 30 filmcaoted
