original_name,drug_name,dose,form
lelipel 4mg 14 oral granules in sachets,lelipel,4mg,oral granules in sachets
lelipel 5 mg 20 chew. tabs.,lelipel,5 mg,tabs.
lemah cream 100 gm,lemah,100 gm,cream
lemo green cap,lemo green,0,cap
lemocin - c - 12 lozenges,lemocin - c -,0,lozenges
lemonda erva 20 cups,lemonda erva,0,cups
lemos 24 tablets,lemos,0,tablets
lemox 30 tabs.,lemox,0,tabs.
lemplas gel 20 gm,lemplas,20 gm,gel
lemplas gel for black halos,lemplas,0,gel
lemsip max cold& flu capsules imp,lemsip max cold& flu,0,capsules
lemsisart 40mg 14 tabs.,lemsisart,40mg,tabs.
lemsisart 80mg 14 tabs.,lemsisart,80mg,tabs.
len vit 14 caps,len vit,0,caps.
lenalid 10mg 30 caps.(illegal import),lenalid,10mg,caps.
lenalid 25mg 30 caps.(illegal import),lenalid,25mg,caps.
lendro massage cream 75gm,lendro massage,75gm,cream
lenex foot cream 50 gm,lenex foot,50 gm,cream
lenor vag.douche 180 ml,lenor vag.,180 ml,douche
lentaron depot 250mg 2 ml vial,lentaron depot,250mg,vial
lentojeston 250mg/ml i.m. amp.,lentojeston,250mg/ml,amp.
lentra 10 sachets 2 gm,lentra,2 gm,sachets
lentra 5 sachet 2 gm,lentra,2 gm,sachet
lentra plus 10 caps,lentra plus,0,caps.
lenvima 10 mg 30 caps.,lenvima,10 mg,caps.
lenvima 4 mg 30 h.g. caps. (net price) ss,lenvima,4 mg,caps.
lenzo gel 50gm,lenzo,50gm,gel
lenzy contact lenses soln. 120 ml,lenzy contact lenses,120 ml,soln.
leo castle antiperspirant roll on 60 ml,leo castle antiperspirant,60 ml,roll on
leo-sab hair serum 75 ml,leo-sab hair,75 ml,serum
leponex 100mg 50 tab.,leponex,100mg,tab.
leponex 25mg 50 tab.,leponex,25mg,tab.
lepsiramp 4 mg 14 f.c.tabs.,lepsiramp,4 mg,tabs.
lepsiramp 6 mg 14 f.c.tabs.,lepsiramp,6 mg,tabs.
lepsylief 600 mg 20 tabs.,lepsylief,600 mg,tabs.
lepsylief 800 mg 20 tabs.,lepsylief,800 mg,tabs.
lepticure 100 mg 20 caps.,lepticure,100 mg,caps.
lepticure 300  mg 10  caps.,lepticure,300 mg,caps.
lepticure 300 mg 30 caps.,lepticure,300 mg,caps.
lepticure 400 mg 10 caps.,lepticure,400 mg,caps.
lepticure 400 mg 30 caps.,lepticure,400 mg,caps.
leptoprenol 200 mg 30 e.c. tabs.,leptoprenol,200 mg,tabs.
leptoprenol 500 mg 30 s.r. f.c. tabs.,leptoprenol,500 mg,tabs.
leptrogine 200 mg 30 tabs.,leptrogine,200 mg,tabs.
leptrogine 25 mg 30 tab,leptrogine,25 mg,tab
leqvio 284 mg/1.5ml prefilled syringe,leqvio,284 mg/1.5ml,prefilled syringe
lergeblock 1.5% eye drops. 10 ml,lergeblock,1.5%,eye drops
lergfree 5mg/5ml syrup 120ml,lergfree,5mg/5ml,syrup
lergicare 2.5mg/5ml syrup 120 ml,lergicare,2.5mg/5ml,syrup
lergicare 5 mg 30 f.c. tabs.,lergicare,5 mg,tabs.
