original_name,drug_name,dose,form
farmorubicin rd 10mg vial,farmorubicin rd,10mg,vial
farmorubicin rd 50mg vial,farmorubicin rd,50mg,vial
farorecta 10 mg 12 f.c.tabs.,farorecta,10mg,tablets
farorecta 10mg 4 f.c. tablets,farorecta,10mg,tablets
farorecta 20 mg 12 f.c.tabs.,farorecta,20mg,tablets
farorecta 20 mg 4 f.c.tabs.,farorecta,20mg,tablets
farostan forte 500 mg 10 tab,farostan forte,500mg,tablet
farostan forte 500mg 10 tab.,farostan forte,500mg,tablet
faroviga 100mg 12 f.c.tab.,faroviga,100mg,tablet
faroviga 100mg 8 tab,faroviga,100mg,tablet
faroviga 25mg 20 f.c.tab.,faroviga,25mg,tablet
fasenra 30mg/ml s.c. prefilled pen 1 ml,fasenra,30mg/ml,prefilled pen
fasigyn 500mg 4 tab.,fasigyn,500mg,tablet
faslodex 250mg/5ml i.m. 2 prefilled syringe,faslodex,250mg/5ml,prefilled syringe
fast 50 mg cream,fast,50mg,cream
fast care cream 30 gm,fast care,30gm,cream
fast care cream 50 gm,fast care,50gm,cream
fast care cream 60 gm,fast care,60gm,cream
fast care p. hair shampoo 250ml,fast care p. hair,250ml,shampoo
fast care-d shampoo 120 ml,fast care-d,120ml,shampoo
fast cream 60 gm,fast,60gm,cream
fast free i.m. 3 amp.,fast free,0,ampule
fast freeze gel 100 gm,fast freeze,100gm,gel
fast freeze magnesium massage spray 150 ml,fast freeze magnesium massage,150ml,spray
fast freeze magnesium massage spray 200 ml,fast freeze magnesium massage,200ml,spray
fast freeze massage spray 150 ml,fast freeze massage,150ml,spray
fast grow syrup 120 ml,fast grow,120ml,syrup
fast slim capsule,fast slim,0,capsule
fast syrup 120 ml,fast,120ml,syrup
fast-bruf 5 supp.,fast-bruf,0,suppository
fastcure 10 mg 21 caps,fastcure,10mg,capsule
fastcure 20mg 14 caps,fastcure,20mg,capsule
fastcure 40mg 14 caps,fastcure,40mg,capsule
fastel 120mg 10 f.c. tab.,fastel,120mg,tablet
fastel 120mg 20 tab,fastel,120mg,tablet
fastel 180mg 10 f.c. tab.,fastel,180mg,tablet
fastel 180mg 20 f.c. tab,fastel,180mg,tablet
fastel 30mg/5ml oral susp. 110ml,fastel,30mg/5ml,oral suspension
fastemo care emollient cream 50 gm,fastemo care emollient,50gm,cream
faster gel 50 gm,faster,50gm,gel
faster gel 80 gm,faster,80gm,gel
fastgraine rapid 200 mg 30 dispersible tab.,fastgraine rapid,200mg,dispersible tablet
fastofen 120mg 30 tab.,fastofen,120mg,tablet
fastofen 180mg 20 tab.,fastofen,180mg,tablet
fastofen 180mg 30 tab.,fastofen,180mg,tablet
fastofen 60mg 30 tab.,fastofen,60mg,tablet
fastrine mouth wash 120ml,fastrine,120ml,mouth wash
fastrine mouth wash 250ml,fastrine,250ml,mouth wash
fastrine oral spray 60ml,fastrine,60ml,oral spray
fastum 2.5% topical gel 15 gm,fastum,2.5%,topical gel
