original_name,drug_name,dose,form
prilatop 5 mg 10 f.c. tabs.,prilatop,5 mg,tab
prilatop plus 5/12.5 mg 10 f.c. tabs.,prilatop plus,5/12.5 mg,tab
priligy 30 mg 3 f.c. tabs.,priligy,30 mg,tab
priligy 60 mg 3 f.c. tabs.,priligy,60 mg,tab
prima growth powder 8 sachets,prima growth,0,powder
prima growth powder for children 8 sachets,prima growth,0,powder
prima-5 syrup 120 ml,prima-5,0,syrup
primacor 10 mg/10 ml 10 i.v. amps. (illegal import),primacor,10 mg/10 ml,amp
primadar hair 30 caps,primadar,0,capsule
primaderm cream face and body 100 gm,primaderm,0,cream
primafoxin 1 gm vial for iv inj. & i.v. inf.,primafoxin,1 gm,vial
primaglob 100 mg 14 sachets,primaglob,100 mg,sachet
primalac lf milk 400 gm,primalac lf,0,milk
primalan 30mg/60ml 60ml syrup,primalan,30mg/60ml,syrup
primalan 5mg 14 tab.,primalan,5mg,tab
primaleve 28 capsules,primaleve,0,capsule
primavita 1 milk 400 gm,primavita 1,0,milk
primavita 2 milk 400 gm,primavita 2,0,milk
primavita 3 milk 400 gm,primavita 3,0,milk
primavita ar milk 400 gm,primavita ar,0,milk
primavita lf milk 400 gm,primavita lf,0,milk
prime bronchi syrup 100 ml,prime bronchi,0,syrup
prime ivy 100 ml syrup,prime ivy,0,syrup
prime mix cal 30 tablet,prime mix cal,0,tab
primo plus topical lotion 120 ml,primo plus,0,lotion
primofol 30tab,primofol,0,tab
primolut-nor 10 mg 30 tabs.,primolut-nor,10 mg,tab
primomycin 400/100 mg 12 caps.,primomycin,400/100 mg,capsule
primomycin susp. 60ml,primomycin,0,suspension
primovist 0.25 mmol/ml prefilled syr. 10 ml,primovist,0.25 mmol/ml,syringe
primox 15mg 14 f.c.tab.,primox,15mg,tab
primox 7.5 mg 14 f.c.tab.,primox,7.5 mg,tab
primox plus 15/25mg 14 f.c.tab.,primox plus,15/25mg,tab
primoxizar 400 mg 5 f.c. tab.,primoxizar,400 mg,tab
primperan 10mg 10 scored tab.,primperan,10mg,scored tab
primperan 10mg/2ml 12 amp.,primperan,10mg/2ml,amp
primperan 20mg 6 adult supp.,primperan,20mg,suppository
primperoxane 15 chewable tab.,primperoxane,0,chewable tab
primrose plus 30 caps.,primrose plus,0,capsule
primrose-e 30 capsule,primrose-e,0,capsule
primssage 200 ml spray,primssage,0,spray
primu-bronch 120ml susp,primu-bronch,0,suspension
prinorelax 15 mg 30 ext. rel. caps.,prinorelax,15 mg,ext. release capsule
prinorelax 30 mg 10 ext. release caps.,prinorelax,30 mg,ext. release capsule
prinorelax 30 mg 20 ext. rel. caps.,prinorelax,30 mg,ext. release capsule
prinu 10sachet,prinu,0,sachet
prioderm 0.5 % lotion 60 ml,prioderm,0.5 %,lotion
priorix vaccine s.c.injection and prefilled syringe,priorix vaccine,0,syringe
prismaven 100 mg 30 ext. rel. tab.,prismaven,100 mg,ext. rel. tab
prismaven 50mg 30 ext. rel. tab.,prismaven,50mg,ext. rel. tab
