drug_name,dose,form
alejon hair,150 ml,lotion
alejon hair,200 ml,mask
alejon hair,50 ml,serum
alejon hair,200 ml,shampoo
alejon hand and nail,75 gm,cream
alejon oily,200 ml,cleanser
alejon oily skin acne,50 gm,cream
alejon oily,100 gm,soap
alejon peel off with aloe vera / omega 3 & 6,125 ml,mask
alejon peel off with vitamin c / algae,125 ml,mask
alejon sun screen 50+ spf,75 ml,cream
alejon sun screen 50+ spf,75 ml,gel
alejon sun screen 50+ spf,200 ml,spray
alejon tan,200 ml,oil
alejon urea,10 %,cream
alejon vitamin c,10 %,serum
alejon whitening body,200 ml,milk
alejon whitening,200 ml,cleanser
alejon whitening,50 ml,cream
aleksa,50 gm,cream
alemox,1 gm,tabs
alemox,750 mg,tabs
alendene,70 mg,tab
alendex,10 mg,tab
alendex,40 mg,tab
alendex,70 mg,tab
alendomax,10 mg,tabs
alendomax,40 mg,tabs
alendomax,70 mg,tabs
alendomax plus,70 mg/2800 IU,tabs
alendran,0,tablets
alergaway,5 mg,oral disinteg. tabs.
alergaway,50 mg/100 ml,syrup
alergoliber,10 mg,tabs
alergoliber,1 mg/ml,syrup
alerid,10 mg,chewable tab.
alerid,10 mg,tabs
alerid,10 mg,tabs
alerid,10 mg/ml,oral dps.
alerid,5 mg/5 ml,syrup
alertam,120 mg,tab
alertam,180 mg,tab
alertam,30 mg/5 ml,oral susp.
alertam,60 mg,tab
alertin,0,tabs
aleta,0,sachet
aleve,220 mg,tab
alex- diet,0,sachtes
alex-panthen,20 gm,cream
alexa,75 gm,cream
