original_name,drug_name,dose,form
zolapar 0.25mg 10 tab.,zolapar,0.25mg,tab.
zolapar 0.5 mg 10tab,zolapar,0.5 mg,tab
zolapar 0.5mg 20 tab.,zolapar,0.5mg,tab.
zolapar 2mg 10tab,zolapar,2mg,tab
zolapar 2mg 20 tab.,zolapar,2mg,tab.
zolapar xr 0.5 mg 10tab,zolapar xr,0.5 mg,tab
zolapar xr 0.5mg 20 tab.,zolapar xr,0.5mg,tab.
zolapar xr 1 mg 20 tab.,zolapar xr,1 mg,tab.
zolapar xr 3mg 10 tablets,zolapar xr,3mg,tablets
zolapar xr 3mg 10tab,zolapar xr,3mg,tab
zolatilol ophthalmic sol. 5 ml,zolatilol,0,ophthalmic sol.
zolebonita 5mg/100ml soln. for inf. 100 ml,zolebonita,5mg/100ml,soln. for inf.
zolgensma vial for inf. inj.,zolgensma,0,vial for inf. inj.
zolguard 500mg 20 tab.,zolguard,500mg,tab.
zolidocyrl 200mg 6 tabs.,zolidocyrl,200mg,tabs.
zolifutal 100mg/5ml susp. 60 ml,zolifutal,100mg/5ml,susp.
zolifutal 500 mg 12 f.c. tablets,zolifutal,500 mg,tablets
zollipak 15mg 10 caps.,zollipak,15mg,caps.
zollipak 30mg 10 caps,zollipak,30mg,caps
zolmigo 2.5 mg 3 orodispersible tabs.,zolmigo,2.5 mg,orodispersible tabs.
zolmsolan 2.5 mg 6 orodispersible films,zolmsolan,2.5 mg,orodispersible films
zolmsolan 5 mg 6 orodispersible film,zolmsolan,5 mg,orodispersible film
zolo baby 4000 i.u./ml 15 ml drops,zolo baby,4000 i.u./ml,drops
zomegipral 40mg powder for i.v. inf. vial,zomegipral,40mg,powder for i.v. inf. vial
zometa 4mg/5ml conc. vial inf.,zometa,4mg/5ml,conc. vial inf.
zomig 2.5 mg 3 f.c. tab,zomig,2.5 mg,tab
zonacip 15ml ear drops,zonacip,0,ear drops
zonacip ear drops 15 ml,zonacip,0,ear drops
zonactam 1.5 gm i.m. / i.v. vial,zonactam,1.5 gm,i.m. / i.v. vial
zondex gel 75 gm,zondex,0,gel
zondex massage spray 100 ml,zondex,0,massage spray
zone cream 50 gm,zone,0,cream
zonex soap 100 gm,zonex,0,soap
zonivan 100 mg 20 caps,zonivan,100 mg,caps
zonivan 25 mg 30 caps.,zonivan,25 mg,caps.
zonivan 50 mg 20 caps.,zonivan,50 mg,caps.
zonnet cream 30 gram,zonnet,0,cream
zoovy  spray,zoovy,0,spray
zopiclone 7.5mg 10 f.c. tabs.,zopiclone,7.5mg,tabs.
zopiclone7.5mg 10tab,zopiclone,7.5mg,tab
zora-c 20 lozenge,zora-c,0,lozenge
zoro massage cream  75 gm,zoro,0,massage cream
zostera cream 50 gm,zostera,0,cream
zotks lotion 120 ml,zotks,0,lotion
zovijectin 500mg i.m/i.v vial,zovijectin,500mg,i.m/i.v vial
zovinana 8 sachets,zovinana,0,sachets
zovirax 200mg/5ml susp. 125ml,zovirax,200mg/5ml,susp.
zovirax 250mg 5 i.v. inf. vial,zovirax,250mg,i.v. inf. vial
zovirax 3% eye oint. 4.5 gm,zovirax,3%,eye oint.
zovirax 400mg 10 tab.,zovirax,400mg,tab.
