original_name,drug_name,dose,form
nixprazole 40 mg 14 delayed rel. caps.,nixprazole,40mg,cap
nizapex 20mg/gm shampoo 80 ml,nizapex,20mg/gm,shampoo
nizatact 300 mg cap,nizatact,300mg,cap
nizatect 150 mg 20 caps.,nizatect,150mg,cap
nizatect 150 mg cap,nizatect,150mg,cap
nizatect 300mg 20 caps.,nizatect,300mg,cap
nizatect 300mg 20cap,nizatect,300mg,cap
nizatine 150mg 20 caps.,nizatine,150mg,cap
nizatine 300mg 20 caps.,nizatine,300mg,cap
nizaxid 15 mg/ml syrup 90 ml,nizaxid,15mg/ml,syrup
nizoderm 2% cream 15 gm,nizoderm,2%,cream
nizoral 2% cream 15 gm,nizoral,2%,cream
nizoral 2% shampoo 60 ml,nizoral,2%,shampoo
no acne soap 100 gm,no acne,0,soap
no cal 100 packets,no cal,0,packets
no cal 100 tab,no cal,0,tab
no cal 250 sugar,no cal,0,sugar
no cal 300 packets,no cal,0,packets
no cal 300 tab,no cal,0,tab
no cal 300sach diet sweet,no cal diet sweet,0,sach
no cal 50 packets,no cal,0,packets
no cal-option,no cal-option,0,0
no deprine 50mg 30 tab,no deprine,50mg,tab
no deprine 50mg 30 tab.,no deprine,50mg,tab
no gravida 12 vaginal supp.,no gravida,0,vaginal supp.
no hair cream 75 ml,no hair,0,cream
no hair lotion 250 ml,no hair,0,lotion
no more acne cleanser 250 ml,no more acne cleanser,0,0
no plac mouth wash 250 ml,no plac,0,mouth wash
no rash white cream 100 ml,no rash white,0,cream
no rash white cream 20 sachets,no rash white,0,sachets
no-migrain 20 f.c. tab. (n/a),no-migrain,0,tab
no-migrain 30 f.c. tab,no-migrain,0,tab
no-migrain z 2.5mg 2 f.c.tab,no-migrain z,2.5mg,tab
no-migrain z 5mg 2 f.c.tab,no-migrain z,5mg,tab
no-tuss 10 soft gelatin cap.,no-tuss,0,cap
no-uric 100mg 50 tab.,no-uric,100mg,tab
no-uric 300mg 20 tab.,no-uric,300mg,tab
no-wart spray 75 ml,no-wart,0,spray
nobur cream 50 gm,nobur,0,cream
nocandida 10 m.i.u. cream 20 gm,nocandida,10m.i.u.,cream
nocandida 100 000 i.u. 7 vaginal supp.,nocandida,100000i.u.,vaginal supp.
nocandida 100.000i.u./ml susp. 30 ml,nocandida,100.000i.u./ml,susp
nochel 60 f.c. tabs.,nochel,0,tab
noctiplon 2mg 20 f.c.tab.,noctiplon,2mg,tab
noctopex 2mg 10 f.c.tab.,noctopex,2mg,tab
noctorelief 10mg 10 tab.,noctorelief,10mg,tab
node ds+ anti recurrence shampoo 125 ml,node ds,0,shampoo
nodep 10mg 30 f.c. tab.,nodep,10mg,tab
nodouleur topical cream 120 gm,nodouleur,0,cream
