original_name,drug_name,dose,form
minolest 5.5mg 12 sach.,minolest,5.5mg,sach.
minophylline 125mg 5 infantile supp.,minophylline,125mg,infantile supp.
minophylline 300mg 30 s.r.tab.,minophylline,300mg,s.r.tab.
minophylline 350mg 5 adult supp.,minophylline,350mg,adult supp.
minophylline syrup 200 ml,minophylline,200 ml,syrup
minophylline-n 2.5% 5 i.v. amp,minophylline-n,2.5%,i.v. amp
minotensol 7.5 mg 20 f.c.tab.,minotensol,7.5 mg,tab.
minov whitening cream 120 ml,minov whitening,120 ml,cream
minova 10 sachets,minova,0,sachets
minox 5% scalp lotion 60 ml,minox,5%,scalp lotion 60 ml
minoxidil forte 5% topical gel 60 gm,minoxidil forte,5%,topical gel 60 gm
minoxidil-mup 5% foam 150 ml,minoxidil-mup,5%,foam 150 ml
minoxilook 5% hair spray 100 ml,minoxilook,5%,hair spray 100 ml
minoxitrim 2% topical sol. 60 ml,minoxitrim,2%,topical sol. 60 ml
minoxitrim 5% top. soln. 60 ml,minoxitrim,5%,top. soln. 60 ml
minro 10 sachets,minro,0,sachets
minsoria 60 capsules,minsoria,0,capsules
minsperm 30 sachet,minsperm,0,sachet
mintcaps - 60 cap,mintcaps,0,cap
mintoline mouth wash & gargle 120 ml,mintoline,120 ml,mouth wash & gargle
mintovex gel 50 gm,mintovex,50 gm,gel
mintra iron 30 chocolate tablets,mintra iron,0,chocolate tablets
minty talk mouth refreshener spray 60 ml,minty talk,60 ml,mouth refreshener spray
minulet 21 tab,minulet,0,tab
minvitros 30 tablet,minvitros,0,tablet
miocamen 50 mg/ml suspension,miocamen,50 mg/ml,suspension
miocamen 600 mg 12 tab,miocamen,600 mg,tab
miochol i ntraocular - vials,miochol i ntraocular,0,vials
miopan 10.8gm/100ml 100ml susp.,miopan,10.8gm/100ml,susp.
miopan plus 100ml susp.,miopan plus,100ml,susp.
mipaflam 25 mg 20 e.c. tabs.,mipaflam,25 mg,e.c. tabs.
mipaflam 75mg 5 supp.,mipaflam,75mg,supp.
mipazole 1% topical cream 20 gm,mipazole,1%,topical cream 20 gm
mipazole 100mg 3 vaginal ovule,mipazole,100mg,vaginal ovule
mipazole 100mg 3 vaginal ovule.,mipazole,100mg,vaginal ovule.
miphenicol 1% eye oint. 5 gm,miphenicol,1%,eye oint. 5 gm
miphenicol 125 mg susp. 60ml,miphenicol,125 mg,susp. 60ml
miphenicol 250 mg 24 caps.,miphenicol,250 mg,caps.
miphenicol 250 mg supp.,miphenicol,250 mg,supp.
miphenicol 500 mg supp.,miphenicol,500 mg,supp.
miphro new formula 20 cap,miphro new formula,0,cap
mira- corten 0.05% 10 gm oint,mira- corten,0.05%,oint 10 gm
mira-halothane 100% volatile inhalation liquid 100 ml,mira-halothane,100%,volatile inhalation liquid 100 ml
mira-halothane 100% volatile inhalation liquid 250 ml,mira-halothane,100%,volatile inhalation liquid 250 ml
mira-isoflurane 100% volatile liquid for inhalation 100ml,mira-isoflurane,100%,volatile liquid inhalation 100ml
mira-isoflurane 100% volatile liquid for inhalation 250ml,mira-isoflurane,100%,volatile liquid inhalation 250ml
mira-sevoflurane 100% liquid for inhalation 250 ml,mira-sevoflurane,100%,liquid inhalation 250 ml
mirablad xr 25 mg 10 f.c. tabs.,mirablad xr,25 mg,tabs.
mirablad xr 50 mg 10 f.c. tabs,mirablad xr,50 mg,tabs
mirablad xr 50 mg 10 f.c. tabs.,mirablad xr,50 mg,tabs.
