drug_name,dose,form
ampicillin forte,250 mg / 5 ml,suspension
ampicillin forte,500 mg,capsule
ampicillin sodium,1 gm,vial
ampicillin sodium,500 mg,vial
ampicillin-alex,250 mg,capsule
ampicillin-alex,500 mg,capsule
ampicillin-cid,250 mg,capsule
ampicillin-cid,500 mg,capsule
ampicillin-el nasr,1 gm,vial
ampicillin-el nasr,125 mg / 5 ml,suspension
ampicillin-el nasr,250 mg,capsule
ampicillin-el nasr,250 mg / 5 ml,suspension
ampicillin-el nasr,500 mg,capsule
ampicillin-el nasr,500 mg,vial
ampicillin-misr,1 gm,vial
ampicillin-misr,125 mg / 5 ml,suspension
ampicillin-misr,250 mg,capsule
ampicillin-misr,250 mg,vial
ampicillin-misr,250 mg / 5 ml,suspension
ampicillin-misr,500 mg,capsule
ampicillin-misr,500 mg,vial
ampicillin-nile,1 gm,vial
ampicillin-nile,500 mg,vial
ampicillin-october pharma,500 mg,capsule
ampiclox,500 mg,capsule
ampiclozapine,250 mg,capsule
ampictam,1500 mg,vial
ampictam,375 mg,tablet
ampictam,750 mg,vial
ampiflux,250 mg / 5 ml,suspension
ampiflux,500 mg,capsule
ampofer,20 mg/ml,ampoule
amrase,Null,tablet
amri-k,10 mg/ml,ampoule
amribromazepam,1.5 mg,tablet
amribromazepam,3 mg,tablet
amricarnitine,1 gm / 5 ml,ampoule
amricarnitine,300 mg,tablet
amriflucan,150 mg,capsule
amriflucan,50 mg,capsule
amriodivasc,10 / 10 mg,tablet
amriodivasc,10 / 5 mg,tablet
amriodivasc,5 / 10 mg,tablet
amriodivasc,5 / 5 mg,tablet
amriphylline,0.05 gm / 5 ml,syrup
amriphylline,100 mg,suppository
amriphylline,300 mg,suppository
amristatin,20 mg,tablet
amristatin,40 mg,tablet
amristatin,80 mg,tablet
