original_name,drug_name,dose,form
lodipine 2mg 7 f.c.tab.,lodipine,2mg,tab
lodipine 4mg 7 f.c. tabs.,lodipine,4mg,tabs
lodoz 10/6.25 mg 30 f.c. tabs.,lodoz,10/6.25 mg,tabs
lodoz 2.5/6.25 mg 30 f.c. tabs.,lodoz,2.5/6.25 mg,tabs
lodoz 5/6.25 mg 30 f.c. tabs.,lodoz,5/6.25 mg,tabs
lofenalac 454 gm- powder,lofenalac,454 gm,powder
logical 30 f.c. tabs.,logical,0,tabs
logical syrup 100 ml,logical,100 ml,syrup
logimax s.r. 30 tab.,logimax,0,tab
logipact hair cream 120 gm,logipact hair,120 gm,cream
logipact hair mask 150 gm,logipact hair,150 gm,mask
logipact hair mask 250 gm,logipact hair,250 gm,mask
logipact hair repair serum 50 ml,logipact hair repair,50 ml,serum
logipact hair shampoo and conditioner 250 ml,logipact hair,250 ml,shampoo and conditioner
logipact hair tonic spray 150 ml,logipact hair tonic,150 ml,spray
logus gyn 10 vag ovules,logus gyn,0,vag ovules
logy vit with iron 10 cap,logy vit with iron,0,cap
lohydran 10 packets,lohydran,0,packets
lokaglobin 30 ml drops,lokaglobin,30 ml,drops
lokavi 20 sachets,lokavi,0,sachets
lokazanda mouth spray 60 ml,lokazanda,60 ml,mouth spray
lokazinc cream 50 gram,lokazinc,50 gram,cream
lokelma 10 gm 3 sachets,lokelma,10 gm,sachets
lokelma 5 gm 30 sachets,lokelma,5 gm,sachets
loki chocolate,loki,0,chocolate
lolawest 3gm 6 sachets,lolawest,3gm,sachets
lolawest concentrate 5g/10ml 5 amp.,lolawest concentrate,5g/10ml,amp
lolecel syrup 120 ml,lolecel,120 ml,syrup
lolyshea cream 50 gm,lolyshea,50 gm,cream
loma neogen hair lotion,loma neogen hair,0,lotion
lomeflox 400mg 10 f.c. tabs.,lomeflox,400mg,tabs
lomex 400 mg 10 tab.,lomex,400 mg,tab
lomexcure 3mg/ml eye drops 5 ml,lomexcure,3mg/ml,eye drops
lomir - s r- 5 mg- 10 cap,lomir,5 mg,cap
lomir 2.5mg 20 tab,lomir,2.5mg,tab
lomotil 20 tab,lomotil,0,tab
lomoxen 400mg 10 tab.,lomoxen,400mg,tab
lomustine-medac 40mg 20 caps. ss,lomustine-medac,40mg,caps
lomy massage cream 60 gm,lomy massage,60 gm,cream
lomy massage gel 60 gm,lomy massage,60 gm,gel
longacef 1 gm i.v. vial,longacef,1 gm,vial
longacef 1 gm vial i.m.,longacef,1 gm,vial
longactin s m d 8 tab,longactin s m d,0,tab
longagen 30 caps.,longagen,0,caps
longavit b 12 3 amp,longavit b 12,0,amp
longavit b12 1mg/ml 3 amp. for im inj,longavit b12,1mg/ml,amp
longicef 125mg/5ml susp. 60 ml,longicef,125mg/5ml,susp
longicef 250mg/5ml susp. 60ml,longicef,250mg/5ml,susp
longicef 500 mg 8 caps.,longicef,500 mg,caps
loniten 5mg 60 tab,loniten,5mg,tab
