original_name,drug_name,dose
2hc f.c.t 20 tablets,2hc,0
2m whites beegu marin spray,2m whites beegu marin spray,0
3 fly 1200 mg 20tabs,3 fly,1200 mg
3 fly 300 mg 20 tabs,3 fly,300 mg
3 fly 400 mg 20 tabs,3 fly,400 mg
3 fly 600 mg 20 tabs,3 fly,600 mg
Amazon cal 20 f.c tab,Amazon cal,0
B12 ALEX 20 FILM,B12 ALEX,0
DALE DAL 4000 IU 30 CAP,DALE DAL,4000 IU
Haireka hair lotion 200ml,Haireka hair lotion,200ml
Iishou 36 cpasules,Iishou,0
MEDIXOACT 60 GM GEL,MEDIXOACT GEL,60 GM
Mikids shampoo 90ml,Mikids shampoo,90ml
Pregnarole 20 f.c tab,Pregnarole,0
Tragol Drops 15 ml,Tragol Drops,15 ml
abevemy 100mg/4ml conc. vial for i.v. inf.,abevemy,100mg/4ml
abevemy 400mg/16ml conc. vial for i.v. inf.,abevemy,400mg/16ml
abr vitamin d 20 tabs,abr vitamin d,0
abraxane 100mg vial,abraxane,100mg
acetolytic 600 mg 10 caps.,acetolytic,600 mg
acetyl - c corcept 20 cap,acetyl - c corcept,0
achterctin 0.5% lotion 60 ml,achterctin lotion,0.5%
acrolyte 250ml solution,acrolyte solution,250ml
actemra 162mg/0.9ml 4 syringes,actemra,162mg/0.9ml
acti 20 mg 20 tabs,acti,20 mg
acti-repair cica cream,acti-repair cica cream,0
actofense 30 tablets,actofense,0
actriazole 200mg 2 caps.,actriazole,200mg
adkoprandy 75 gm message gel,adkoprandy message gel,75 gm
adofrinaz 20 ml nasal drops,adofrinaz nasal drops,20 ml
adrien gagnon omega-3 40 caps,adrien gagnon omega-3,0
adwiprost 30 tabs,adwiprost,0
adwithiotic 20 tab,adwithiotic,0
aesicaneu b 30 tablet,aesicaneu b,0
afrezim 20 tabs,afrezim,0
agarokash 10 sachets,agarokash,0
agarstin 15 ml oral drops,agarstin oral drops,15 ml
aig iron 30 caps,aig iron,0
akiva brightening face serum 30 ml,akiva brightening face serum,30 ml
akiva dc eye contour gel 15 ml,akiva dc eye contour gel,15 ml
akiva facial foaming cleanser 150 ml,akiva facial foaming cleanser,150 ml
akiva renovate gel 120 ml,akiva renovate gel,120 ml
akiva retinol face serum 30 ml,akiva retinol face serum,30 ml
alaflic 20 caps,alaflic,0
albunorm 20% i.v.infusion,albunorm,20%
alejon anti hair loss 15 vials x 3 ml,alejon anti hair loss,3 ml
alejon eye contour cream with concealer 30 ml,alejon eye contour cream with concealer,30 ml
alejon foot cream 75 ml,alejon foot cream,75 ml
alejon post laser cream 75 gm,alejon post laser cream,75 gm
alejon sunscreen primer 50 gm,alejon sunscreen primer,50 gm
