original_name,drug_name,dose,form
xibion 20 pieces,xibion,0,pieces
xibion 30 tabs.,xibion,0,tabs
xiclav 1gm 14 f.c. tabs.,xiclav,1gm,tabs
xiclav 625gm 10 f.c. tabs.,xiclav,625gm,tabs
xigduo 5/1000 mg 56 f.c.tabs.,xigduo,5/1000 mg,tabs
xiloial eye drops 10 ml,xiloial,0,eye drops
xiloial mono eye drops 20 re-closable vials * 0.5 ml,xiloial mono,0,eye drops
xilone 20 mg 20 orodispersable tabs.,xilone,20 mg,orodispersable tabs
xilone 5mg/5ml syrup 100ml,xilone,5mg/5ml,syrup
xilone forte 15mg/5ml syrup 100 ml,xilone forte,15mg/5ml,syrup
xilopred 16 mg 20 tabs.,xilopred,16 mg,tabs
xilopred 4mg 20 tablets,xilopred,4mg,tablets
ximacef 100 mg/5ml susp. 30ml,ximacef,100 mg/5ml,susp
ximacef 100 mg/5ml susp. 60 ml,ximacef,100 mg/5ml,susp
ximacef 200mg 8 capsule,ximacef,200mg,capsule
ximacef 400mg 5 capsule,ximacef,400mg,capsule
ximalact 250 mg 10 caps.,ximalact,250 mg,caps
ximalact 250 mg 20 caps.,ximalact,250 mg,caps
ximalact 250mg 30 capsules,ximalact,250mg,capsules
xinase 10 caps,xinase,0,caps
xioglia 15 sachet,xioglia,0,sachet
xiruvasc 50mg vial,xiruvasc,50mg,vial
xithrobiotic 500mg 3 caps.,xithrobiotic,500mg,caps
xithrobiotic ophthalmic sol. 2.5 ml,xithrobiotic,0,ophthalmic sol
xithrone 200 mg/5ml susp. 15ml,xithrone,200 mg/5ml,susp
xithrone 200 mg/5ml susp. 25 ml,xithrone,200 mg/5ml,susp
xithrone 500 mg powder for i.v. inf. 10 ml,xithrone,500 mg,powder for i.v. inf
xithrone 500mg 3 f.c.tab.,xithrone,500mg,tab
xithrone 500mg 5 f.c.tab.,xithrone,500mg,tab
xola 2% eye drops 5 ml,xola,2%,eye drops
xolair 150mg vial s.c.,xolair,150mg,vial
xolamol eye drops 5 ml,xolamol,0,eye drops
xomega syrup 120 ml,xomega,0,syrup
xoplict 250mg/5ml syrup 100ml,xoplict,250mg/5ml,syrup
xoraxon 1gm i.m. vial,xoraxon,1gm,vial
xoraxon 1gm i.v. vial,xoraxon,1gm,vial
xoraxon 2gm i.v. vial,xoraxon,2gm,vial
xoraxon 500mg i.m. vial,xoraxon,500mg,vial
xoraxon 500mg i.v. vial,xoraxon,500mg,vial
xorin 1 gm vial,xorin,1 gm,vial
xorin 250mg vial,xorin,250mg,vial
xorin 2gm vial,xorin,2gm,vial
xorin 500mg vial,xorin,500mg,vial
xtandi 40 mg 112 caps.,xtandi,40 mg,caps
xtrazidime 1 gm vial i.m./i.v.,xtrazidime,1 gm,vial
xtrazidime 2 gm vial i.m./i.v.,xtrazidime,2 gm,vial
xtrazidime 500 mg vial i.m./i.v.,xtrazidime,500 mg,vial
xtreme lean cap 120,xtreme lean,0,cap
xultophy 100 i.u./3.6 mg/ml prefilled pen 3 ml,xultophy,100 i.u./3.6 mg/ml,prefilled pen
xyclindo 1% topical foam,xyclindo,1%,topical foam
