drug_name,dose,form
angiopress comp,50/25 mg,tab
angiosartan,10 mg,tabs
angiosartan,20 mg,tabs
angiosartan,40 mg,tabs
angiosartan plus,20/12.5 mg,tabs
angiosartan plus,20/25 mg,tabs
angiosartan plus,40/12.5 mg,tabs
angiosartan plus,40/25 mg,tabs
angiovan,5 mg,tab
angiprotect,20 mg,tabs
angised,0.5 mg,tab
angitect,60 mg,tab
angosmooth,75 mg,tabs
angurate,Null,bags
anika hair,250 ml,conditioner
anika hair,75 ml,serum
anika hair,250 ml,shampoo
animal shapes usp,Null,tab
anise isis,Null,sachets
anisol,Null,cap
anivagene man,2.5 ml,ampoules
anivagene woman,2.5 ml,ampoules
anivagene anti-dandruff,200 ml,shampoo
anivagene,125 ml,conditioner
anivagene eyelash,10 ml,serum
anivagene hair,125 ml,mask
anivagene man,200 ml,shampoo
anivagene woman,200 ml,shampoo
ankle brace,Null,Null
anona care hair,200 ml,oil
anona hair antifrizz,250 ml,serum
anona hair,120 ml,lotion
anona vaginal,120 ml,wash
anoro ellipta,62.5/25 mcg,inhaler
anovca,50 gm,cream
anovca tooth,30 gm,gel
anoxicam,20 mg,supp
anoxicam,20 mg,tab
anschlarin,120 ml,syrup
anselacox,120 mg,tabs
anselacox,30 mg,tabs
anselacox,60 mg,tabs
anselacox,90 mg,tabs
anselafil,10 mg/ml,susp
antacid-jedco,480 mg,chewable tab
antacidin,Null,tab
antacidin plus,Null,tab
anthelios dermo-pediatrics spf 50+,200 ml,lotion
anthelios dermo-pediatrics spf 50+,200 ml,spray
anthelios hydrating cream spf50,50 ml,cream
