original_name,drug_name,dose,form
rontigrone 400 mg 30 scored f.c. tabs.,Rontigrone,400 mg,tabs
rontovan 4 gm 10 sachets,Rontovan,4 gm,sachets
rony hair oil 60 ml,Rony Hair,60 ml,oil
rony hair spray 120 ml,Rony Hair,120 ml,spray
rony sweet 1.5g*50 sachets,Rony Sweet,1.5 g,sachets
rony syrup 100 ml,Rony,100 ml,syrup
rootafit hair serum 120 ml,Rootafit Hair,120 ml,serum
rootage hair anti-frizz serum 100 ml,Rootage Hair,100 ml,serum
rootage hair cream 40 gm,Rootage Hair,40 gm,cream
rootage hair lotion 100ml,Rootage Hair,100 ml,lotion
rootage hair oil 100ml,Rootage Hair,100 ml,oil
rootage shampoo 75 ml,Rootage,75 ml,shampoo
rootage skin cream 50 gm,Rootage Skin,50 gm,cream
rootage sun oil 50ml,Rootage Sun,50 ml,oil
ropas 10 sachets 3 gm,Ropas,3 gm,sachets
ropinirole 0.25 mg 10 tab.,Ropinirole,0.25 mg,tab
ropinirole 0.5 mg 30 tablets,Ropinirole,0.5 mg,tablets
ropinirole 2 mg 10 tab.,Ropinirole,2 mg,tab
roplex 100ml 10 sachets,Roplex,100 ml,sachets
roplx 100ml 10 sachets,Roplx,100 ml,sachets
roqarik 90 mg 20 tabs,Roqarik,90 mg,tabs
rorep 20 pieces,Rorep,20 mg,pieces
rosa clean skin wash,Rosa Clean Skin,0,wash
rosa vag.douche 120ml,Rosa,120 ml,douche
rosadine vaginal douch 120 ml,Rosadine,120 ml,douche
rosafem 20 soft pieces,Rosafem,20 mg,pieces
rosagel 0.75% gel 20 gm,Rosagel,0.75 %,gel
rosagel 20g gel,Rosagel,20 g,gel
rosaj psyllium and chromium 20 sachets,Rosaj Psyllium,20 mg,sachets
rosalin 120 ml mouth wash,Rosalin,120 ml,wash
rosalin mouth wash 120ml,Rosalin,120 ml,wash
rosalinda oro moisturizing cream 50 gm,Rosalinda,50 gm,cream
rosandia 2mg 20 tab,Rosandia,2 mg,tab
rosaseef 30 caps,Rosaseef,30 mg,caps
rosatrend 1000 mg 20 caps.,Rosatrend,1000 mg,caps
rosavision antiseptic body wash 250ml,Rosavision,250 ml,wash
rosavision shower gel 250 ml,Rosavision Shower,250 ml,gel
roscogen 10 sachets,Roscogen,10 mg,sachets
rose 150 tab,Rose,150 mg,tab
rosel 10 sachets,Rosel,10 mg,sachets
rosemond 0.5mg 10 tab,Rosemond,0.5 mg,tab
rosemond 0.5mg 10 tab.,Rosemond,0.5 mg,tab
rosemond 1 mg 10 tab,Rosemond,1 mg,tab
rosemond 1 mg 10 tabs.,Rosemond,1 mg,tabs
rosemond 2 mg 10 tab,Rosemond,2 mg,tab
rosemondn 2 mg 10 tabs.,Rosemondn,2 mg,tabs
rosha 30 chewable tabs,Rosha,30 mg,tabs
rosi-plus 2/500mg 20tab,Rosi-Plus,2/500 mg,tab
rosidex 2mg 10 tab,Rosidex,2 mg,tab
rosidex 4mg 10 tab,Rosidex,4 mg,tab
