original_name,drug_name,dose,form
enova cu t 380a intrauterine device,enova cu t 380a,0,intrauterine device
enoxirt 0.5 gm i.m. vial,enoxirt,0.5 gm,i.m. vial
enoxirt 0.5 gm i.v. vial,enoxirt,0.5 gm,i.v. vial
enoxirt 1 gm i.m. vial,enoxirt,1 gm,i.m. vial
enoxirt 1 gm i.v. vial,enoxirt,1 gm,i.v. vial
enrich oral drops 30 ml,enrich,30 ml,oral drops
enrich plus 14 capsules,enrich plus,0,capsules
enrich syrup 100 ml,enrich,100 ml,syrup
ensudyne 15mg 7 tab.,ensudyne,15mg,tab
ensudyne 30mg 7 tab.,ensudyne,30mg,tab
ensure powder 400 gm,ensure,400 gm,powder
entecavir 0.25mg/5ml oral soln. 210 ml,entecavir,0.25mg/5ml,oral soln
entecavir 0.5 mg 10 tab,entecavir,0.5 mg,tab
entecavir 1 mg 10 tab.,entecavir,1 mg,tab
enterogermina 2 billion/5ml oral susp. 10 mini bottles,enterogermina,2 billion/5ml,oral susp
enterogermina 4 billion/5ml oral susp. 10 mini bottles,enterogermina,4 billion/5ml,oral susp
enterolok 10 f.c.tab.,enterolok,0,tab
enterolok 10tab,enterolok,0,tab
enteromycin dry 60 ml syrup,enteromycin,60 ml,dry syrup
enteroquin 250mg 20 tab.,enteroquin,250mg,tab
enteroquin comp. pd. for oral susp. 60 ml,enteroquin comp.,60 ml,pd. for oral susp
entocid 20*10 tab.,entocid,0,tab
entocid compound 15 sachet for oral susp.,entocid compound,0,sachet for oral susp
entocid h 20 tabs.,entocid h,0,tabs
entocort 3mg 45 capsules,entocort,3mg,capsules
entophar 125mg/5ml susp. 120ml,entophar,125mg/5ml,susp
entophar 500 mg 5 vag. ovules,entophar,500 mg,vag. ovules
entresto 100 mg (49/51 mg) 28 f.c. tabs.,entresto,100 mg,tabs
entresto 200 mg (97/103 mg) 56 f.c. tabs.,entresto,200 mg,tabs
entresto 50 mg (24/26 mg) 28 f.c. tabs.,entresto,50 mg,tabs
entrim 20 tab,entrim,0,tab
entyvio 300 mg vial for inf.,entyvio,300 mg,vial for inf
enzaprost f- 5 mg-5 amp,enzaprost f-,5 mg,amp
enzyherb 20 capsules,enzyherb,0,capsules
enzymotrex 200 ceip unit/ml syrup 100 ml,enzymotrex,200 ceip unit/ml,syrup
epa 300 mg 20 tab,epa,300 mg,tab
epa omega - 3 fatty acids. 20 soft cap,epa omega - 3 fatty acids.,0,soft cap
epanutin 100mg 50 caps,epanutin,100mg,caps
epcidin s.r. 6 mg 10 caps.,epcidin s.r.,6 mg,caps
epcifam 10mg 10 effervescent granules,epcifam,10mg,effervescent granules
epcifam 20mg 10 orally disentigrating tabs.,epcifam,20mg,orally disentigrating tabs
epcifam plus 10 chewable tab.,epcifam plus,0,chewable tab
epciflurifen 8.75 mg 20 lozenges,epciflurifen,8.75 mg,lozenges
epcimox 125mg 8 oral dis. tab.,epcimox,125mg,oral dis. tab
epcimox 250mg 8 oral dis. tab.,epcimox,250mg,oral dis. tab
epcura mr 4mg 10 tab.,epcura mr,4mg,tab
ephedrine 30mg/ml 100 amp.,ephedrine,30mg/ml,amp
ephedrine sulphate 50mg/ml 100 amp.,ephedrine sulphate,50mg/ml,amp
ephedrine sulphate-misr 25mg/ml 100 amp.,ephedrine sulphate-misr,25mg/ml,amp
ephricetamol 10 caps,ephricetamol,0,caps
