original_name,drug_name,dose,form
otribaby nasal aspirator,otribaby nasal aspirator,0,aspirator
otribaby refill 10 nasal aspirator,otribaby refill nasal aspirator,0,aspirator
otrinatural plus aloe vera nasal spray 50 ml,otrinatural plus aloe vera,50 ml,nasal spray
otrivin 0.05% pediatric nasal drops 15 ml,otrivin pediatric,0.05%,nasal drops
otrivin 0.1% adult nasal drops 15 ml,otrivin adult,0.1%,nasal drops
otrivin 0.1% adult nasal spray 10 ml,otrivin adult,0.1%,nasal spray
otrivin baby saline nasal drops 15 ml,otrivin baby saline,0,nasal drops
otrivin menthol 0.1% nasal drops. 10 ml (n/a),otrivin menthol,0.1%,nasal drops
ottelia liqui-gel feminine wash 200 ml,ottelia liqui-gel feminine wash,200 ml,wash
oubain 250mg 6 amp,oubain,250 mg,amp
ouchy lamore cream 100 gm,ouchy lamore,100 gm,cream
ova pro 120 capsule,ova pro,0,capsule
ovacan 30 caps,ovacan,0,caps
ovaltine 400 gm,ovaltine,400 gm,0
ovamax 120 veg. caps.,ovamax,0,veg. caps.
over seas cap. 20 capsule,over seas,0,capsule
oversa cream 14 200 ml,oversa,200 ml,cream
oversa hair spray 250ml,oversa,250 ml,hair spray
overseas cod liver oil syrup 100 ml,overseas cod liver oil,100 ml,syrup
ovestin 1mg 20 tab,ovestin,1 mg,tab
ovitrelle 250 mcg/0.5 ml pre-filled syringe,ovitrelle,250 mcg/0.5 ml,pre-filled syringe
ovunhipita 75 mcg 28 tabs.,ovunhipita,75 mcg,tabs.
oxa 20 lozenges,oxa,0,lozenges
oxacleran 10 mg 10 tabs.,oxacleran,10 mg,tabs.
oxacleran 5 mg 10 tabs.,oxacleran,5 mg,tabs.
oxaleptal 300 mg 30 f.c.tabs.,oxaleptal,300 mg,tabs.
oxaleptal 600mg 30 f.c. tabs.,oxaleptal,600 mg,tabs.
oxaleptal 60mg/ml oral susp. 100ml,oxaleptal,60 mg/ml,oral susp.
oxaliplatin 100mg for infusion,oxaliplatin,100 mg,infusion
oxaliplatin 50mg vial for infusion.,oxaliplatin,50 mg,vial
oxaliplatin actavis 100mg inf. vial(n/a),oxaliplatin actavis,100 mg,inf. vial
oxaliplatin actavis 50mg inf. vial(n/a),oxaliplatin actavis,50 mg,inf. vial
oxaliplatin ebewe 100 mg vial,oxaliplatin ebewe,100 mg,vial
oxaliplatin ebewe 50 mg vial,oxaliplatin ebewe,50 mg,vial
oxaliplatin hospira 100 mg vial,oxaliplatin hospira,100 mg,vial
oxaliplatin hospira 200 mg vial,oxaliplatin hospira,200 mg,vial
oxaliplatin hospira 50 mg vial,oxaliplatin hospira,50 mg,vial
oxaliplatin sandoz 100mg vial,oxaliplatin sandoz,100 mg,vial
oxaliplatin sandoz 50mg vial,oxaliplatin sandoz,50 mg,vial
oxaliplatine mylan 100 mg vial,oxaliplatine mylan,100 mg,vial
oxaliplatine mylan 100mg for infusion.,oxaliplatine mylan,100 mg,infusion
oxaliplatine mylan 50 mg vial,oxaliplatine mylan,50 mg,vial
oxaliplatine mylan 50mg for infusion.,oxaliplatine mylan,50 mg,infusion
oxamin 10 sachets for immunity with vanilla,oxamin,0,sachets
oxaplatin 100mg (20ml) vial,oxaplatin,100 mg,vial
oxaplatin 50mg (10ml) vial,oxaplatin,50 mg,vial
oxaprin-misr 600 mg 10 tab.,oxaprin-misr,600 mg,tab.
oxaprozinan 600 mg 20 f.c. tabs.,oxaprozinan,600 mg,tabs.
oxatrilepazine 300mg 60 f.c.tab,oxatrilepazine,300 mg,tab
oxatrilepazine 600 mg 10 f.c.tab,oxatrilepazine,600 mg,tab
