original_name,drug_name,dose,form
emijectacin 100mg/2ml i.m./i.v. vial,emijectacin,100mg/2ml,vial
emijectacin 500mg/2ml i.m./i.v. vial,emijectacin,500mg/2ml,vial
emiprofen 100mg/2ml 3 amp. for i.m. inj.,emiprofen,100mg/2ml,amp.
emirvy hair lotion 120ml,emirvy hair,120ml,lotion
emirvy hair solution 10 amp. * 5 ml,emirvy hair,5 ml,solution
emitacalm cream 50 gm,emitacalm,50 gm,cream
emla 2 patches,emla,0,patches
emla 5% cream 5 gm 5 tubes,emla,5%,cream
emla 5% cream 5 tubes,emla,5%,cream
emmyrosa hair lotion 120 ml,emmyrosa hair,120 ml,lotion
emo scar cream 60 gm,emo scar,60 gm,cream
emo scar gel 30 gm,emo scar,30 gm,gel
emo soft cream 15 gm,emo soft,15 gm,cream
emo soft cream 30 gm,emo soft,30 gm,cream
emo-bro gel 50 gm,emo-bro,50 gm,gel
emo-rose solution cleanser120ml,emo-rose,120ml,solution cleanser
emocap massage cream 50 gm,emocap massage,50 gm,cream
emoflon rectal oint. 25 gm,emoflon,25 gm,rectal oint.
emoflour mouth wash 250 ml,emoflour,250 ml,mouth wash
emoform-f mouth wash 250 ml,emoform-f,250 ml,mouth wash
emolair emollient 30 gm cream,emolair,30 gm,emollient cream
emolia cream 25 gm,emolia,25 gm,cream
emoroto 100 sachets,emoroto,0,sachets
emosan cream 50 gm,emosan,50 gm,cream
empabetes 25 mg 30 f.c. tabs.,empabetes,25 mg,tabs.
empacoza 10 mg 30 f.c. tabs,empacoza,10 mg,tabs
empacoza 25 mg 30 f.c. tabs.,empacoza,25 mg,tabs.
empacoza plus 10/5mg 30 f.c tabs,empacoza plus,10/5mg,tabs
empacoza plus 25/5mg 30 f.c tabs,empacoza plus,25/5mg,tabs
empacoza trio 10/5/1000 mg 30 tabs,empacoza trio,10/5/1000 mg,tabs
empacoza trio 25/5/1000 mg 30 tabs,empacoza trio,25/5/1000 mg,tabs
empacyrl 10/5 mg 10 f.c. tabs.,empacyrl,10/5 mg,tabs.
empacyrl 25/5 mg 10 f.c. tabs.,empacyrl,25/5 mg,tabs.
empagliform 12.5/1000 mg 30 f.c. tabs.,empagliform,12.5/1000 mg,tabs.
empagliform 12.5/500 mg 30 f.c. tabs.,empagliform,12.5/500 mg,tabs.
empagliform 5/1000 mg 30 f.c. tabs.,empagliform,5/1000 mg,tabs.
empagliform 5/500 mg 30 f.c. tabs,empagliform,5/500 mg,tabs
empagliform xr 10/1000 mg 30 f.c. tabs.,empagliform xr,10/1000 mg,tabs.
empagliform xr 25/1000 mg 30 f.c. tabs.,empagliform xr,25/1000 mg,tabs.
empaglimax 10 mg 30 f.c. tabs,empaglimax,10 mg,tabs
empaglimax 25 mg 30 f.c. tabs.,empaglimax,25 mg,tabs.
empaglutech 10mg 30 tabs,empaglutech,10mg,tabs
empaglutech 25mg 30 tabs,empaglutech,25mg,tabs
empirg b12 30 chew.tab,empirg b12,0,chew.tab
emrc 20 tablet,emrc,20 mg,tablet
emthexate pf 100mg/ml (1g) vial,emthexate pf,100mg/ml (1g),vial
emthexate pf 100mg/ml (5g) vial,emthexate pf,100mg/ml (5g),vial
emthexate pf 25mg/ml (500mg) vial,emthexate pf,25mg/ml (500mg),vial
emthexate pf 25mg/ml (50mg) vial,emthexate pf,25mg/ml (50mg),vial
emubac 1000mg/67mg 20 caps.,emubac,1000mg/67mg,caps.
