original_name,drug_name,dose,form
nicotinell tts 20 20 cm2- 7 patch,nicotinell tts,20 cm2,patch
nicotinell tts 20 35 mg patches,nicotinell tts,35 mg,patches
nicotinell tts 20 cm square,nicotinell tts,20 cm2,patch
nicotinell tts 30 cm square,nicotinell tts,30 cm2,patch
nicotinic acid 100mg 50 tab,nicotinic acid,100mg,tab
nicotipan 1000 mg 20 extended release f.c. tabs.,nicotipan,1000 mg,extended release tabs
nicotipan 500 mg 20 extended release f.c. tabs.,nicotipan,500 mg,extended release tabs
nicotipan 750 mg 20 extended release f.c. tabs.,nicotipan,750 mg,extended release tabs
nido-1 plus milk 145 gm,nido-1 plus milk,145 gm,0
nido-1 plus milk 288 gm,nido-1 plus milk,288 gm,0
nido-1 plus milk 576 gm,nido-1 plus milk,576 gm,0
nifedipine 30 mg sr 10 caps.,nifedipine,30 mg,sr caps
nifedipine 60 mg sr 10 caps.,nifedipine,60 mg,sr caps
nifepin 10 mg 24 caps,nifepin,10 mg,caps
nifluma 2.5% gel 20 gm,nifluma,2.5%,gel
nifluma 3% cream 20 gm,nifluma,3%,cream
nifunal 200mg 12 caps.,nifunal,200mg,caps
nifunal 4% susp. 60 ml,nifunal,4%,susp
nifunal 4% susp. 90 ml,nifunal,4%,susp
nifunazide 220mg/5ml susp. 60 ml,nifunazide,220mg/5ml,susp
nifurox 200mg/5ml 100ml susp.,nifurox,200mg/5ml,susp
nifuroxazide 200 mg 20 caps.,nifuroxazide,200 mg,caps
nifuroxazide 220mg/5ml 60ml susp.,nifuroxazide,220mg/5ml,susp
nigella and garlic 30 cap,nigella and garlic,0,cap
nigellar 20 cap,nigellar,0,cap
night & day n 10 f.c. tabs,night & day n,0,tabs
night calm 1mg 30 f.c. tabs.,night calm,1mg,tabs
night calm 3mg 30 f.c. tabs.,night calm,3mg,tabs
night nurse capsules 10 caps,night nurse,0,capsules
night nurse capsules 20 caps,night nurse,0,capsules
night nurse syrup,night nurse,0,syrup
nighttime liquid caps 20 softgels imp,nighttime liquid caps,0,softgels
niketamide 25 % - 100 amp,niketamide,25 %,amp
nile gest 20 caps,nile gest,0,caps
nilopenem 1000mg i.v. vial,nilopenem,1000mg,i.v. vial
nilpig cream 60 gm,nilpig,60 gm,cream
nilsid susp 120 ml,nilsid,0,susp
nimbex 2mg/ml (10ml=20mg) 5amps.,nimbex,2mg/ml,amps
nimbex 2mg/ml (2.5ml=5mg) 5 amps.,nimbex,2mg/ml,amps
nimbex 2mg/ml (5ml=10mg) 5 amps.,nimbex,2mg/ml,amps
nimenrix vial powder for i.m.,nimenrix,0,vial powder
nimo 30 mg 10 caps.,nimo,30 mg,caps
nimodipine 30mg 30 tabs.,nimodipine,30mg,tabs
nimotask 10 mg i.v. inf. vial 50 ml,nimotask,10 mg,i.v. inf. vial
nimotop 0.2mg/ml i.v. inf. 50 ml(n/a),nimotop,0.2mg/ml,i.v. inf.
nimotop 30mg 30tabs.(illegal import),nimotop,30mg,tabs
ninlaro 2.3 mg 3 caps.,ninlaro,2.3 mg,caps
ninlaro 3 mg 3 caps.,ninlaro,3 mg,caps
ninlaro 4 mg 3 caps.,ninlaro,4 mg,caps
nipal cream 30gm,nipal,30gm,cream
