drug_name,dose,form
acnesept,80 gram,soap
acnesol,100 gm,soap
acnesone,60 ml,lotion
acnetin- a,0.025 %,topical gel
acnetin- a,0.05 %,cream
acnetin- a,0.05 %,topical sol.
acnetrox,1 %,topical cream
acnevera,80 gm,soap
acnevit anti-acne,200 ml,cleansing gel
acnevit anti-acne,30 ml,serum
acni-care,2 %,lotion
acni-care,2 %,top. gel.
acniact,15 gm,topical gel
acnidu,Null,topical gel
acnil,60 ml,lotion
acnimed face foam,200 ml,cleanser
acnimed,75 ml,topical gel
acniswab,0.1 %,cream
acnitaz,0.1 %,topical gel.
acnora,50 ml,cream
acomplia,20 mg,tablet
acretin,0.025 %,cream
acretin,0.05 %,cream
acro,75 gm,cream
acrocal,Null,chewable tabs.
acromolyn,Null,eye drops
act hair,125 ml,shampoo
act life,Null,capsules
act-hib vaccine,10 mcg/0.5 ml,vial
actemra,200 mg/10 ml,vial
actemra,400 mg/20 ml,vial
actemra,80 mg/4 ml,vial
acti 4 plus whitening,75 gm,cream
acti-colla advance,Null,sachets
acti-colla advance,Null,sachets
acti-colla-c,Null,sachets
acti-colla-c,Null,sachets
acti-folic,Null,tabs.
acti-vita,200 ml,cleansing lotion
acti-vita enriched eye procgen,15 ml,creme
acti-vita gold procgen,50 ml,creme
acti-vita gold procgen,15 ml,serum
acti-vita gold procgen,125 ml,softening lotion
acti-vita perfect complexion,100 ml,mask
acti-vita ultra rich procgen,50 ml,creme
actica,Null,sachets
acticarb,Null,tab
actidior,25 gm,gel
actifast,12.5 mg,tab.
actifast,50 mg,sachets
