original_name,drug_name,dose,form
seropipe hair mask 300 ml,seropipe hair,300 ml,mask
seropipe hair serum 100 ml,seropipe hair,100 ml,serum
seropipe hair shampoo 300 ml,seropipe hair,300 ml,shampoo
seropipe hair spray 200 ml,seropipe hair,200 ml,spray
seroquel 100mg 10 tab,seroquel,100mg,tab
seroquel 100mg 30 tab,seroquel,100mg,tab
seroquel 200mg 10 tab,seroquel,200mg,tab
seroquel 200mg 30 tab,seroquel,200mg,tab
seroquel 25mg 10 tab,seroquel,25mg,tab
seroquel xr 200mg 10 tab,seroquel xr,200mg,tab
seroquel xr 300mg 30 tab,seroquel xr,300mg,tab
seroquel xr 400mg 30 tab,seroquel xr,400mg,tab
seroquel xr 50 mg 10 tab,seroquel xr,50 mg,tab
seroxat 20mg 30 f.c.tab.,seroxat,20mg,tab
seroxat cr 12.5mg 30 f.c. tab,seroxat cr,12.5mg,tab
seroxat cr 25mg 30 f.c. tab,seroxat cr,25mg,tab
serpass 100mg 20 f.c. tab.,serpass,100mg,tab
serpass 100mg 30 f.c. tab.,serpass,100mg,tab
serpass 50mg 30 f.c.tab.,serpass,50mg,tab
sertral 50mg 10 tab.,sertral,50mg,tab
sertraline 20mg/ml oral concentrate 60 ml,sertraline,20mg/ml,oral concentrate
sertraline 25mg 20 f.c. tab.,sertraline,25mg,tab
servect hair oil with serum 200 ml,servect hair,200 ml,oil with serum
servi light 30 caps.,servi light,Null,caps
servi light 60 caps.,servi light,Null,caps
servicare liquid intimate feminine wash 250 ml,servicare liquid intimate feminine,250 ml,wash
servicare liquid vag wash 125 ml,servicare liquid vag,125 ml,wash
serviclazid 80mg 10 tab.,serviclazid,80mg,tab
serviclor 125mg/5ml susp 60 ml,serviclor,125mg/5ml,susp
serviclor 250mg 12 cap,serviclor,250mg,cap
serviclor 250mg susp 60 ml,serviclor,250mg,susp
serviclor 500 mg 8 cap,serviclor,500 mg,cap
serviflox 250 mg 10 f.c.tab.,serviflox,250 mg,tab
serviflox 500mg 10 f.c.tab.,serviflox,500mg,tab
serviflox 750 mg 10 f.c. tab.,serviflox,750 mg,tab
servipep 20mg 14 f.c. tab.,servipep,20mg,tab
servipep 40mg 14 f.c. tab.,servipep,40mg,tab
servivit plus 14 caps.,servivit plus,Null,caps
serzone 100 mg 14 tab,serzone,100 mg,tab
serzone 200 mg 14 tab,serzone,200 mg,tab
seserine 50mg 30 tab.,seserine,50mg,tab
seta cream 50 gm,seta,50 gm,cream
seta- care 80 gm cream,seta-care,80 gm,cream
setano skin cleanser gel 120ml,setano skin cleanser,120ml,gel
setavlon 120ml antiseptic sol,setavlon antiseptic,120ml,sol
setavlon antiseptic 4 liter- t.sol,setavlon antiseptic,4 liter,solution
setavlon antiseptic solution 120ml,setavlon antiseptic,120ml,solution
setavlon conc topical solution 4litre,setavlon conc topical,4litre,solution
setrabem spray 10 ml,setrabem,10 ml,spray
setronomet 4 mg 4 oral dis. tabs.,setronomet,4 mg,oral dis. tabs.
