original_name,drug_name,dose,form
vudinine 100 mg 10 f.c. tabs.,vudinine,100 mg,tabs
vulga cream 30 gm,vulga,30 gm,cream
w.g.cal 20 tab,w.g.cal,0,tab
wadibradin 5 mg 20 tabs,wadibradin,5 mg,tabs
wadibradin 7.5 mg 20 tabs,wadibradin,7.5 mg,tabs
wadiloxtin 30 mg 28 del. rel. caps.,wadiloxtin,30 mg,caps
wadiloxtin 60 mg 28 del. rel. caps.,wadiloxtin,60 mg,caps
wadybaby cream 60 gm,wadybaby,60 gm,cream
wadycare 30 f.c.tabs.,wadycare,0,tabs
wakefinate 150 mg 10 tab,wakefinate,150 mg,tab
wakefinate 50 mg 30 tab,wakefinate,50 mg,tab
warfarin 2mg 30 tab,warfarin,2mg,tab
wash mix mouth spray 60ml,wash mix,60ml,mouth spray
wash mix mouth wash 200ml,wash mix,200ml,mouth wash
water for injection (10ml) 50 amp.,water injection,10ml,amp
water for injection (10ml) amp.,water injection,10ml,amp
water for injection (5ml) 50 amp.,water injection,5ml,amp
water for injection (mottahedoon) amp. 5 ml,water injection (mottahedoon),5 ml,amp
water for injection (mottahedoon) vial 500 ml,water injection (mottahedoon),500 ml,vial
water for injection (otsuka) amp. 25 ml,water injection (otsuka),25 ml,amp
water for injection (otsuka) amp. 5 ml,water injection (otsuka),5 ml,amp
water for injection amp. 5 ml,water injection,5 ml,amp
water for injection b.p,water injection,0,0
water for injection bp.2018,water injection,0,0
water for injection i.m/i.v ampoule 5ml,water injection i.m/i.v,5ml,ampoule
water pill with potassium 100 caplets (illegal import),water pill with potassium,0,caplets
watevacin 0.5% vial 20 ml,watevacin,0.5%,vial
wavefer (chocolate flavor) 10 sachets,wavefer,0,sachets
wavefer (chocolate flavor) 15 sachets,wavefer,0,sachets
wavefer (chocolate flavor) 30 sachets,wavefer,0,sachets
wax out 5gm/100ml ear drops 15 ml,wax out,5gm/100ml,ear drops
we herb 120 ml syrup,we herb,120 ml,syrup
we kids 30ml oral drops,we kids,30ml,oral drops
we vitamins sublingual 30 tablets,we vitamins,0,sublingual tablets
we.gel gel 25 gm,we.gel,25 gm,gel
we.gel gel 75 gm,we.gel,75 gm,gel
wealthy topical lotion 120 ml,wealthy,120 ml,topical lotion
weedobon  massage gel 60 gm,weedobon massage,60 gm,gel
weedobon baby cream 100 gm,weedobon baby,100 gm,cream
weedobon hair serum 100 ml,weedobon hair,100 ml,serum
weedobon hair shampoo 200 ml,weedobon hair,200 ml,shampoo
weeto 10 sachets,weeto,0,sachets
wega  20 sachet,wega,0,sachet
wega 10 sachets,wega,0,sachets
weider - glutamine 300 gm powder,weider - glutamine,300 gm,powder
weight gainer 1.25 k chocolate,weight gainer chocolate,1.25 k,0
weight gainer 250 gm,weight gainer,250 gm,0
weight gainer 325 gm stawberry,weight gainer stawberry,325 gm,0
weight gainer 325 gm vanilia,weight gainer vanilia,325 gm,0
weight gainer 525 gm,weight gainer,525 gm,0
