original_name,drug_name,dose,form
coaguless 50 mg 10 scored tabs.,coaguless,50 mg,tabs
coaguloban 15 mg 20 tabs,coaguloban,15 mg,tabs
coaguloban 30 mg 10 tabs.,coaguloban,30 mg,tabs
coaguloban 30 mg 20 tabs.,coaguloban,30 mg,tabs
coaguloban 60 mg 20 tabs,coaguloban,60 mg,tabs
coaprovel 150/12.5 mg 14 tab.,coaprovel,150/12.5 mg,tab
coaprovel 300/12.5 mg 14 tab.,coaprovel,300/12.5 mg,tab
coaprovel 300/25mg 14 f.c.tab.,coaprovel,300/25mg,tab
cobafolic 30 tab,cobafolic,0,tab
cobal 500mcg 30 f.c.tab,cobal,500mcg,tab
cobal f 500/200mcg 30 f.c. tab,cobal f,500/200mcg,tab
cobalamin depot 1000mcg/ml 5 amp. i.m.,cobalamin depot,1000mcg/ml,amp
cobalvex b12 0.5mg/ml 2 amp,cobalvex b12,0.5mg/ml,amp
cod liver oil (health aid) 20 cap,cod liver oil health aid,0,cap
cod liver oil 1000 mg 10 cap,cod liver oil,1000 mg,cap
cod liver oil fruit syrup,cod liver oil fruit,0,syrup
cod liver oil syr orang,cod liver oil orang,0,syr
cod primrose 20 caps.,cod primrose,0,caps
cod seas 60 cap,cod seas,0,cap
codacetine 20 tab,codacetine,0,tab
codaphen-n syrup 120ml,codaphen-n,120ml,syrup
coddly facial cleanser foaming gel 150 ml,coddly facial,150 ml,cleanser foaming gel
code (govita) 30 gummies,code govita,0,gummies
code (govita) 60 gummies,code govita,0,gummies
codeleve syrup 120 ml,codeleve,120 ml,syrup
coderm cream 30 gm,coderm,30 gm,cream
codiclyptol 10 caps.,codiclyptol,0,caps
codiclyptol 20 caps.,codiclyptol,0,caps
codilar syrup 120 ml,codilar,120 ml,syrup
codioct cum expectorant syrup 90 ml,codioct cum,90 ml,expectorant syrup
codioct syrup 90 ml,codioct,90 ml,syrup
codiphan 10mg/5ml syrup 120ml,codiphan,10mg/5ml,syrup
codipront syrup- 90 ml,codipront,90 ml,syrup
codipront- cum- expectorans syrup 90 ml,codipront- cum-,90 ml,expectorant syrup
codones antiseptic spray 80 ml,codones,80 ml,antiseptic spray
cody 30 caps.,cody,0,caps
coenzyme q10 30 mg 20 caps.,coenzyme q10,30 mg,caps
coenzyme q10 forte 100 mg 20 caps.,coenzyme q10 forte,100 mg,caps
cofdietin 20 caps,cofdietin,0,caps
coffee zinc hair tonic liquid 250 ml,coffee zinc,250 ml,hair tonic liquid
coffee zinc shampoo 200ml,coffee zinc,200ml,shampoo
coflin 30 mg 20 tab,coflin,30 mg,tab
coflin syrup 120 ml,coflin,120 ml,syrup
cogentin 2mg 25 tab,cogentin,2mg,tab
cogetropine mesylate 1mg/ml 5 amp.,cogetropine mesylate,1mg/ml,amp
cogex 10 sachets,cogex,0,sachets
cogicin 1000mcg 30 tabs,cogicin,1000mcg,tabs
cogintol 20 tab.,cogintol,0,tab
coglern 120 ml supplement syrup,coglern,120 ml,supplement syrup
cokame 10 sachets,cokame,0,sachets
