original_name,drug_name,dose,form
asylon 20 tab.,asylon,0,tab
atacand 16mg 14 f.c. tab.,atacand,16mg,tab
atacand 4mg 14 tab,atacand,4mg,tab
atacand 8mg 14 tab.,atacand,8mg,tab
atacand 8mg 28 tab.,atacand,8mg,tab
atacand plus 16/12.5 mg 14 tabs.,atacand plus,16/12.5 mg,tabs
atacand plus 32/25 mg 14 tab,atacand plus,32/25 mg,tab
atalux cream 40 gm,atalux,40 gm,cream
atarax 10 mg 20 tabs.,atarax,10 mg,tabs
atarax 25mg 25 tab.,atarax,25mg,tab
atco-c 30 tabs.,atco-c,0,tabs
atcocoxib 60 mg 30 tabs.,atcocoxib,60 mg,tabs
atcocoxib 90 mg 30 tabs.,atcocoxib,90 mg,tabs
atcoeprilax 100 mg 20 f.c.tabs.,atcoeprilax,100 mg,tabs
atcoeprilax 50 mg 20 f.c.tabs.,atcoeprilax,50 mg,tabs
atcogliflozin 10 mg 30 f.c.tabs.,atcogliflozin,10 mg,tabs
atcogliflozin 25 mg 30 f.c.tabs.,atcogliflozin,25 mg,tabs
atcolipox 10 mg 30 chew. tabs.,atcolipox,10 mg,chew. tabs
atcolipox 20 mg 30 chew. tabs.,atcolipox,20 mg,chew. tabs
atconafil 100 mg 4 tabs.,atconafil,100 mg,tabs
atconafil 200 mg 4 tabs.,atconafil,200 mg,tabs
atconafil 50 mg 12 tabs.,atconafil,50 mg,tabs
atcorelivo 10 oral powder in sachets,atcorelivo,0,oral powder in sachets
atectura breezhaler 150/160 mcg 30 inh. caps.+inhaler,atectura breezhaler,150/160 mcg,inh. caps.+inhaler
atectura breezhaler 150/320 mcg 30 inh. caps.+inhaler,atectura breezhaler,150/320 mcg,inh. caps.+inhaler
atectura breezhaler 150/80 mcg 30 inh. caps.+inhaler,atectura breezhaler,150/80 mcg,inh. caps.+inhaler
atelol 100 mg 20 tab.,atelol,100 mg,tab
atelol 50mg 20 tab.,atelol,50mg,tab
ateno 100mg 20 f.c.tab.,ateno,100mg,tab
ateno 50mg 20 f.c.tab.,ateno,50mg,tab
ateno-c 100/25mg 20 tab.,ateno-c,100/25mg,tab
ateno-c 50/25 mg 20 tab,ateno-c,50/25 mg,tab
atenolol 100mg 20 tab.b.p.2000,atenolol,100mg,tab
atenolol 50mg 1000 tab,atenolol,50mg,tab
atenolol 50mg 20 tab,atenolol,50mg,tab
atenoretic 30 caps.,atenoretic,0,caps
athacar hair serum,athacar,0,hair serum
atimos 12mcg/dose aerosol 100 doses,atimos,12mcg/dose,aerosol
ativan 1mg 10 tab,ativan,1mg,tab
ativan 2mg 10 tab,ativan,2mg,tab
atlacare 20 tabs,atlacare,0,tabs
atlantikio 30 tabs,atlantikio,0,tabs
atlanto 3 20 caps,atlanto 3,0,caps
atlantohem 20 caps,atlantohem,0,caps
atlantovit 30 tabs,atlantovit,0,tabs
atlatex cream 50 gm,atlatex,50 gm,cream
atmecipia 10 mg 20 f.c.tabs.,atmecipia,10 mg,tabs
atmiblast 20 mg 30 tabs.,atmiblast,20 mg,tabs
atmiprazole 20 mg 20 caps.,atmiprazole,20 mg,caps
atmiprazole 40 mg 20 caps.,atmiprazole,40 mg,caps
