original_name,drug_name,dose,form
rasaglilab 1 mg 30 tabs.,rasaglilab,1 mg,tabs.
rasanopark 1mg 10 tab.,rasanopark,1mg,tab.
rash mix cream 60 gm,rash mix cream,60 gm,cream
rash stop cream 100ml,rash stop cream,100ml,cream
rash stop cream 60ml,rash stop cream,60ml,cream
rasha 20g oint.,rasha,20g,oint.
rasha oint. 50 gm,rasha,50 gm,oint.
rasiroxpine 125mg 28 disp. tabs.,rasiroxpine,125mg,tabs.
rasiroxpine 250mg 28 disp. tabs.,rasiroxpine,250mg,tabs.
rasiroxpine 500mg 28 disp. tabs.,rasiroxpine,500mg,tabs.
raspberry ketone complex 20 caps,raspberry ketone complex,0,caps
raspberry ketones 100 mg 120 caps. (illegal import),raspberry ketones,100 mg,caps.
raspberry ketones 100 mg 60 caps. (illegal import),raspberry ketones,100 mg,caps.
raspberry ketones 500 mg 60 caps. (illegal import),raspberry ketones,500 mg,caps.
raspelocin 400mg 5 f.c.tab,raspelocin,400mg,tab
rastiglo 10mg 20 tab,rastiglo,10mg,tab
ratilya lightening cream 75 gm,ratilya lightening cream,75 gm,cream
ravemantine 10mg 30 f.c. tabs.,ravemantine,10mg,tabs.
ravetop vaginal douche 250 ml,ravetop vaginal douche,250 ml,douche
raw maca 750 mg 90 caps,raw maca,750 mg,caps
rawakan 100mg 20caps.,rawakan,100mg,caps.
rawdament i.v inf. 250 ml,rawdament,250 ml,i.v inf.
raxo 10 sachets 70 gm,raxo,70 gm,sachets
rayen gel 120 gm,rayen gel,120 gm,gel
rayton facial cleanser 240 ml,rayton facial cleanser,240 ml,cleanser
razantamin 16 mg 10 ext. rel. caps.,razantamin,16 mg,caps.
razantamin 24 mg 10 ext. rel. caps.,razantamin,24 mg,caps.
razantamin 8 mg 10 ext. rel. caps.,razantamin,8 mg,caps.
raziphemol 1 gm/100ml soln. for i.v. inf.,raziphemol,1 gm/100ml,soln. i.v. inf.
re iro 30 tablets,re iro,0,tablets
re-soul hair lotion 120 ml,re-soul hair lotion,120 ml,lotion
re-vital hair lotion 125 ml,re-vital hair lotion,125 ml,lotion
re-vital hair shampoo 250 ml,re-vital hair shampoo,250 ml,shampoo
re-vital hair stimulating system,re-vital hair stimulating system,0,system
reagila 1.5 mg 28 caps.,reagila,1.5 mg,caps.
reagila 3 mg 28 caps.,reagila,3 mg,caps.
reagila 4.5 mg 28 caps.,reagila,4.5 mg,caps.
reagila 6 mg 28 caps.,reagila,6 mg,caps.
realcoxstar 60 mg 14 f.c.tabs.,realcoxstar,60 mg,tabs.
realcoxstar 90 mg 14 f.c.tabs.,realcoxstar,90 mg,tabs.
rebagenase 100 mg 30 f.c. tabs.,rebagenase,100 mg,tabs.
rebamucaulc 100 mg 20 f.c.tabs.,rebamucaulc,100 mg,tabs.
rebcoflex 300mg amp.,rebcoflex,300mg,amp.
rebcoflex 600mg c.r.tab.,rebcoflex,600mg,tab.
rebcoflex cr 400mg 20 f.c. tabs.,rebcoflex cr,400mg,tabs.
rebif 132mcg/1.5ml (44mcg/0.5ml) s.c. 4 cartridges,rebif,132mcg/1.5ml (44mcg/0.5ml),s.c. cartridges
rebif 22mcg/0.5ml 3 pre-filled syringe.,rebif,22mcg/0.5ml,syringe.
rebif 44mcg/0.5ml s.c. inj. 12 prefilled syringe,rebif,44mcg/0.5ml,s.c. inj. syringe
rebo 10 sachet,rebo,0,sachet
reboss massage cream 30 gm,reboss massage cream,30 gm,cream
