original_name,drug_name,dose,form
hemoflush 0.5% oint. 30 gm,hemoflush,0.5%,ointment
hemoflush oint,hemoflush,0,ointment
hemohes 6% i.v.infusion,hemohes,6%,i.v. infusion
hemokapron 500mg 20 f.c. tabs.,hemokapron,500mg,tablets
hemokapron 500mg/5ml 1 amp.,hemokapron,500mg/5ml,ampoule
hemostat 250mg/2ml i.m/i.v 3 amp.,hemostat,250mg/2ml,ampoule
hemostat 500mg 20 tab.,hemostat,500mg,tablet
hemoxamine 500mg 20 f.c. tabs.,hemoxamine,500mg,tablets
hemoxamine 500mg/5ml 5 amp.,hemoxamine,500mg/5ml,ampoule
hemsi 20 caps,hemsi,0,capsules
hemsi capsules 20 cap,hemsi,0,capsules
hepa-merz concentrate (10amps) 5gm/10ml infusion,hepa-merz concentrate,5gm/10ml,infusion
hepa-merz granulate 3 gm 6 granules in sachets,hepa-merz granulate,3 gm,granules in sachets
hepabig 1 vial,hepabig,0,vial
hepabig 200 i.u./ml inj.,hepabig,200 i.u./ml,injection
hepacare ( d.d.b. ) 1.5 mg 500pillule(s) tab,hepacare,1.5 mg,tablet
hepachain 30 f.c.tabs.,hepachain,0,tablets
hepachain 60 f.c.tabs.,hepachain,0,tablets
hepaclude 0.5 mg / 10 ml oral sol. 210 ml,hepaclude,0.5 mg / 10 ml,oral solution
hepaclude 1 mg 10 f.c. tab.,hepaclude,1 mg,tablet
hepafence 3gm/5gm 10 granules in sachets,hepafence,3gm/5gm,granules in sachets
hepafence 3gm/5gm 6 granules in sachets,hepafence,3gm/5gm,granules in sachets
hepafort 30 s.g cap.,hepafort,0,soft gelatin capsule
hepaguard 40 tab,hepaguard,0,tablet
hepaguard 40 tab.,hepaguard,0,tablet
hepagyzar 30 h.g. caps.,hepagyzar,0,hard gelatin capsules
hepalubine 30 caps.,hepalubine,0,capsules
hepamarin 140mg 30 caps.,hepamarin,140mg,capsules
hepanox 20 caps.,hepanox,0,capsules
hepanox natural 10 cap,hepanox natural,0,capsule
hepanox natural 20 cap,hepanox natural,0,capsule
hepapro 20 soft gelatin cap.,hepapro,0,soft gelatin capsule
heparegen 30 tab,heparegen,0,tablet
heparex 320mg 20 caps.,heparex,320mg,capsules
heparex capsules-100 strip,heparex,0,capsules
hepargen .100 mg- 30tab,hepargen,100 mg,tablet
heparin leo 5000 i.u./ml 1 s.c./i.v. amp. 5 ml,heparin leo,5000 i.u./ml,ampoule
heparin sodium 5000 i.u./ml 100 s.c. amp.,heparin sodium,5000 i.u./ml,ampoule
heparin sodium-allmed 5000 i.u./ml 100 s.c. amps.,heparin sodium-allmed,5000 i.u./ml,ampoules
heparin sodium-cid 5000 i.u./ml 100 s.c. amp.,heparin sodium-cid,5000 i.u./ml,ampoule
heparin sodium-cid 5000 i.u./ml 6 s.c. amp.,heparin sodium-cid,5000 i.u./ml,ampoule
heparin sodium-nile 5000 i.u./ml 3 amps. usp27,heparin sodium-nile,5000 i.u./ml,ampoules
heparsan 30 caps.,heparsan,0,capsules
hepasis syrup 120 ml,hepasis,0,syrup
hepasol 20 cap,hepasol,0,capsule
hepastrong 20 caps.,hepastrong,0,capsules
hepatic forte 30 soft gelatin caps.,hepatic forte,0,soft gelatin capsules
hepaticum 10mg/ml susp. 120ml,hepaticum,10mg/ml,suspension
hepaticum 140mg 30 caps.,hepaticum,140mg,capsules
hepaticum 140mg 30 capsules,hepaticum,140mg,capsules
