drug_name,dose,form
amipride,200 mg,tab
amipride,400 mg,tab
amipride,50 mg,tab
amipride,50 mg,tab
amiprostone,24 mcg,caps
amiprostone,24 mcg,caps
amiprostone,8 mcg,caps
amiron,150 mg/3 ml,amp.
amiron,200 mg,tablets
amitriptine,50 mg,tab.
amitriptine,75 mg,caps.
amlo-ace,5/10 mg,caps.
amlobenzamir,10/20 mg,caps.
amlobenzamir,2.5/10 mg,caps.
amlobenzamir,5/10 mg,caps.
amlobenzamir,5/20 mg,caps.
amlodipine,10 mg,tabs.
amlodipine,5 mg,tab.
amlosazide,10/25/40 mg,tabs
amlosazide,5/12.5/20 mg,tabs.
amlosazide,5/12.5/40 mg,tabs.
amlosazide,5/25/40 mg,tabs.
amlosazide,5/25/40 mg,tabs.
amlostat,10/10 mg,tab.
amlostat,5/10 mg,tab.
amlosterolen,10/40 mg,tabs.
amlosterolen,5/20 mg,tab.
amloveran,10/10 mg,tabs.
amloveran,10/5 mg,tabs.
amloveran,5/10 mg,tabs.
amloveran,5/5 mg,tabs.
amloveran plus,10/2.5/10 mg,tabs.
amloveran plus,5/1.25/5 mg,tabs.
amloveran plus,5/2.5/10 mg,tabs.
amlowest,2.5 mg,tab.
amlozapril,10/20 mg,caps.
ammonia,15 ml,solution
ammonia,10 ml,solution
ammoniated mercury,5 %,oint
ammoniated mercury,5 %,oint.
ammoniated mercury,5 gm/100 gm,oint.
ammoria rejuvinating,30 gm,cream
amocerebral plus,20/40 mg,tabs.
amoclawin,1 gm,tab
amoclawin,228.5 mg/5 ml,susp.
amoclawin,457 mg/5 ml,susp.
amoclox,500 mg,caps.
amocomb,15 gm,cream
amoebyl,500 mg,tabs.
amoflam,100 mg,tab.
