original_name,drug_name,dose,form
hi-forte gel 60 gm,hi-forte,60 gm,gel
hi-glitazone 15mg 30 tab.,hi-glitazone,15mg,tab
hi-glitazone 30mg 30 tab.,hi-glitazone,30mg,tab
hi-lexil 125ml syrup,hi-lexil,125ml,syrup
hi-max 20 tab,hi-max,0,tab
hi-potency formula 30 tabs.,hi-potency formula,0,tabs
hi-star 20 capsules,hi-star,0,capsules
hi-vit syrup-120 ml,hi-vit,120 ml,syrup
hiberix vaccine 1mg 1ml,hiberix vaccine,1mg 1ml,0
hiberix vaccine vial and prefilled syringe,hiberix vaccine,0,vial and prefilled syringe
hibiotic 1gm 16 tab,hibiotic,1gm,tab
hibiotic 312mg/5 ml 60ml susp.,hibiotic,312mg/5 ml,susp
hibiotic 375mg 20 tab.,hibiotic,375mg,tab
hibiotic 625mg 16 tab.,hibiotic,625mg,tab
hibiotic n 228mg/5ml susp. 60ml,hibiotic n,228mg/5ml,susp
hibiotic n 457mg/5ml susp. 60ml,hibiotic n,457mg/5ml,susp
hibiotic n 600mg susp. 80 ml,hibiotic n,600mg,susp
hicillin 125mg/5ml susp. 80ml,hicillin,125mg/5ml,susp
hiconcil 100mg/ml paed.drops 10 ml,hiconcil,100mg/ml,drops
hiconcil 125mg/5ml susp. 60ml,hiconcil,125mg/5ml,susp
hiconcil 125mg/5ml susp. 80ml,hiconcil,125mg/5ml,susp
hiconcil 250mg 12caps.,hiconcil,250mg,caps
hiconcil 250mg/5ml susp. 60ml,hiconcil,250mg/5ml,susp
hiconcil 250mg/5ml susp. 80ml,hiconcil,250mg/5ml,susp
hiconcil 500mg 12 caps.,hiconcil,500mg,caps
hiderm cream 50 gm,hiderm,50 gm,cream
hiderm moisturizing soap 80 gm,hiderm,80 gm,soap
hiderm sunblock cream 50+ spf 50 gm,hiderm,50 gm,cream
hiderm topical lotion 100ml,hiderm topical,100ml,lotion
hiderm transparent soap 75 gm,hiderm,75 gm,soap
hiderm whitening cream 50 gm,hiderm,50 gm,cream
hidonac 200mg/ml soln. for i.v. inf. 25ml,hidonac,200mg/ml,soln
hidrasec 100 mg 10 caps.,hidrasec,100 mg,caps
hidrasec children 30 mg 16 sachets,hidrasec,30 mg,sachets
hidrasec infants 10 mg 16 sachets,hidrasec,10 mg,sachets
hifelar skin lotion 75 ml,hifelar,75 ml,lotion
higeen mouth wash 400 ml cool mint,higeen,400 ml,mouth wash
higeen mouth wash 400ml,higeen,400ml,mouth wash
high desert bropolis 500 mg 12 tab,high desert bropolis,500 mg,tab
high desert bropolis 500 mg 30 tab,high desert bropolis,500 mg,tab
high desert pollenergy 520 mg 30 tab,high desert pollenergy,520 mg,tab
high desert pollenergy 520 mg 90 tab,high desert pollenergy,520 mg,tab
high desert royal jelly 1000 mg 12 cap,high desert royal jelly,1000 mg,cap
high desert royal jelly 1000 mg 30 cap,high desert royal jelly,1000 mg,cap
high forte cream 50 gm,high forte,50 gm,cream
high nox 20 caps.,high nox,0,caps
high protect cream,high protect,0,cream
high protein 150 gm banana,high protein,150 gm,0
high protein 150 gm mix fruits,high protein,150 gm,0
high protein 150 gm strawberry,high protein,150 gm,0
