original_name,drug_name,dose,form
cutdown 120 mg hard gelatin 10 caps,cutdown,120 mg,hard gelatin caps
cute agar 15 ml oral drops,cute agar,15 ml,oral drops
cute hair oil 120 ml,cute hair oil,120 ml,0
cute-guard anti-dandruff shampoo 200 ml,cute-guard anti-dandruff shampoo,200 ml,0
cuteca 120 ml mouth wash,cuteca,120 ml,mouth wash
cuteca facial cleanser 120 ml,cuteca facial cleanser,120 ml,0
cuteca massage gel 65 gm,cuteca massage,65 gm,gel
cuteca mouth spray 60 ml,cuteca mouth,60 ml,spray
cutemol baby cream 75 gm,cutemol baby,75 gm,cream
cutemol baby lotion 150 ml,cutemol baby,150 ml,lotion
cutemol intimate wash 250 ml,cutemol intimate,250 ml,wash
cutfast massage gel 50 gm,cutfast massage,50 gm,gel
cuti-care anti-dandruff shampoo 150 ml,cuti-care anti-dandruff shampoo,150 ml,0
cutistad 1% topical spray 40 ml,cutistad,1%,topical spray
cutivate 0.05% top. cream 15 gm,cutivate,0.05%,top. cream
cutivate 0.05% w/w ointment 15 gm,cutivate,0.05% w/w,ointment
cuxi solution oral care spray 30 ml,cuxi solution oral care,30 ml,spray
cuxi solution oral care spray 60 ml,cuxi solution oral care,60 ml,spray
cya cream 50 gm,cya,50 gm,cream
cyanaro 1% eye drops 2.5 ml,cyanaro,1%,eye drops
cyanocobalamine 1000 mcg inj.,cyanocobalamine,1000 mcg,inj.
cyanoheptan 6 i.m. amp. 2 ml,cyanoheptan,2 ml,i.m. amp.
cybreak massage spray 100 ml,cybreak massage,100 ml,spray
cyclo 3 40 cap,cyclo 3,40 mg,cap
cyclo-progynova 21 f.c. tab. (biphasic),cyclo-progynova,0,tab.
cycloflex 5 mg 20 f.c. tablets,cycloflex,5 mg,tablets
cycloflex 5 mg 30 f.c. tablets,cycloflex,5 mg,tablets
cyclogest 200mg 15 rectal or vag. pessaries,cyclogest,200mg,rectal or vag. pessaries
cyclogest 400mg 15 rectal or vag. pessaries,cyclogest,400mg,rectal or vag. pessaries
cyclolactazine 50mg 3 ampoules,cyclolactazine,50mg,ampoules
cyclomocond 0.05% ophthalmic emulsion vials(n/a yet),cyclomocond,0.05%,ophthalmic emulsion vials
cyclona 250mg/2ml 3 amp.,cyclona,250mg/2ml,amp.
cyclopentolate 1% 5ml eye drops,cyclopentolate,1%,eye drops
cyclophosphamide 200 mg 10 vail,cyclophosphamide,200 mg,vail
cyclophosphamide 50 mg 150 tabs,cyclophosphamide,50 mg,tabs
cyclophrine eye drops 5 ml,cyclophrine,0,eye drops
cyclosed 10 mg 30 tab,cyclosed,10 mg,tab
cyclosed 10mg 10 f.c. tab.,cyclosed,10mg,tab.
cyclosed 10mg 30 f.c. tab.,cyclosed,10mg,tab.
cyclotrone 200 mg supp,cyclotrone,200 mg,supp
cyclotrone 200mg 30 soft gelatin caps.,cyclotrone,200mg,soft gelatin caps.
cycloviral 200mg 20 tab.,cycloviral,200mg,tab.
cycloviral 400mg/5ml syrup 100 ml,cycloviral,400mg/5ml,syrup
cycloviral 800mg 20 tab.,cycloviral,800mg,tab.
cycloxemic 500 mg 30 f.c. tabs.,cycloxemic,500 mg,tabs.
cycloxemic 650mg 10 f.c. tabs.,cycloxemic,650mg,tabs.
cycram 1 gm pd. for i.v. inf. vial,cycram,1 gm,pd. for i.v. inf. vial
cycram 1 gm pd. vial for i.v. inf.,cycram,1 gm,pd. vial for i.v. inf.
cycram 200mg pd. vial for i.v. inf.(n/a),cycram,200mg,pd. vial for i.v. inf.
cycram 200mg powder for i.v. vial,cycram,200mg,powder for i.v. vial
