drug_name,dose,form
amino 22000 whey c,100 mg,cap
amino 22000 whey c,150 mg,cap
amino 22000 whey c,60 mg,cap
amino 2222,300 mg,cap
amino 2222,320 mg,tab
amino high protein,2222 mg,cap
amino acid 1200 complex,Null,cap
amino acid,1600 unit,tab
amino cal,30 mg,tab
amino forto,500 mg,tab
amino fuel,2000 mg,tab
amino fuel with calcium,2222 mg,cap
amino fuel,2222 mg,cap
amino fuel (vanillia),794 gm,powder
amino fuel (strawberry),798 gm,powder
amino fuel,948 ml,liquid
amino fuel (chocolate),817 gm,powder
amino plus,10 mg,tab
amino (chocolate),0.5 kg,powder
amino (vanillia),0.5 kg,powder
amino vit,100 gm,Null
amino whey 9999 (anabolic) (chocolate),Null,sachets
amino whey 9999 (vanilla),Null,sachets
amino whey 9999 (anabolic) (apple),Null,sachets
amino-acid complex,1200 mg,tab
aminofuel,150 mg,tab
aminofuel,60 mg,tab
aminoleban,500 ml,infusion
aminoleban (net price),450 gm,powder
aminophlline,120 ml,syrup
aminoplasmal e,10 %,infusion
aminoplasmal,10 %,infusion
aminoplasmal e,5 %,infusion
aminoplasmal hepa,10 %,infusion
aminorenocare,Null,tab
aminosteril n- hepa,8 %,solution
aminosteril ke,10 %,infusion
aminots gh,120 mg,cap
aminoven,10 %,infusion
aminoven,15 %,infusion
aminoven infant,10 %,infusion
aminoven infant,10 %,infusion
aminovenous n.paed,6 %,infusion
aminta,10 %,infusion
aminta,Null,chewable pieces
aminta,Null,chewable pieces
amiparen,10 %,infusion
amiparen,10 %,infusion
amipride,100 mg,tab
amipride,200 mg,scored tab
