original_name,drug_name,dose,form
steps calcium 24 tabs,steps calcium,24 tabs,tabs
stera hand sanitizer gel 50 ml,stera hand sanitizer,50 ml,gel
sterile water for inj. 5 ml,sterile water,5 ml,injection
sterile water for injection usp 20,sterile water usp,20 mg,injection
sterile water for irrigation (el nasr) 3000 ml,sterile water (el nasr),3000 ml,liquid
sterile water for irrigation (otsuka) 1000 ml,sterile water (otsuka),1000 ml,liquid
sterile water for irrigation (otsuka) 2000 ml (n/a),sterile water (otsuka),2000 ml,liquid
sterilized water for injection b.p.2002,sterilized water b.p.2002,0,injection
sterilux 10*10 cm,sterilux,0,0
sterogyl 15 h 600.000 i.u./1.5ml i.m./oral amp.,sterogyl 15 h,600.000 i.u./1.5ml,amp
steronate  5mg 20 tab,steronate,5mg,tab
steronomet 4mg 4 tabs,steronomet,4mg,tabs
steronomet 8mg 4 tabs,steronomet,8mg,tabs
stevia 100 tab,stevia,100 tab,tab
stevia 160 gm 4 packs,stevia,160 gm,packs
stevia 40 sachets sweetener,stevia sweetener,40 sachets,sachets
stevia 50 sachets,stevia,50 sachets,sachets
stevia castello 100 sachets sweetener,stevia castello sweetener,100 sachets,sachets
stevia castello 30 sachets sweetener,stevia castello sweetener,30 sachets,sachets
stevia castello 300 gm jar sweetener,stevia castello sweetener,300 gm,jar
stevia castello 60 sachets sweetener,stevia castello sweetener,60 sachets,sachets
stevia drops 30 ml liquid sweetener,stevia liquid sweetener,30 ml,drops
stevia sweet fitness 25 sachets sweetener,stevia sweet fitness sweetener,25 sachets,sachets
stevia sweet fitness 250 gm jar sweetener,stevia sweet fitness sweetener,250 gm,jar
stevia sweet fitness 50 sachets sweetener,stevia sweet fitness sweetener,50 sachets,sachets
sthenorex 30 cap,sthenorex,30 cap,cap
stick away . 20gm .stick,stick away,20gm,stick
stifnesban 1000 mg 30 tabs,stifnesban,1000 mg,tabs
stigmide 60mg/5ml syrup 120ml,stigmide,60mg/5ml,syrup
stilnox 10 mg 14 tab (imported),stilnox,10 mg,tab
stilnox 10 mg 20 tab,stilnox,10 mg,tab
stimloric 2.5mg/5ml syrup 100 ml,stimloric,2.5mg/5ml,syrup
stimloric 5 mg 20 f.c. tab.,stimloric,5 mg,tab
stimloric 5 mg 20 tablet,stimloric,5 mg,tablet
stimu-max 100mg 5 f.c.tab,stimu-max,100mg,tab
stimulan 1gm/5ml 6 ampoules,stimulan,1gm/5ml,ampoules
stimulan 200mg/ml 120ml syrup,stimulan,200mg/ml,syrup
stimulan 400mg 30 capsules,stimulan,400mg,capsules
stimulan 800mg 30 tablets,stimulan,800mg,tablets
stivarga 40mg 3*28 f.c. tabs.,stivarga,40mg,tabs
stomaclin 100 gm powder,stomaclin,100 gm,powder
stomahesive cream 56.7gm,stomahesive,56.7gm,cream
stomicope 40 mg 30 caps.,stomicope,40 mg,caps
stomigas 20/1100 mg 20 caps.,stomigas,20/1100 mg,caps
stomigas 20/1680 pd. for oral susp. 10 sachet,stomigas,20/1680 mg,suspension
stomigas 40/1100 mg 20 caps.,stomigas,40/1100 mg,caps
stomigas 40/1680mg pd. for oral susp. 10 sachet,stomigas,40/1680mg,suspension
stomopral 20 mg 14 caps.,stomopral,20 mg,caps
stomopral 40 mg 14 caps.,stomopral,40 mg,caps
stonium b complex,stonium b complex,0,0
