original_name,drug_name,dose,form
zenax 250mg 10 tab,zenax,250mg,tab
zenax 500mg 5 f.c.tab.,zenax,500mg,tab
zenax 500mg 5 f.c.tab. (n/a),zenax,500mg,tab
zengaprost 0.004% eye drops 2.5 ml,zengaprost,0.004%,eye drops
zengaprost 0.004% eye drops 5 ml,zengaprost,0.004%,eye drops
zenhale 5/100mcg 120 dose inhaler,zenhale,5/100mcg,inhaler
zenhale 5/200mcg 120 dose inhaler,zenhale,5/200mcg,inhaler
zenithgoldline hydrochloride 25 mg 1000 cap,zenithgoldline hydrochloride,25 mg,cap
zenta cream 30 gm,zenta,30 gm,cream
zenta cream 50 gm,zenta,50 gm,cream
zepatier 50/100mg 28 tablets,zepatier,50/100mg,tablets
zepexene 5 mg 10 caps. (n/a),zepexene,5 mg,caps
zeramerate 500 mg,zeramerate,500 mg,0
zerbaxa 1000/500mg vial,zerbaxa,1000/500mg,vial
zerbaxa 1000/500mg vial(n/a yet),zerbaxa,1000/500mg,vial
zerit 15 mg 60 caps.,zerit,15 mg,caps
zerit 20 mg 60 caps.,zerit,20 mg,caps
zerit 30 mg 60 caps.,zerit,30 mg,caps
zerit 40 mg 60 caps.,zerit,40 mg,caps
zero sand antidandruff shampoo,zero sand antidandruff,0,shampoo
zerol cream 40 gm,zerol,40 gm,cream
zeroscal cream 100 gm,zeroscal,100 gm,cream
zesperone 2mg 10 f.c. tab.,zesperone,2mg,tab
zesperone 4mg 10 f.c. tab,zesperone,4mg,tab
zestoretic 20mg 10 tab,zestoretic,20mg,tab
zestril 10mg 10 tab,zestril,10mg,tab
zestril 20mg 10 tab,zestril,20mg,tab
zestril 5mg 10 tab.,zestril,5mg,tab
zeta firm cream 150 gm,zeta firm,150 gm,cream
zeta rose vag.douche 120 ml,zeta rose,120 ml,vag.douche
zeta rose vag.douche 250 ml,zeta rose,250 ml,vag.douche
zetaciver 60 mg 28 f.c. tabs.,zetaciver,60 mg,tabs
zetacolest 180 mg 30 f.c. tabs.,zetacolest,180 mg,tabs
zetacort cream 15 gm,zetacort,15 gm,cream
zetadidox 10/10 mg 30 tabs.,zetadidox,10/10 mg,tabs
zetakardoval 10/160mg 15 f.c. tabs.,zetakardoval,10/160mg,tabs
zetakardoval 10/160mg 30 f.c. tabs.,zetakardoval,10/160mg,tabs
zetakardoval 10/320mg 15 f.c. tabs.,zetakardoval,10/320mg,tabs
zetakardoval 10/320mg 30 f.c. tabs.,zetakardoval,10/320mg,tabs
zetakardoval 5/160mg 15 f.c. tabs.,zetakardoval,5/160mg,tabs
zetakardoval 5/160mg 30 f.c. tabs.,zetakardoval,5/160mg,tabs
zetakardoval 5/320mg 15 f.c. tabs.,zetakardoval,5/320mg,tabs
zetakardoval 5/320mg 30 f.c. tabs.,zetakardoval,5/320mg,tabs
zetamibe 10 mg 10 tab.,zetamibe,10 mg,tab
zetlip 10mg 10 tab.,zetlip,10mg,tab
zetlip 10mg 10tab,zetlip,10mg,tab
zetlip plus 10/20mg 10 f.c. tab.,zetlip plus,10/20mg,tab
zetlip plus 10/20mg 10tab,zetlip plus,10/20mg,tab
zetlip plus 10/40mg 10 f.c. tab.,zetlip plus,10/40mg,tab
zetlip plus 10/40mg 10tab,zetlip plus,10/40mg,tab
