drug_name,dose,form
alpha fresh,2 gm,sachets
alpha hepadox,Null,caps
alpha kadol,35 gm,oint
alpha lipoic,600 mg,tab
alpha more,Null,sachets
alpha net,500 mg,caps
alpha primo,Null,caps
alpha tone,Null,cap
alpha- cart,Null,cap
alphabrinzima,1%/0.2%,eye drops
alphachymotrypsin,5 mg,amps
alphaclarin,250 mg,f.c. tabs
alphafe,Null,sachet
alphafen,100 mg/5 ml,susp
alphafen,600 mg,tab
alphafen,800 mg,tab
alphaflatul,Null,syrup
alphagan p,Null,eye drops
alphakadol,Null,oint
alphalaxine,Null,tab
alphalipo,600 mg,f.c. tabs
alphamix hair,Null,oil
alphamylase,Null,syrup
alphanerve,Null,tab
alphanova,0.15%,ophth. sol
alphanova plus,Null,ophth. sol
alphanova sante anti stretch mark,Null,milk
alphathromb,5 mcg,tabs
alphavim,300 mg,caps
alphavim,600 mg,caps
alphintern,Null,f.c.tabs
alpon,Null,Null
alprax,1 mg,s.r.caps
alprax,1 mg,tabs
alprospire,0.5 mg/ml,amp
alsavin one,48 mg / 2.4 ml,Null
alsicur,Null,cap
alsiroyal,Null,cap
alsiroyal,Null,cap
alsotrin,60 mg,caps
altargo,1%,top.oint
altiazem,60 mg,tab
altomanira,10/40 mg,tab
alton h,Null,cap
altressa,Null,spray
altressa,Null,shampoo
altressa hair,Null,shampoo
alucal,320 mg,chewable tab
alucal plus,Null,chew. tab
alukast,20 mg,f.c. tab
