drug_name,dose,form
amoflux,125/125 mg,capsule
amoflux,250/250 mg,capsule
amoflux,250 mg,suspension
amoflux,500 mg,capsule
amoflux,500 mg,vial
amofluxin,1 gm,tablet
amofluxin,1 gm,vial
amofluxin,500 mg,capsule
amofluxin,500 mg,vial
amollir,150 ml,lotion
amophage,500 mg,tablet
amophage extra,2.5/500 mg,tablet
amophage extra,5/500 mg,tablet
amorina,120 ml,feminine wash
amorolfine,5 %,nail lacquer
amosar,100 mg,tablet
amosar,25 mg,tablet
amosar,50 mg,tablet
amosar forte,100/25 mg,tablet
amostigmine,0.5 mg/ml,ampoule
amostigmine,15 mg,tablet
amotenolol,100 mg,tablet
amotenolol,50 mg,tablet
amotril,0.5 mg,tablet
amotril,2 mg,tablet
amovit calcium,0,effervescent tablet
amovit-c,1 gm,effervescent tablet
amoxicid,125 mg/5 ml,suspension
amoxicid,250 mg,capsule
amoxicid,250 mg/5 ml,suspension
amoxicid,500 mg,capsule
amoxicillin,500 mg,capsule
amoxicillin stada,1000 mg,tablet
amoxil,125 mg/5 ml,suspension
amoxil,1 gm,vial
amoxil,500 mg,capsule
amoxil,500 mg,vial
amoxil fort,250 mg/5 ml,suspension
amoxil fort,250 mg/5 ml,suspension
amoxilanic,228.5 mg/5 ml,suspension
amoxilanic,457 mg/5 ml,suspension
amoxycillin,250 mg/5 ml,suspension
amoxycillin,250 mg/5 ml,suspension
amoxycillin,250 mg,capsule
amoxycillin,500 mg,capsule
amoxycillin,500 mg,capsule
amphotericin- b,50 mg,vial
ampiava,750 mg,tablet
ampicid,250 mg,capsule
ampicid,500 mg,capsule
