original_name,drug_name,dose,form
genove fluidbase 15% aha gel forte 30ml,genove fluidbase aha forte,15%,gel
genove fluidbase eye contour gel 20ml,genove fluidbase eye contour,20ml,gel
genove fluidbase k anti-dark circles cream 20ml,genove fluidbase k anti-dark circles,20ml,cream
genove fluidbase lightening gel 30ml,genove fluidbase lightening,30ml,gel
genove fluidbase max cream 30ml,genove fluidbase max,30ml,cream
genove genocutan anti-dandruff shampoo 250ml,genove genocutan anti-dandruff,250ml,shampoo
genove genocutan biosulphur shampoo 250ml,genove genocutan biosulphur,250ml,shampoo
genove genocutan extramild shampoo 250ml,genove genocutan extramild,250ml,shampoo
genove genovan extreme spf 40 - 125ml,genove genovan extreme spf 40,125ml,0
genove hair repair serum 30ml,genove hair repair,30ml,serum
genove hand cream 50ml,genove hand,50ml,cream
genove lip balm 15ml,genove lip,15ml,balm
genove nail repair 10ml,genove nail repair,10ml,0
genove pilo-peptan anti hair-loss lotion 125ml,genove pilo-peptan anti hair-loss,125ml,lotion
genove pilo-peptan anti hair-loss shampoo 250 ml,genove pilo-peptan anti hair-loss,250ml,shampoo
genove pilopeptan woman hair repair serum 30ml,genove pilopeptan woman hair repair,30ml,serum
genoway  10 sachets,genoway,10sachets,sachets
gensalin 20 cap,gensalin,20cap,cap
gentacure cream 15 gm,gentacure,15gm,cream
gentacure cream 30 gm,gentacure,30gm,cream
gentadex eye/ear drops,gentadex,0,drops
gental 0.1% top. oint. 15 gm,gental,0.1%,oint
gentamicin 0.1% top. cream 15 gm (memphis),gentamicin,0.1%,cream
gentamicin 20mg/2ml i.m./i.v. 100 amps.,gentamicin,20mg/2ml,amp
gentamicin 20mg/2ml i.m./i.v. 6 amps.,gentamicin,20mg/2ml,amp
gentamicin 40mg/ml i.v./i.m. 100 amps.,gentamicin,40mg/ml,amp
gentamicin 40mg/ml i.v./i.m. 6 amps.,gentamicin,40mg/ml,amp
gentamicin 80mg/2ml 100 amps.,gentamicin,80mg/2ml,amp
gentamicin 80mg/2ml 3 amps.,gentamicin,80mg/2ml,amp
gentamicin sulphate 40mg/ml amp.usp 23,gentamicin sulphate,40mg/ml,amp
gentamicin sulphate-cid 20 mg/0.5ml 3 amp. i.m./i.v. inj.,gentamicin sulphate-cid,20mg/0.5ml,amp
gentamicin sulphate-cid 40mg 3 amp.,gentamicin sulphate-cid,40mg,amp
gentamicin sulphate-cid 80 mg 3 amp.,gentamicin sulphate-cid,80mg,amp
gentamicin-alex 0.1% top. cream 15 gm,gentamicin-alex,0.1%,cream
gentamicin-alex 20mg/2ml 6 amp.,gentamicin-alex,20mg/2ml,amp
gentamicin-alex 40mg/ml 6 amps.,gentamicin-alex,40mg/ml,amp
gentamicin-alex 80mg/2ml 3 amp. i.m/i.v inj.,gentamicin-alex,80mg/2ml,amp
gentamicin-sigma 0.1% top. cream 15 gm,gentamicin-sigma,0.1%,cream
gentamicin-sigma 0.1% topical oint. 15 gm,gentamicin-sigma,0.1%,oint
gentamicin-sigma 20mg/2ml 6 amp. for im/iv,gentamicin-sigma,20mg/2ml,amp
gentamicin-sigma 40mg/ml 3 amp. for i.m/i.v,gentamicin-sigma,40mg/ml,amp
gentamycin sulphate 40mg 3 amp,gentamycin sulphate,40mg,amp
gentamycin sulphate 50 mg 3 amp,gentamycin sulphate,50mg,amp
gentamytrex 5g eye oint,gentamytrex eye,5g,oint
gentamytrex 5mg/gm eye.oint. 3 gm,gentamytrex,5mg/gm,oint
gentamytrex ophthiole 5mg/ml eye dps. 5 ml,gentamytrex ophthiole eye,5mg/ml,drops
gentamytrex ophtiloe 0.3% e drops 5 ml,gentamytrex ophtiloe e,0.3%,drops
gentaplex 20 tab,gentaplex,20tab,tab
gentazone cream 15 gm,gentazone,15gm,cream
genteal eye drops 10 ml,genteal eye,10ml,drops
