original_name,drug_name,dose,form
seraval hair shampoo 180 ml,seraval hair shampoo,180 ml,shampoo
sercal foot cream 50 gm,sercal foot cream,50 gm,cream
sercal foot cream 60 gm,sercal foot cream,60 gm,cream
sercprove 100 mg 20 tab.,sercprove,100 mg,tab
sercprove 50 mg 20 tab.,sercprove,50 mg,tab
serderm cream 25 gm,serderm cream,25 gm,cream
serderm cream 50 gm,serderm cream,50 gm,cream
serdolect 12mg 28 f.c. tab.,serdolect,12mg,tab
serdolect 16mg 14 f.c. tab.,serdolect,16mg,tab
serdolect 20mg 14 f.c. tab.,serdolect,20mg,tab
serdolect 4mg 10 f.c. tab.,serdolect,4mg,tab
serelanocam 20mg 20 f.c. tabs.,serelanocam,20mg,tabs
seretide diskus 100/50mcg 60 doses,seretide diskus,100/50mcg,doses
seretide diskus 250/50mcg 28 doses,seretide diskus,250/50mcg,doses
seretide diskus 250/50mcg 60 doses,seretide diskus,250/50mcg,doses
seretide diskus 500/50mcg 60 doses,seretide diskus,500/50mcg,doses
seretide evohaler 125/25mcg 120 metered actuations,seretide evohaler,125/25mcg,metered actuations
seretide evohaler 50/25mcg 120 metered actuations,seretide evohaler,50/25mcg,metered actuations
serevent 25mcg rotadisks (n/a),serevent,25mcg,rotadisks
serigabtin 150 mg 20 tab,serigabtin,150 mg,tab
serigabtin 150mg 20 caps.,serigabtin,150mg,caps
serigabtin 75 mg 20 caps.,serigabtin,75 mg,caps
serigabtin 75mg 20 caps.,serigabtin,75mg,caps
serinomantine 14 mg 30 ext. rel. caps.,serinomantine,14 mg,ext. rel. caps
serinomantine 28 mg 30 ext. rel. caps.,serinomantine,28 mg,ext. rel. caps
serinomantine 7 mg 30 ext. rel. caps.,serinomantine,7 mg,ext. rel. caps
serinosprevir 400mg 28 tablets,serinosprevir,400mg,tablets
serio lotion 120 ml,serio lotion,120 ml,lotion
serio topical lotion 120ml,serio topical lotion,120ml,lotion
serioprazole 40 mg 20 caps.,serioprazole,40 mg,caps
serious mass weight gain protein 5.44 kg,serious mass weight gain protein,5.44 kg,powder
serlift 100mg 10 f.c. tab.,serlift,100mg,tab
sermion 10mg 50 tab,sermion,10mg,tab
sermohair hair serum 120 ml,sermohair hair serum,120 ml,serum
serodopamoun 40 mg 20 tabs,serodopamoun,40 mg,tabs
serodopamoun 80 mg 20 tabs,serodopamoun,80 mg,tabs
seroflo 100/50mcg pd. for inh. 30 blisters,seroflo,100/50mcg,pd. for inh.
seroflo 250/25 mcg inhaler 120 doses,seroflo,250/25 mcg,inhaler
seroflo 250/50mcg pd. for inh. 30 blisters,seroflo,250/50mcg,pd. for inh.
seroflo 500/50mcg pd. for inh. 30 blisters,seroflo,500/50mcg,pd. for inh.
serolact 10 sachet,serolact,0,sachet
serolact 20 sachet,serolact,0,sachet
serolact 30 sachet,serolact,0,sachet
seroleze hair serum 120 ml,seroleze hair serum,120 ml,serum
seronorm 100 mg 10 tab,seronorm,100 mg,tab
seronorm 25 mg 10 tab.,seronorm,25 mg,tab
seropar 10 mg 10 tab.,seropar,10 mg,tab
seropipe hair conditioner 200 ml,seropipe hair conditioner,200 ml,conditioner
seropipe hair dropper 10 ml x 7 vials,seropipe hair dropper,10 ml,dropper
seropipe hair leave-in conditioner 200 ml,seropipe hair leave-in conditioner,200 ml,leave-in conditioner
