original_name,drug_name,dose,form
uro-vaxom 60mg 10 caps.,uro-vaxom,60mg,caps
urocoline 6 eff. sachets,urocoline,0,sachets
urogilblad 100mg top. gel 30 sachets,urogilblad,100mg,gel
urografin 76% (aqueous solution) 10 amp. 20 ml,urografin,76%,amp
urolife 20 cap,urolife,0,cap
urolinda moisturizing cream 100 gm,urolinda,0,cream
urolithin 110 gm eff.gr,urolithin,0,gr
uromes 200mg/2ml 10 amp.i.v. 2 ml,uromes,200mg/2ml,amp
uromes 400mg/4ml 5 amp.for i.v. inj. 4 ml,uromes,400mg/4ml,amp
uromitexan 400mg/4ml 15 i.v.amp.,uromitexan,400mg/4ml,amp
uroplex 20 caps,uroplex,0,caps
urosolvine eff. gran. 12 sachets,urosolvine,0,gran
urosteril 500mg 20 tab,urosteril,500mg,tab
urotrate 750mg 14 tab,urotrate,750mg,tab
urotrim 20 tab.,urotrim,0,tab
urotrim 20 tabs.,urotrim,0,tabs
urovideo 75%- 20 ml amp,urovideo,75%,amp
urovison .58%.25 ml .amp,urovison,.58%,amp
uroxate eff. 12 sachets,uroxate,0,sachets
ursak 250/250mg 10 f.c. tab.,ursak,250/250mg,tab
ursochol 250mg 20 caps.,ursochol,250mg,caps
ursochol 500mg 30 f.c. tabs.,ursochol,500mg,tabs
ursocholic 400 mg 20 caps.,ursocholic,400 mg,caps
ursodiol 250mg 20 caps,ursodiol,250mg,caps
ursodol 250 mg 10 caps.,ursodol,250 mg,caps
ursodol 250mg 10caps.,ursodol,250mg,caps
ursofalk 250mg 20 caps.,ursofalk,250mg,caps
ursogall 250mg/5ml 100ml susp.,ursogall,250mg/5ml,susp
ursogall 300mg 30 caps.,ursogall,300mg,caps
ursogall 450mg sr 10 caps.,ursogall,450mg,caps
ursomix forte 10 f.c. tab.,ursomix forte,0,tab
ursoplus 20 cap.,ursoplus,0,cap
ursosernox 500 mg 20 scored f.c. tabs.,ursosernox,500 mg,tabs
ursosernox 500mg 20 f.c. tablets,ursosernox,500mg,tablets
ursotwin 500mg 20 caps.,ursotwin,500mg,caps
uskade 600 mg 30 tabs.,uskade,600 mg,tabs
uspaverine 200 mr cap.,uspaverine,200mg,cap
utocalcium 30 f.c. tabs.,utocalcium,0,tabs
utoclind 2% vaginal cream 20 gram,utoclind,2%,cream
utopia neo topical oint. 20 gm,utopia neo,0,oint
utopiacold powder 6gm 6 sachets,utopiacold,0,powder
utoprost 10 caps.,utoprost,0,caps
utoral 250mg/5ml 10 amps. for i.v. inf.,utoral,250mg/5ml,amps
utoral 500mg/10ml vial for i.v. inf.,utoral,500mg/10ml,vial
utovance 30 caps.,utovance,0,caps
utowise 30 chew. tabs.,utowise,0,tabs
utowise syrup 120 ml,utowise,0,syrup
utozinc 30 chew. tabs.,utozinc,0,tabs
utp jerorin 120 ml syrup,utp jerorin,0,syrup
utp kromicat 30 tablet,utp kromicat,0,tablet
