original_name,drug_name,dose,form
duricef 125 mg/5ml susp. 60ml,duricef,125 mg/5ml,susp.
duricef 250 mg/5ml susp. 60ml,duricef,250 mg/5ml,susp.
duricef 250mg 8 caps,duricef,250mg,caps
duricef 500mg 12 caps.,duricef,500mg,caps.
duricef 500mg/5ml susp. 60ml,duricef,500mg/5ml,susp.
durjoy 30mg 3 f.c.tablets,durjoy,30mg,tablets
durjoy 60mg 3 tablets,durjoy,60mg,tablets
durogesic 100mcg/hr 5 transdermal patch,durogesic,100mcg/hr,transdermal patch
durogesic 12mcg/h 5 trasdermal patches (n/a yet),durogesic,12mcg/h,trasdermal patches
durogesic 25mcg/hr 5 transdermal patch,durogesic,25mcg/hr,transdermal patch
durogesic 50mcg/hr 5 transdermal patch,durogesic,50mcg/hr,transdermal patch
durogesic 75mcg/hr 5 transdermal patch,durogesic,75mcg/hr,transdermal patch
dury 10 sachet,dury,0,sachet
duspatalin 135mg 50 tab.(n/a),duspatalin,135mg,tab.
duspatalin retard 200 mg 30 caps.,duspatalin retard,200 mg,caps.
duvadilan 20mg 30 tab.,duvadilan,20mg,tab.
duxil oral drops 48 ml,duxil,0,oral drops
dynamisan tab,dynamisan,0,tab
dynamizan 30tab,dynamizan,0,tab
dysenterin compound 6 sachets,dysenterin compound,0,sachets
dyspa-east 300 mg 20 caps.,dyspa-east,300 mg,caps.
dysport 500unit vial,dysport,500unit,vial
dyvo facial cleanser,dyvo facial cleanser,0,0
e 200 i.u. dietry supplement 21 softgels,e,200 i.u.,softgels
e 400 cap,e,400mg,cap
e z fresh mouth wash,e z fresh mouth wash,0,0
e- 1000 vitamin 30 softgels,e- vitamin,1000mg,softgels
e- long-ate 60 cap vitality,e- long-ate,0,cap
e-1000 1000mg 20 cap,e-1000,1000mg,cap
e-1000 120 cap,e-1000,0,cap
e-mix 5 topical vials x 10 ml,e-mix,0,topical vials
e-mox 125mg/5ml susp. 60ml,e-mox,125mg/5ml,susp.
e-mox 1gm im & iv vial,e-mox,1gm,vial
e-mox 250mg vial,e-mox,250mg,vial
e-mox 250mg/5ml susp. 80ml,e-mox,250mg/5ml,susp.
e-mox 500mg (i.m./ i.v.) vial,e-mox,500mg,vial
e-mox 500mg 16 caps,e-mox,500mg,caps
e-moxclav 156mg/5ml susp. 60ml,e-moxclav,156mg/5ml,susp.
e-moxclav 1gm 10 f.c. tab,e-moxclav,1gm,tab
e-moxclav 228.5mg/5ml dry susp. 75 ml,e-moxclav,228.5mg/5ml,dry susp.
e-moxclav 312 mg/5ml dry mix for oral susp. 60 ml,e-moxclav,312 mg/5ml,dry mix for oral susp.
e-moxclav 375mg 10 f.c. tab,e-moxclav,375mg,tab
e-moxclav 457mg/5ml susp. 70 ml,e-moxclav,457mg/5ml,susp.
e-moxclav 625mg 10 tab,e-moxclav,625mg,tab
e-moxclav 642.9mg/5ml susp. 75 ml,e-moxclav,642.9mg/5ml,susp.
e-rosh anti-dandruff shampoo 200 ml,e-rosh anti-dandruff shampoo,0,0
e-roy 10 caps.,e-roy,0,caps.
e-viton 100 mg 20 caps.,e-viton,100 mg,caps.
e-yeast 20 caps,e-yeast,0,caps
e-ze-p 1mg 10 s.g. caps.,e-ze-p,1mg,s.g. caps.
