original_name,drug_name,dose,form
neomycin powder 12 gm,neomycin,12 gm,powder
neopausil 30 caps.,neopausil,30mg,caps
neophos 1000mg 1 vial,neophos,1000mg,vial
neophos 1gm vial(n/a),neophos,1gm,vial
neophos 200mg 1 vial,neophos,200mg,vial
neophos 200mg/15ml vial,neophos,200mg/15ml,vial
neopol eye/ear drops 10 ml,neopol,10 ml,eye/ear drops
neopolybacin eye oint. 5 gm,neopolybacin,5 gm,eye oint
neopolydex eye susp. 5 ml,neopolydex,5 ml,eye susp
neopred-p eye/ear susp. 10 ml,neopred-p,10 ml,eye/ear susp
neopression 1 mg 10 f.c.tabs.,neopression,1 mg,tabs
neopression 2mg 20 f.c.tabs.,neopression,2mg,tabs
neopression 4 mg 20 f.c.tabs.,neopression,4 mg,tabs
neorub 100 ml spray,neorub,100 ml,spray
neorub gel 50 gm,neorub,50 gm,gel
neosoline 15 ml eye drop,neosoline,15 ml,eye drop
neospore p.r topical cream 15 gm,neospore p.r,15 gm,topical cream
neospore p.r topical oint. 15 gm,neospore p.r,15 gm,topical oint
neospore-p.r. 15 g cream,neospore-p.r.,15 g,cream
neospore-p.r. 15g oint,neospore-p.r.,15g,oint
neostigmine 15mg 20 tab.,neostigmine,15mg,tab
neostigmine 1mg/ml vial,neostigmine,1mg/ml,vial
neostigmine methyl sulphate 0.5mg/ml 5 amp.,neostigmine methyl sulphate,0.5mg/ml,amp
neotetryn 20 gm- oint,neotetryn,20 gm,oint
neotigason 10 mg 30 cap,neotigason,10 mg,cap
neotigason 10mg 30 caps.(n/a),neotigason,10mg,caps
neotigason 25 mg 30 cap,neotigason,25 mg,cap
neotigason 25mg 30 caps.(n/a),neotigason,25mg,caps
neotone eyes 15 ml,neotone,15 ml,eye drops
neotone radiance spf 50+ 30 ml,neotone radiance spf 50+,30 ml,0
neotone serum 30 ml,neotone,30 ml,serum
neova cream 75 gm,neova,75 gm,cream
neova cream for scars 75 gm,neova,75 gm,cream
neozolid 250 mg 6 tabs.,neozolid,250 mg,tabs
neozolid 600mg 3 tab,neozolid,600mg,tab
neozoline eye/nose drops,neozoline,0,eye/nose drops
nephroflam 200 mg 30 f.c. tab.,nephroflam,200 mg,tab
nephroflam 200 mg 30 f.c.tabs,nephroflam,200 mg,tabs
nephromed 100 tabs.,nephromed,100mg,tabs
nephromed advance 14 sachets,nephromed advance,0,sachets
nephromed kids 14 sachets,nephromed kids,0,sachets
nephrosteril 7% i.v.infusion,nephrosteril,7%,i.v.infusion
nephrosteril 7% sol 500 ml,nephrosteril,7%,sol
nephrotect 500 ml inf 1 amp,nephrotect,500 ml,inf
nephrotect i.v. solution 500 ml,nephrotect,500 ml,i.v. solution
nepiralin 200 mg 10 tab,nepiralin,200 mg,tab
nepiralin 200 mg 10 tab.,nepiralin,200 mg,tab
nepvol 5 mg 10 tabs. (n/a),nepvol,5 mg,tabs
nepvol 5 mg 30 tabs.,nepvol,5 mg,tabs
nercafix 40 mg 20 oro-dispersible films (n/a),nercafix,40 mg,oro-dispersible films
