original_name,drug_name,dose,form
prostasin 5mg 20 tab.,prostasin,5mg,tab
prostat 5mg 14 f.c. tabs.,prostat,5mg,tabs
prostavasin 20mcg amp,prostavasin,20mcg,amp
prostavone 30 caps.,prostavone,0,caps
prostec 5 mg 14 f.c.tab.,prostec,5mg,tab
prostetrol 10mg m.r. 30 tab.,prostetrol,10mg,tab
prostigmin (roche) vials 12.5 mg/5 ml,prostigmin,12.5mg/5ml,vials
prostplasia 0.5mg 30 soft gelatin caps.,prostplasia,0.5mg,soft gelatin caps
prostride 5mg 30 caps.,prostride,5mg,caps
protaci 10 sachets 25 gm,protaci,25gm,sachets
protam 10mg/ml (10ml) i.v.vial,protam,10mg/ml,vial
protam 10mg/ml (5ml) i.v.vial,protam,10mg/ml,vial
protavine powder 7 sachets,protavine,0,sachets
prote sun spf 45 topical lotion 100 ml,prote sun spf 45,0,topical lotion
prote-care hair cream 100 gm,prote-care hair,0,cream
prote-care hair cream 50 gm,prote-care hair,0,cream
prote-care hair shampoo 190ml,prote-care hair,0,shampoo
proteca topical lotion 120ml,proteca,0,topical lotion
proteca topical spray 120ml,proteca,0,topical spray
protectazole 600 mg 5 vag. tabs.,protectazole,600mg,vag. tabs
protectopril 8 mg 20 tabs.,protectopril,8mg,tabs
protectopril 8 mg 30 tabs.,protectopril,8mg,tabs
protectopril plus 4/1.25 mg 20 tabs.,protectopril plus,4/1.25mg,tabs
protectopril plus 4/1.25 mg 30 tabs.,protectopril plus,4/1.25mg,tabs
protek hand sanitizer gel 100 ml,protek hand sanitizer,0,gel
protelos 2 gm 7 sachet,protelos,2gm,sachet
protevo cream 50 gm,protevo,0,cream
prothiaden 25mg 20 caps.,prothiaden,25mg,caps
prothiaden 75mg 10 tab.,prothiaden,75mg,tab
protimax (fe+) 10g*10 sachets,protimax (fe+),10g,sachets
protimax (protein) 3g*10 sachets,protimax (protein),3g,sachets
protinex powder 200 gram,protinex,0,powder
proto ferrin 15 sachets 5 gm,proto ferrin,5gm,sachets
protofenac 150 mg 20 sust. rel. tabs.,protofenac,150mg,sust. rel. tabs
protofix 20mg 14 f.c. tab,protofix,20mg,tab
protofix 40mg 14 f.c. tab,protofix,40mg,tab
protofix 40mg vial i.v.pd,protofix,40mg,vial
protolans 30 mg 14 caps.,protolans,30mg,caps
protolans 60 mg 14 capsules,protolans,60mg,capsules
protolans 60 mg 20 capsules,protolans,60mg,capsules
protoloc 20 mg 14 enteric coated tab.,protoloc,20mg,enteric coated tab
protoloc 40mg 14 e.c.tabs,protoloc,40mg,e.c.tabs
protopan 20 mg 14 caps.,protopan,20mg,caps
protopan 20 mg 21 caps.,protopan,20mg,caps
protopan 40 mg 14 caps.,protopan,40mg,caps
protopan 40 mg 21 caps.,protopan,40mg,caps
protopic 0.03 % oint. 30 gm,protopic,0.03%,oint
protopic 0.1% oint. 30 gm,protopic,0.1%,oint
protostop 500mg 6 f.c. tab.,protostop,500mg,tab
protovex cream 60 gm,protovex,0,cream
