original_name,drug_name,dose,form
growth formula silver 50+ 250 gm,growth formula silver 50+,250 gm,0
growth formula wg 10 sachets 330 gm- banana,growth formula wg banana,330 gm,sachets
growth formula wg 400 gram pd.,growth formula wg,400 gram,pd
groza 20 tabs.,groza,0,tabs
guac cream 60 gm,guac,60 gm,cream
guaflex-n syrup 120 ml,guaflex-n,120 ml,syrup
guaiadesca syrup 120 ml,guaiadesca,120 ml,syrup
guaiscape  syrup 100 ml,guaiscape,100 ml,syrup
guamusin 12 sachets,guamusin,0,sachets
guard hand sanitizer gel 100 ml,guard hand sanitizer,100 ml,gel
guasol syrup 120 ml,guasol,120 ml,syrup
guava reme plus syrup 120 ml,guava reme plus,120 ml,syrup
guava syrup 120 ml,guava,120 ml,syrup
guava trix 120 ml syrup,guava trix,120 ml,syrup
guavaged syrup 120 ml,guavaged,120 ml,syrup
guavarolap syrup 120 ml,guavarolap,120 ml,syrup
gubimel 5mg 30 tabs,gubimel,5mg,tabs
gubitak 60 tabs,gubitak,0,tabs
guebone 30tablets,guebone,0,tab
guevi with omega 3 10 sachet,guevi omega 3,0,sachet
gufidrexin 400 mg 30 tabs.,gufidrexin,400 mg,tabs
gufidrexn 400 mg  30 tabs.,gufidrexn,400 mg,tabs
gulispirina 30 tabs,gulispirina,0,tabs
gum-c mouth wash 120 ml,gum-c,120 ml,mouth wash
gummy vit c echina 60 gummy,gummy vit c echina,0,gummy
gusto 30 tabs,gusto,0,tabs
guten joint 30 tabs,guten joint,0,tabs
gutron 1 % drops 10 ml,gutron,1 %,drops
gutron 2.5mg 20 tab,gutron,2.5mg,tab
gutron 5mg 20 tab,gutron,5mg,tab
guvetol syrup 120 ml,guvetol,120 ml,syrup
gybenash 28gm 14 sachets,gybenash,28gm,sachets
gybenash 300mg 30 caps,gybenash,300mg,caps
gybenash 400mg 30 caps,gybenash,400mg,caps
gybenash 600mg 30 caps,gybenash,600mg,caps
gymnemed 30caps,gymnemed,0,caps
gyn-phy intimate cleansing gel 200ml,gyn-phy,200ml,intimate cleansing gel
gynafresh intimated vaginal wash 240 ml,gynafresh,240 ml,intimated vaginal wash
gynagyn bv vaginal gel- prefilled applicators,gynagyn bv,0,vaginal gel
gynagyn va vaginal gel prefilled applicators,gynagyn va,0,vaginal gel
gynamax 20 cap,gynamax,0,cap
gynavit 30 tab,gynavit,0,tab
gynera 21 c.tabs,gynera,0,c.tabs
gynipral 0.5mg 20 tab.,gynipral,0.5mg,tab
gynipral 10 mcg/ 2ml 5 amp.,gynipral,10 mcg/ 2ml,amp
gyno premazole 2% vaginal cream 20 gm,gyno premazole,2%,vaginal cream
gyno premazole 6.5% vaginal oint.+applicator,gyno premazole,6.5%,vaginal oint
gyno-daktarin 2% vaginal cream 40 gm,gyno-daktarin,2%,vaginal cream
gyno-daktarin 400mg 3 vaginal ovules,gyno-daktarin,400mg,vaginal ovules
gyno-mykotral 2% vaginal cream 40 gm,gyno-mykotral,2%,vaginal cream
