original_name,drug_name,dose,form
gescamoli extra 30 fct,Gescamoli Extra,0,fct
gesicrest 10mg/ml vial for i.v. inf. 50 ml,Gesicrest,10 mg/ml,vial
gesicrest 10mg/ml vial for i.v. inf. 50 ml (n/a),Gesicrest,10 mg/ml,vial
gesiket 75 mg 20 caps,Gesiket,75 mg,caps.
gesiket 75 mg 20 caps.,Gesiket,75 mg,caps.
gesirelax 20 f.c. tabs.,Gesirelax,0,tabs.
geskan spray 100 ml,Geskan,0,spray
geskaprofen 25mg 20 f.c. tabs.,Geskaprofen,25 mg,tabs.
gesomezol 40 mg 14 caps.,Gesomezol,40 mg,caps.
gesprital 30 mg 1 tablet,Gesprital,30 mg,tablet
gestafemin 21 f.c.tabs.,Gestafemin,0,tabs.
gestanon 5mg 20 tab,Gestanon,5 mg,tab
gestin 20 cap,Gestin,0,cap
gesto 30 capsules,Gesto,0,caps.
gestone 100mg/2ml 10 amp,Gestone,100 mg/2ml,amp
gestranil 0.03/0.075mg 21 sugar c.tabs,Gestranil,0.03/0.075 mg,tabs.
get white cream 30 gm,Get White,30 gm,cream
getaherb 120 ml syrup,Getaherb,120 ml,syrup
gevarcut 200 mg 10 f.c. tabs.,Gevarcut,200 mg,tabs.
gevral - protein chocolate,Gevral Protein Chocolate,0,0
gevral protein orange,Gevral Protein Orange,0,0
gevral protein strawberry,Gevral Protein Strawberry,0,0
ghaya whitening cream 50 gm,Ghaya Whitening,50 gm,cream
gicyano 30 f.c tabs,Gicyano,0,tabs.
giflog 10mg 30 tab,Giflog,10 mg,tab
giflog 25 mg 30 tab,Giflog,25 mg,tab
giga white cream 50 gm,Giga White,50 gm,cream
gigazocin 200mg/5ml pd. oral susp. 25 ml,Gigazocin,200 mg/5ml,oral susp.
gigazocin 500mg 5 caps.,Gigazocin,500 mg,caps.
gilda pell cream 60 ml,Gilda Pell,60 ml,cream
gilenya 0.5mg 28 caps,Gilenya,0.5 mg,caps.
gimp massage cream 50 gm,Gimp Massage,50 gm,cream
gincal cream 120 gm,Gincal,120 gm,cream
gincofar 40 mg 20 f.c.tabs.,Gincofar,40 mg,tabs.
gincostazen 30 cap,Gincostazen,0,cap
ginger 30 tabs.,Ginger,0,tabs.
ginger root 550 mg 100 caps. (illegal import),Ginger Root,550 mg,caps.
ginginorm 30 capsules,Ginginorm,0,caps.
gini 30 cap,Gini,0,cap
ginil 20 sachet,Ginil,0,sachet
ginipin 10 sachets 10 gm,Ginipin,10 gm,sachet
ginipin 30 sachets 10 gm,Ginipin,10 gm,sachet
ginipin 60 caps.,Ginipin,0,caps.
ginkgo biloba 120 mg 60 caps. (natrol),Ginkgo Biloba,120 mg,caps.
ginkgo biloba 30 caps.,Ginkgo Biloba,0,caps.
ginko 40mg/ml oral soln. 30 ml,Ginko,40 mg/ml,oral soln.
ginko cemix 30 caps.,Ginko Cemix,0,caps.
ginko plus 20 caps.,Ginko Plus,0,caps.
ginko topical gel 20 gm,Ginko Topical,20 gm,gel
ginkoberry 10 caps.,Ginkoberry,0,caps.
