original_name,drug_name,dose,form
high protein 150 gm vanilia,high protein vanilia,150 gm,0
high protein 300 gm banana,high protein banana,300 gm,0
high protein 300 gm chocolate,high protein chocolate,300 gm,0
high protein 300 gm mix fruits,high protein mix fruits,300 gm,0
high protein 300 gm strawberry,high protein strawberry,300 gm,0
high protein 300 gm vanilia,high protein vanilia,300 gm,0
high pure 200mg 10 tab,high pure,200 mg,tab
high pure 200mg 30 tab.,high pure,200 mg,tab
high seas cod liver oil syrup 120 ml,high seas cod liver oil,120 ml,syrup
highcef 125mg/5ml susp. 60ml,highcef,125mg/5ml,susp.
highcef 250mg 10 tab.,highcef,250 mg,tab.
hihaem 100 mg 30 cap.,hihaem,100 mg,cap.
hikmalita 1000/7.17mg 30 f.c.tabs.,hikmalita,1000/7.17 mg,tabs.
hilexil syrup 125 ml,hilexil,125 ml,syrup
hilinga scars & keloid lotion 30 gm,hilinga scars & keloid,30 gm,lotion
hillan massage cream 50 gm,hillan massage,50 gm,cream
himax cream 30 gm,himax,30 gm,cream
himax cream 60 gm,himax,60 gm,cream
himax massage gel 30 gm,himax massage,30 gm,gel
himax topical spray 100 ml,himax,100 ml,topical spray
himcolin cream 10 g,himcolin,10 g,cream
himix cream,himix,0,cream
hinda b comp 30tablets,hinda b comp,0,tablets
hinda d3 - 30 tabs,hinda d3,0,tabs
hineurocap 30 caps,hineurocap,0,caps
hipamax 20 cap,hipamax,0,cap
hipamax plus 20 capsules,hipamax plus,0,capsules
hipanthen plus cream 30 gm,hipanthen plus,30 gm,cream
hipanthen plus cream 60 gm,hipanthen plus,60 gm,cream
hipanthen plus topical lotion 120ml,hipanthen plus,120 ml,topical lotion
hiperikan 300mg 20 tab,hiperikan,300 mg,tab
hipers- d 20 cap,hipers- d,0,cap
hipress-d 20 caps.,hipress-d,0,caps.
hiroyal 500 mg capsules,hiroyal,500 mg,capsules
hirsustop 11.5 % topical cream 15 gm,hirsustop,11.5 %,topical cream
hirsustop 11.5 % topical cream 60 gm,hirsustop,11.5 %,topical cream
hirudoid 20 gm cream,hirudoid,20 gm,cream
hirudoid 20 gm gel,hirudoid,20 gm,gel
hisatrup 10 mg 30 f.c. tabs.,hisatrup,10 mg,tabs.
hisatrup 1mg/ml syrup 120 ml,hisatrup,1mg/ml,syrup
hista chew 10 mg 20 chewable tab.,hista chew,10 mg,chewable tab.
hista-top 0.67mg/5ml syrup 60ml,hista-top,0.67mg/5ml,syrup
hista-top 1 mg 20 tab.,hista-top,1 mg,tab.
histafree 120mg 10 tab,histafree,120 mg,tab
histalong 10 mg 20 tab.,histalong,10 mg,tab.
histamedizen 30mg/5ml oral susp. 100 ml,histamedizen,30mg/5ml,oral susp.
histamol 20 tab,histamol,0,tab
histamol 200 tab,histamol,0,tab
histarhine syrup 100ml,histarhine,100 ml,syrup
histaseric 8mg 30 tab.,histaseric,8 mg,tab.
