original_name,drug_name,dose,form
miconol 2% powder 20 gm,miconol,20 gm,powder
miconol powder 20 gm,miconol,20 gm,powder
miconol-2 % 15 gm - cream,miconol,15 gm,cream
micort 1% cream 20 gm,micort,20 gm,cream
micort 10mg 10 tab.,micort,10mg,tab
micosone cream 20 gm,micosone,20 gm,cream
micro free 250ml,micro free,250ml,0
microcept 21 tab.,microcept,21mg,tab
microdette 3* 21 tab.,microdette,21mg,tab
microfree antiseptic foaming sol. 250 ml,microfree antiseptic,250 ml,foaming solution
microgenest 30/150 mcg 21 tabs.,microgenest,30/150 mcg,tabs
microgynon 30/150mcg 21 tabs.(n/a yet),microgynon,30/150mcg,tabs
microlax solution rectal 12 unit,microlax,12mg,solution rectal
microlut 0.03mg 35 coated tab.,microlut,0.03mg,coated tab
micronized creatine powder 300 gm,micronized creatine,300 gm,powder
microserc 16 mg 20 tab.,microserc,16 mg,tab
microserc 24 mg 20 tab.,microserc,24 mg,tab
microserc 8mg 30 tablets,microserc,8mg,tablets
microvlar - 30- ( p ) 21 tab,microvlar,30mg,tab
mictonorm 15 mg sugar coated 28tab.,mictonorm,15 mg,sugar coated tab
mictonorm 15mg 28tab,mictonorm,15mg,tab
mictonorm xl 30 mg 28 sugar coated tab.,mictonorm xl,30 mg,sugar coated tab
micycline polymyxine- 5 gm- eye- oint,micycline polymyxine,5 gm,eye ointment
mid massage cream 50 gm,mid massage,50 gm,cream
midagasic 20 mg 21 caps.,midagasic,20 mg,caps
midathetic 15mg/3ml 3 amps.,midathetic,15mg/3ml,amps
midathetic 5mg/ml 10 amps,midathetic,5mg/ml,amps
midathetic 7.5mg 10 f.c. tab.,midathetic,7.5mg,tab
midazolam 15mg/3ml 1 amp.,midazolam,15mg/3ml,amp
midazolam 5mg/ml 1 amp.,midazolam,5mg/ml,amp
midodrine 1% oral drops 10ml,midodrine,10ml,oral drops
midodrine 2.5mg 20 tab,midodrine,2.5mg,tab
midomed 20 tab,midomed,20mg,tab
miflonide 400mcg 60 inhalation capsule +inhaler,miflonide,400mcg,inhalation capsule
mifoxin 250 mg 10 tabs.,mifoxin,250 mg,tabs
mifoxin 500mg 10 f.c. tab.,mifoxin,500mg,tab
migaura 5mg/500mg 20 tab.,migaura,5mg/500mg,tab
mighty 20 cap,mighty,20mg,cap
mighty plus 20 cap,mighty plus,20mg,cap
migracid 20 tab.,migracid,20mg,tab
migracid syrup 120 ml,migracid,120 ml,syrup
migranil 30 f.c. tabs,migranil,30mg,tabs
migratrend 12.5mg 4 f.c. tabs,migratrend,12.5mg,tabs
migriza 10mg 5 tab,migriza,10mg,tab
migrostop 12.5 mg 2 tab,migrostop,12.5 mg,tab
migtriptan 10 mg 3 disintegrating tabs.,migtriptan,10 mg,disintegrating tabs
migtriptan 5 mg 3 f.c.tabs,migtriptan,5 mg,tabs
mihilaz topical cream 60 gm,mihilaz,60 gm,topical cream
mila 10 sachets,mila,10mg,sachets
milabion 30 tabs,milabion,30mg,tabs
