original_name,drug_name,dose,form
clotrisone cream 15 gm,clotrisone,0,cream 15 gm
clotrisone oint. 15 gm,clotrisone,0,oint. 15 gm
clovacaine solution 15 ml,clovacaine,0,solution 15 ml
clovacort 0.05% cream 20 gm,clovacort,0.05%,cream 20 gm
clovacort 0.05% gel 20 gm,clovacort,0.05%,gel 20 gm
clovacort 0.05% oint. 20 gm,clovacort,0.05%,oint. 20 gm
clovacort 0.05% scalp lotion 30ml,clovacort,0.05%,scalp lotion 30ml
clove oil pure 10 ml,clove oil pure,0,oil 10 ml
clove oil pure 15 ml,clove oil pure,0,oil 15 ml
cloviralex 600 mg 30 tablets,cloviralex,600 mg,30 tablets
cloxapen 500mg 12 caps.,cloxapen,500mg,12 caps.
cloxide 30 caps.,cloxide,0,30 caps.
clozapex 100mg 50 tab,clozapex,100mg,50 tab
clozapex 25mg 50 tab,clozapex,25mg,50 tab
clozapine 100mg 20 scored tab,clozapine,100mg,20 scored tab
clozapine 100mg 30 scored tab,clozapine,100mg,30 scored tab
clozapine 25mg 30 tab.,clozapine,25mg,30 tab.
clozapine 50mg 10 tab,clozapine,50mg,10 tab
clozavitone 100 mg 20 tablet 2 strip,clozavitone,100 mg,20 tablet
clozepam 0.5mg 20 tab,clozepam,0.5mg,20 tab
clozepam 2mg 20 tab,clozepam,2mg,20 tab
cludalost 100 mg 30 tabs.,cludalost,100 mg,30 tabs.
cludinetech 0.5mg 10 h.g.cap,cludinetech,0.5mg,10 h.g.cap
cludinetech 1mg 10 h.g. cap,cludinetech,1mg,10 h.g. cap
co vitamin b 15 sachets,co vitamin b,0,15 sachets
co- avazir eye oint. 5 gm,co- avazir,0,eye oint. 5 gm
co- avazir ophth susp. 10 ml,co- avazir,0,ophth susp. 10 ml
co-betapronate oint. 30 gm,co-betapronate,0,oint. 30 gm
co-dilatrol 30 tab.,co-dilatrol,0,30 tab.
co-diovan 160/25 mg 10 f.c. tab.,co-diovan,160/25 mg,10 tab.
co-diovan 160/25mg 15 f.c. tab.,co-diovan,160/25mg,15 tab.
co-irbesartan 150/12.5 mg 14 f.c.tab.,co-irbesartan,150/12.5 mg,14 tab.
co-irbesartan 300/25 mg 7 f.c. tabs.,co-irbesartan,300/25 mg,7 tabs.
co-renitec 20/12.5mg 28 tab.,co-renitec,20/12.5mg,28 tab.
co-tareg 160/12.5mg 14 f.c. tab.,co-tareg,160/12.5mg,14 tab.
co-tareg 160/12.5mg 28 f.c. tab.,co-tareg,160/12.5mg,28 tab.
co-tareg 160/25mg 15 f.c. tabs.,co-tareg,160/25mg,15 tabs.
co-tareg 320/12.5mg 14 f.c. tabs.,co-tareg,320/12.5mg,14 tabs.
co-tareg 320/25mg 14 f.c. tab.,co-tareg,320/25mg,14 tab.
co-tareg 80/12.5mg 14 f.c.tab.,co-tareg,80/12.5mg,14 tab.
co-trimoxazole 20 tabs,co-trimoxazole,0,20 tabs
co-trimoxazole 200/40mg susp. 100ml,co-trimoxazole,200/40mg,susp. 100ml
co-trimoxazole 200/40mg susp. 120ml,co-trimoxazole,200/40mg,susp. 120ml
co-valsartan 160/12.5mg 14 f.c. tab.,co-valsartan,160/12.5mg,14 tab.
co-valsartan 160/25mg 10 f.c. tabs.,co-valsartan,160/25mg,10 tabs.
co-valsartan 80/12.5 mg /14tab,co-valsartan,80/12.5 mg,14tab
co-vasotec 160/12.5mg 14 f.c.tab.,co-vasotec,160/12.5mg,14 tab.
co-vasotec 160/25mg 14 f.c.tab.,co-vasotec,160/25mg,14 tab.
co-vasotec 80/12.5mg 14 f.c.tab.,co-vasotec,80/12.5mg,14 tab.
coaguless 100 mg 10 tabs.,coaguless,100 mg,10 tabs.
