drug_name,dose,form
amaryl,4 mg,tabs
amaryl m,2/500 mg,tabs
ambezim-g,Null,tabs
ambisome,50 mg,vial
ambrodoxy,Null,caps
ambropro,20 mg,lozenges
ambropro,20 mg,lozenges
ambroxol,15 mg/5 ml,syp
ambroxol,30 mg,tab
ambroxol,7.5 mg/ml,oral drops
ambroxol,75 mg,caps
amcinol,40 mg/ml,amp
amebazol,1 gm,tabs
ameillia intimate feminine,250 ml,wash
ameropem,1 gm,vial
ameropem,500 mg,vial
ametic,10 mg/2 ml,amp
amfipen,125 mg/5 ml,susp
amfipen,250 mg,cap
amfipen,250 mg/5 ml,susp
amfipen,500 mg,cap
amflux,1 g,vial
amflux,500 mg,vial
amgevita,40 mg/0.8 ml,syringes
amgevita,40 mg/0.8 ml,pens
amigraine adco,Null,tablets
amigrawest,2.5 mg,tab
amikabiotic,100 mg/2 ml,amp
amikabiotic,500 mg/2 ml,amp
amikacin,500 mg,vial
amikacin amoun,100 mg/2 ml,vial
amikacin amoun,250 mg/2 ml,vial
amikacin amoun,500 mg/2 ml,vial
amikacin eipico,100 mg/2 ml,vial
amikacin eipico,500 mg/2 ml,vial
amikacin,100 ml,spray
amikaskiv,1000 mg/4 ml,soln
amikaskiv,250 mg/2 ml,vial
amikaskiv,500 mg/2 ml,vial
amikin,100 mg/2 ml,vial
amikin,250 mg/2 ml,vial
amikin,500 mg/2 ml,vial
amilo,10 mg,tab
amilo,5 mg,tab
amilo plus,5/160 mg,tab
aminess,400 ml,infusion
amino (anabolic),Null,tablets
amino 10000,Null,cap
amino 18,Null,capsules
amino 22000,Null,cap
