original_name,drug_name,dose,form
tioneral massage cream 60 gram,tioneral massage,60 gram,cream
tip-port syrup 360 ml,tip-port,360 ml,syrup
tiptop gel 50 gm,tiptop,50 gm,gel
tiralepsy 1000mg 20 f.c. tab,tiralepsy,1000mg,tab
tiralepsy 1000mg 30 f.c. tab.,tiralepsy,1000mg,tab.
tiralepsy 100mg/ml oral sol. 120 ml,tiralepsy,100mg/ml,oral sol.
tiralepsy 250mg 30 f.c. tab.,tiralepsy,250mg,tab.
tiralepsy 500 mg 30 f.c. tab.,tiralepsy,500 mg,tab.
tiralepsy xr 500mg 20 f.c.tab.,tiralepsy xr,500mg,tab.
tiralepsy xr 750 mg 20 f.c. tab.,tiralepsy xr,750 mg,tab.
tiratam 1000 mg 20 f.c.tabs. (n/a),tiratam,1000 mg,tabs.
tiratam 1000mg 30 f.c.tabs.,tiratam,1000mg,tabs.
tiratam 100mg/ml oral solution 120 ml,tiratam,100mg/ml,oral solution
tiratam 500mg 20 f.c. tablets,tiratam,500mg,tablets
tiratam 500mg 30 f.c. tablets,tiratam,500mg,tablets
tiratam 500mg/5ml iv vial,tiratam,500mg/5ml,iv vial
tiratam 750mg 20 f.c. tablets,tiratam,750mg,tablets
tiratam xr 500mg 20 f.c.tabs.,tiratam xr,500mg,tabs.
tiratam xr 750mg 20 f.c.tabs.,tiratam xr,750mg,tabs.
titacetyn topical spray powder,titacetyn,0,topical spray powder
titan hair lotion 120 ml,titan hair,0,lotion
titan hair lotion 250 ml,titan hair,0,lotion
titan lotion,titan,0,lotion
titana 15 gm cream,titana,15 gm,cream
titania fusspilz deoseife 300 ml,titania fusspilz,0,deoseife
titech 20 pills,titech,0,pills
tivicay 50 mg 30 f.c. tabs.,tivicay,50 mg,tabs.
tivoli cream gel 50gm,tivoli,50gm,cream gel
tizyl 4mg 10 tab.,tizyl,4mg,tab.
tobcin 20mg 2 ml amp,tobcin,20mg,amp
tobcin 20mg 2ml 3 amp,tobcin,20mg,amp
tobcin 80mg amp 2 ml,tobcin,80mg,amp
tobcin 80mg/2ml 3 amp,tobcin,80mg/2ml,amp
tobolanza 24 s.g.caps.,tobolanza,0,s.g.caps.
tobra-alex 20mg/2ml 5 amp.,tobra-alex,20mg/2ml,amp.
tobra-alex 80mg/2ml i.v./i.m. amp.,tobra-alex,80mg/2ml,i.v./i.m. amp.
tobrabiotic .3% 10 ml eye dp,tobrabiotic,.3%,eye dp
tobrabiotic 0.3% eye drops 10 ml,tobrabiotic,0.3%,eye drops
tobrabiotic plus eye susp. drops 5 ml,tobrabiotic plus,0,eye susp. drops
tobrabiotic plus ophth. susp. 5 ml,tobrabiotic plus,0,ophth. susp.
tobracin 40mg. 2ml. vials,tobracin,40mg,vials
tobracin 80mg 2ml vial,tobracin,80mg,vial
tobracoid eye drops 5 ml,tobracoid,0,eye drops
tobractiva 0.3% eye drops 5 ml,tobractiva,0.3%,eye drops
tobradex eye oint. 3.5 gm,tobradex,3.5 gm,eye oint.
tobradex eye susp. drops 5 ml,tobradex,0,eye susp. drops
tobral 0.3% eye drops 5 ml,tobral,0.3%,eye drops
tobralex 5ml eye drops,tobralex,0,eye drops
tobramycin 0.3% eye drops 5 ml,tobramycin,0.3%,eye drops
tobrex 0.3% eye drops 5 ml,tobrex,0.3%,eye drops
