original_name,drug_name,dose,form
elirupalin 10 mg 10 f.c. tabs.,elirupalin,10 mg,tabs
elitac cream 50 gm,elitac,50 gm,cream
elitmass gel 75gm,elitmass,75gm,gel
elixage massage gel 50gram,elixage massage,50gram,gel
elixozolid 2mg/ml iv sol. 300 ml,elixozolid,2mg/ml,iv sol.
elixozolid 600mg 10 tablets,elixozolid,600mg,tablets
ellamuselle 30 sachet,ellamuselle,0,sachet
ellederm 50ml gel,ellederm,50ml,gel
elligyn vag.douche 200 ml,elligyn,200 ml,vag.douche
elma 5 gm cream 1 tube,elma,5 gm,cream
elma cream 5 gm- 5 tubes,elma,5 gm,cream
elmetacin spray 50 ml,elmetacin,50 ml,spray
elmistran plus 40/12.5mg 10 tabs.,elmistran plus,40/12.5mg,tabs.
elmistran plus 80/12.5 mg 10 tab.,elmistran plus,80/12.5 mg,tab.
elmodoxacin 250 mg 10 tab,elmodoxacin,250 mg,tab
elmodoxacin 250mg 10 f.c.tab.,elmodoxacin,250mg,tab.
elmodoxacin 500 mg 10 tab,elmodoxacin,500 mg,tab
elmodoxacin 500mg 10 f.c.tab.,elmodoxacin,500mg,tab.
elmodoxacin 750 mg 10 tab,elmodoxacin,750 mg,tab
elmodoxacin 750mg 10 f.c.tab.,elmodoxacin,750mg,tab.
elocon 0.1% (20g) oint.,elocon,0.1%,oint.
elocon 0.1% 20 gm oint,elocon,0.1%,oint
elocon 0.1% cream 10 gm,elocon,0.1%,cream
elocon 0.1% cream 20 gm,elocon,0.1%,cream
elocon 0.1% lotion 15 ml,elocon,0.1%,lotion
elocon 0.1% lotion 15ml,elocon,0.1%,lotion
elocon 20 gm oint,elocon,0,oint
elocon 20g cream,elocon,0,cream
elocortin 0.1% cream 15 gm,elocortin,0.1%,cream
elocortin 0.1% oint. 15 gm,elocortin,0.1%,oint.
elocortin 0.1% topical lotion 15 ml,elocortin,0.1%,topical lotion
elonda 0.5mg 2 tab.,elonda,0.5mg,tab.
elone hair conditioner 200 ml,elone hair conditioner,0,conditioner
elone hair cream with keratin 120 ml,elone hair cream with keratin,0,cream
elone hair cream with keratin 75 ml,elone hair cream with keratin,0,cream
elone keratin shampoo 200 ml,elone keratin shampoo,0,shampoo
elong 30mg 4 tab,elong,30mg,tab
elong 60mg 4 tab,elong,60mg,tab
elonva 100mcg/0.5ml prefilled syringe(n/a yet),elonva,100mcg/0.5ml,prefilled syringe
elonva 150mcg/0.5ml prefilled syringe(n/a yet),elonva,150mcg/0.5ml,prefilled syringe
eloxatin 100 mg vial,eloxatin,100 mg,vial
eloxatin 50 mg vial,eloxatin,50 mg,vial
elpro 20 tablet,elpro,0,tablet
eltroxin 100 mcg 100 tabs.,eltroxin,100 mcg,tabs.
eltroxin 50mcg 100 tabs.,eltroxin,50mcg,tabs.
elugel 0.2% 20 gm dental gel,elugel,0.2%,dental gel
elugel oral gel 20 gm,elugel,0,oral gel
elyzol 500mg 20 tab,elyzol,500mg,tab
elyzol syrup 125 ml,elyzol,0,syrup
em-ex 1 mg 10 f.c.tabs.,em-ex,1 mg,tabs.
