drug_name,dose,form
apexidone,1 mg/ml,syrup
apexidone,2 mg,tablet
apexidone,3 mg,tablet
apexidone,4 mg,tablet
aphro neo formula,Null,capsule
aphrofemine,100 mg,tablet
aphrogen boost,Null,capsule
aphtarine,Null,gel
aphthtab,2 mg,buccal bioadhesive tablet
api med,40 gm,cream
api-care,40 g,cream
api-care,25 gm,cream
api-grow,Null,powder
apic sun block,60 gm,cream
apic white,60 gm,cream
apicorte forte,1 %,drops
apidone,Null,syrup
apidra,100 I.U./ml,cartridge
apidra solostar,100 I.U./ml,pen
apifortyl,Null,capsule
apigent,0.1 %,cream
apigent,3 mg/gm,ointment
apigent,3 mg/ml,drops
apigent-p,Null,drops
apigent-p,5 gm,ointment
apilipex,10 mg,tablet
apilipex,20 mg,tablet
apilipex,30 mg,tablet
apilipex,5 mg,tablet
apimed,40 mg,cream
apimed,20 gm,cream
apipe,10 mg,tablet
apipe,15 mg,tablet
apixatrack,2.5 mg,tablet
apixatrack,5 mg,tablet
apixol,0.5 %,drops
apo - calcitonin,200 I.U./meterd dose,spray
apo - mefloquine,250 mg,tablet
apo-calcitonin,200 I.U./metered dose,spray
apo-desmopressin,10 mcg/dose,spray
apo-lorazepam,2 mg,tablet
apo-lorazepam,2 mg,tablet
apo-lyptus,Null,spray
apo-mefloquine,250 mg,tablet
apoflor,Null,spray
apotamex,20 mg,tablet
appe-raise,Null,syrup
appegreek,Null,syrup
appetizer,Null,syrup
apple cider vinegar,Null,tablet
