drug_name,dose,form
amrizole,125 mg/5 ml,suspension
amrizole,1 gm,suppository
amrizole,250 mg,tablet
amrizole,500 mg,tablet
amrizole,500 mg,suppository
amrizole,500 mg,vial
amrizole-n,Null,suppository
amthrost,125 mg/5 ml,suspension
amthrost,250 mg,tablet
amthrost,250 mg/5 ml,suspension
amvasc,10 mg,capsule
amvasc,5 mg,capsule
amypapine,Null,tablet
an - epa - 9-,Null,capsule
anabol,Null,tablet
anabolic activator,59.2 ml,Null
anabrammune,75 mg,tablet
anadar,Null,capsule
anadar,Null,capsule
anaforten anti-dandruff,200 ml,shampoo
anaforten hair,120 ml,lotion spray
anaforten hair,300 gm,mask
anaforten hair,120 ml,serum
anaforten hair,200 ml,shampoo
anafronil,25 mg,tablet
anafronil sr,75 mg,tablet
anagen hair,120 ml,lotion spray
anahal,100 %,solution
anahal,100 %,solution
analfan,200 mg,tablet
analgex oblong,500 mg,tablet
analgex oblong,500 mg,tablet
analgin,500 mg,tablet
analgin el nasr,500 mg,tablet
analgin el nasr,500 mg,tablet
analgin,100 ml,syrup
analgiprof,400 mg,sachet
anallerge,2 mg/5 ml,syrup
anallerge,4 mg,tablet
anandron,50 mg,tablet
anandron,50 mg,tablet
anapental,500 mg,vial
anaplate,75 mg,tablet
anapramine,25 mg,tablet
anapramine,50 mg,tablet
anapramine s.r.,75 mg,tablet
anarcol,50 mg,tablet
anarky,50 gm,cream
anaseziago,30 gm,cream
anastrodex,1 mg,tablet
